subcommittee	code	docx	xlsx	row	change	rank	taxon	level	error	message	notes	scAbbrev	docpath	path	file	basename
NA	2022.002P	NA	NA	NA	NA	NA	NA	INFO	IGNORE_FNAME_.Ud.	All files with '.Ud.' in filename are ignored	NA	2022.002P	EC55/Pending_Proposals/Plant virus (P) proposals/Proposals to be considered for EC55/2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.docx	EC55/Pending_Proposals/Plant virus (P) proposals/Proposals to be considered for EC55	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.docx	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename
NA	2022.002P	NA	NA	NA	NA	NA	NA	INFO	IGNORE_FNAME_.Ud.	All files with '.Ud.' in filename are ignored	NA	2022.002P	EC55/Pending_Proposals/Plant virus (P) proposals/Proposals to be considered for EC55/2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	EC55/Pending_Proposals/Plant virus (P) proposals/Proposals to be considered for EC55	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename
NA	2022.006F	NA	NA	NA	NA	NA	NA	INFO	IGNORE_FNAME_.Ud.	All files with '.Ud.' in filename are ignored	NA	2022.006F	EC55/Pending_Proposals/Fungal and protist virus (F) proposals/Proposals to be considered for EC55/2022.006F.Ud.v1.Virophages_taxframework.docx	EC55/Pending_Proposals/Fungal and protist virus (F) proposals/Proposals to be considered for EC55	2022.006F.Ud.v1.Virophages_taxframework.docx	2022.006F.Ud.v1.Virophages_taxframework
Archaeal viruses (A) proposals	2023.001A	2023.001A.N.v1.Archaeal_binomials.docx	2023.001A.N.v1.Archaeal_binomials.xlsx	5	Rename	species	Alphalipothrixvirus SBFV2	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Alphalipothrixvirus SBFV2' to 'Alphalipothrixvirus umijigokuense' in 'Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Lipothrixviridae;Alphalipothrixvirus;Alphalipothrixvirus umijigokuense'	NA	NA	NA	NA	NA
Archaeal viruses (A) proposals	2023.001A	2023.001A.N.v1.Archaeal_binomials.docx	2023.001A.N.v1.Archaeal_binomials.xlsx	6	Rename	species	Alphalipothrixvirus SFV1	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Alphalipothrixvirus SFV1' to 'Alphalipothrixvirus beppuense' in 'Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Lipothrixviridae;Alphalipothrixvirus;Alphalipothrixvirus beppuense'	NA	NA	NA	NA	NA
Archaeal viruses (A) proposals	2023.001A	2023.001A.N.v1.Archaeal_binomials.docx	2023.001A.N.v1.Archaeal_binomials.xlsx	7	Rename	species	Acidianus filamentous virus 3	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Acidianus filamentous virus 3' to 'Betalipothrixvirus acidiani' in 'Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Lipothrixviridae;Betalipothrixvirus;Betalipothrixvirus acidiani'	NA	NA	NA	NA	NA
Archaeal viruses (A) proposals	2023.001A	2023.001A.N.v1.Archaeal_binomials.docx	2023.001A.N.v1.Archaeal_binomials.xlsx	8	Rename	species	Acidianus filamentous virus 6	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Acidianus filamentous virus 6' to 'Betalipothrixvirus pozzuoliense' in 'Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Lipothrixviridae;Betalipothrixvirus;Betalipothrixvirus pozzuoliense'	NA	NA	NA	NA	NA
Archaeal viruses (A) proposals	2023.001A	2023.001A.N.v1.Archaeal_binomials.docx	2023.001A.N.v1.Archaeal_binomials.xlsx	9	Rename	species	Acidianus filamentous virus 7	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Acidianus filamentous virus 7' to 'Betalipothrixvirus pezzuloense' in 'Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Lipothrixviridae;Betalipothrixvirus;Betalipothrixvirus pezzuloense'	NA	NA	NA	NA	NA
Archaeal viruses (A) proposals	2023.001A	2023.001A.N.v1.Archaeal_binomials.docx	2023.001A.N.v1.Archaeal_binomials.xlsx	10	Rename	species	Acidianus filamentous virus 8	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Acidianus filamentous virus 8' to 'Betalipothrixvirus puteoliense' in 'Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Lipothrixviridae;Betalipothrixvirus;Betalipothrixvirus puteoliense'	NA	NA	NA	NA	NA
Archaeal viruses (A) proposals	2023.001A	2023.001A.N.v1.Archaeal_binomials.docx	2023.001A.N.v1.Archaeal_binomials.xlsx	11	Rename	species	Acidianus filamentous virus 9	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Acidianus filamentous virus 9' to 'Betalipothrixvirus uzonense' in 'Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Lipothrixviridae;Betalipothrixvirus;Betalipothrixvirus uzonense'	NA	NA	NA	NA	NA
Archaeal viruses (A) proposals	2023.001A	2023.001A.N.v1.Archaeal_binomials.docx	2023.001A.N.v1.Archaeal_binomials.xlsx	12	Rename	species	Sulfolobus islandicus filamentous virus	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Sulfolobus islandicus filamentous virus' to 'Betalipothrixvirus hveragerdiense' in 'Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Lipothrixviridae;Betalipothrixvirus;Betalipothrixvirus hveragerdiense'	NA	NA	NA	NA	NA
Archaeal viruses (A) proposals	2023.001A	2023.001A.N.v1.Archaeal_binomials.docx	2023.001A.N.v1.Archaeal_binomials.xlsx	13	Rename	species	Acidianus filamentous virus 2	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Acidianus filamentous virus 2' to 'Deltalipothrixvirus pozzuoliense' in 'Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Lipothrixviridae;Deltalipothrixvirus;Deltalipothrixvirus pozzuoliense'	NA	NA	NA	NA	NA
Archaeal viruses (A) proposals	2023.001A	2023.001A.N.v1.Archaeal_binomials.docx	2023.001A.N.v1.Archaeal_binomials.xlsx	14	Rename	species	Deltalipothrixvirus SBFV3	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Deltalipothrixvirus SBFV3' to 'Deltalipothrixvirus beppuense' in 'Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Lipothrixviridae;Deltalipothrixvirus;Deltalipothrixvirus beppuense'	NA	NA	NA	NA	NA
Archaeal viruses (A) proposals	2023.001A	2023.001A.N.v1.Archaeal_binomials.docx	2023.001A.N.v1.Archaeal_binomials.xlsx	15	Rename	species	Azorudivirus SRV	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Azorudivirus SRV' to 'Azorudivirus furnasense' in 'Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Rudiviridae;Azorudivirus;Azorudivirus furnasense'	NA	NA	NA	NA	NA
Archaeal viruses (A) proposals	2023.001A	2023.001A.N.v1.Archaeal_binomials.docx	2023.001A.N.v1.Archaeal_binomials.xlsx	16	Rename	species	Hoswirudivirus ARV2	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Hoswirudivirus ARV2' to 'Hoswirudivirus pozzuoliense' in 'Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Rudiviridae;Hoswirudivirus;Hoswirudivirus pozzuoliense'	NA	NA	NA	NA	NA
Archaeal viruses (A) proposals	2023.001A	2023.001A.N.v1.Archaeal_binomials.docx	2023.001A.N.v1.Archaeal_binomials.xlsx	17	Rename	species	Hoswirudivirus ARV3	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Hoswirudivirus ARV3' to 'Hoswirudivirus acidiani' in 'Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Rudiviridae;Hoswirudivirus;Hoswirudivirus acidiani'	NA	NA	NA	NA	NA
Archaeal viruses (A) proposals	2023.001A	2023.001A.N.v1.Archaeal_binomials.docx	2023.001A.N.v1.Archaeal_binomials.xlsx	18	Rename	species	Hoswirudivirus MRV1	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Hoswirudivirus MRV1' to 'Hoswirudivirus metallosphaerae' in 'Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Rudiviridae;Hoswirudivirus;Hoswirudivirus metallosphaerae'	NA	NA	NA	NA	NA
Archaeal viruses (A) proposals	2023.001A	2023.001A.N.v1.Archaeal_binomials.docx	2023.001A.N.v1.Archaeal_binomials.xlsx	19	Rename	species	Hoswirudivirus SSRV1	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Hoswirudivirus SSRV1' to 'Hoswirudivirus saccharolobi' in 'Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Rudiviridae;Hoswirudivirus;Hoswirudivirus saccharolobi'	NA	NA	NA	NA	NA
