msl_release_num	level_id	name	molecule_id	abbrev_csv	genbank_accession_csv	genbank_refseq_accession_csv	refseq_accession_csv	isolate_csv	notes	in_change	in_target	in_filename	in_notes	out_change	out_target	out_filename	out_notes	host_source	exemplar_name	genome_coverage	notes 
39	100	2023	NA	NA	NA	NA	NA	NA	DRAFT EC55 MSL. EC Use Only DRAFT (to-be MSL 39)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DRAFT EC55 MSL. EC Use Only DRAFT (to-be MSL 39) 
39	120	Adnaviria	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA 
39	140	Zilligvirae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA 
39	160	Taleaviricota	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA 
39	180	Tokiviricetes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA 
39	200	Ligamenvirales	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA 
39	300	Lipothrixviridae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA 
39	500	Alphalipothrixvirus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA 
39	600	Alphalipothrixvirus umijigokuense	NA	SBFV2	MK064563	NA	NA	SBFV2 clone B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA 
39	600	Alphalipothrixvirus beppuense	NA	SFV1	MH447526	NA	NA	SFV1 isolate S48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA 
39	500	Betalipothrixvirus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA 
39	600	Betalipothrixvirus acidiani	NA	NA	AM087120	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA 
39	600	Betalipothrixvirus pozzuoliense	NA	NA	AM087121	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA 
39	600	Betalipothrixvirus pezzuloense	NA	NA	AM087122	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA 
39	600	Betalipothrixvirus puteoliense	NA	NA	AM087123	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA 
39	600	Betalipothrixvirus uzonense	NA	NA	EU545650	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA 
39	600	Betalipothrixvirus hveragerdiense	NA	NA	AF440571	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA 
39	500	Deltalipothrixvirus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA 
39	600	Deltalipothrixvirus pozzuoliense	NA	NA	AJ854042	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA 
39	600	Deltalipothrixvirus beppuense	NA	SBFV3	MK064564	NA	NA	SBFV3 clone C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA 
39	300	Rudiviridae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA 
39	500	Azorudivirus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA 
39	600	Azorudivirus furnasense	NA	SRV	FM164764	NA	NA	Stygiolobus rod-shaped virus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA 
39	500	Hoswirudivirus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA 
39	600	Hoswirudivirus pozzuoliense	NA	ARV2	KP282675	NA	NA	Acidianus rod-shaped virus 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA 
39	600	Hoswirudivirus acidiani	NA	ARV3	MN876842	NA	NA	Acidianus rod-shaped virus 3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA 
39	600	Hoswirudivirus metallosphaerae	NA	MRV1	MN876843	NA	NA	Metallosphaera rod-shaped virus 1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA 
39	600	Hoswirudivirus saccharolobi	NA	SSRV1	MN876841	NA	NA	Saccharolobus solfataricus rod-shaped virus 1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA 
39	500	Icerudivirus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA 
39	600	Icerudivirus kverkfjoellense	NA	SIRV1	AJ414696	NA	NA	Sulfolobus islandicus rod-shaped virus 1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA 
39	600	Icerudivirus hveragerdiense	NA	SIRV2	AJ344259	NA	NA	Sulfolobus islandicus rod-shaped virus 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA 
39	600	Icerudivirus gunnuhverense	NA	SIRV3	KX712143	NA	NA	Sulfolobus islandicus rod-shaped virus 3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA 
39	500	Itarudivirus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA 
39	600	Itarudivirus pozzuoliense	NA	ARV1	AJ875026	NA	NA	Acidianus rod-shaped virus 1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA 
39	500	Japarudivirus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA 
39	600	Japarudivirus beppuense	NA	SBRV1	MK064565	NA	NA	Sulfolobales Beppu rod-shaped virus 1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA 
39	500	Mexirudivirus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA 
39	600	Mexirudivirus azufresense	NA	SMRV1	JX944686	NA	NA	Sulfolobales Mexican rod-shaped virus 1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA 
39	500	Usarudivirus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA 
39	600	Usarudivirus yellowstonense	NA	SIRV4	KY744231	NA	NA	Sulfolobus islandicus rod-shaped virus 4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA 
39	600	Usarudivirus nymphense	NA	SIRV5	KY744233	NA	NA	Sulfolobus islandicus rod-shaped virus 5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA 
39	600	Usarudivirus caloris	NA	SIRV8	KY744229	NA	NA	Sulfolobus islandicus rod-shaped virus 8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA 
39	600	Usarudivirus aestus	NA	SIRV9	KY744228	NA	NA	Sulfolobus islandicus rod-shaped virus 9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA 
39	600	Usarudivirus acidum	NA	SIRV10	KY744230	NA	NA	Sulfolobus islandicus rod-shaped virus 10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA 
39	600	Usarudivirus dryadis	NA	SIRV11	KY744234	NA	NA	Sulfolobus islandicus rod-shaped virus 11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA 
39	300	Ungulaviridae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA 
39	500	Captovirus	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA 
39	600	Captovirus yellowstonense	1	NA	AJ567472	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA 
39	200	Maximonvirales	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA 
39	300	Ahmunviridae	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA 
39	500	Yumkaaxvirus	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA 
39	600	Yumkaaxvirus pescaderoense	1	PBV300	OP413840	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA 
39	200	Primavirales	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA 
39	300	Tristromaviridae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA 
39	500	Alphatristromavirus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA 
39	600	Alphatristromavirus pozzuoliense	NA	PFV1	KU307456	NA	NA	Pyrobaculum filamentous virus 1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA 
39	600	Alphatristromavirus puteoliense	NA	PFV2	MN876844	NA	NA	Pyrobaculum filamentous virus 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA 
