subcommittee	code	docx	xlsx	row	change	rank	taxon	level	error	message	notes	scAbbrev	order	docpath	path	file	basename	xlsxpath
Archaeal viruses (A) proposals	2023.001A	2023.001A.Archaeal_binomials.docx	2023.001A.Archaeal_binomials.xlsx	5	Rename	species	Alphalipothrixvirus SBFV2	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Alphalipothrixvirus SBFV2' to 'Alphalipothrixvirus umijigokuense' in 'Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Lipothrixviridae;Alphalipothrixvirus'	NA	5503	NA	NA	NA	NA	NA
Archaeal viruses (A) proposals	2023.001A	2023.001A.Archaeal_binomials.docx	2023.001A.Archaeal_binomials.xlsx	6	Rename	species	Alphalipothrixvirus SFV1	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Alphalipothrixvirus SFV1' to 'Alphalipothrixvirus beppuense' in 'Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Lipothrixviridae;Alphalipothrixvirus'	NA	5504	NA	NA	NA	NA	NA
Archaeal viruses (A) proposals	2023.001A	2023.001A.Archaeal_binomials.docx	2023.001A.Archaeal_binomials.xlsx	7	Rename	species	Acidianus filamentous virus 3	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Acidianus filamentous virus 3' to 'Betalipothrixvirus acidiani' in 'Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Lipothrixviridae;Betalipothrixvirus'	NA	5505	NA	NA	NA	NA	NA
Archaeal viruses (A) proposals	2023.001A	2023.001A.Archaeal_binomials.docx	2023.001A.Archaeal_binomials.xlsx	8	Rename	species	Acidianus filamentous virus 6	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Acidianus filamentous virus 6' to 'Betalipothrixvirus pozzuoliense' in 'Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Lipothrixviridae;Betalipothrixvirus'	NA	5506	NA	NA	NA	NA	NA
Archaeal viruses (A) proposals	2023.001A	2023.001A.Archaeal_binomials.docx	2023.001A.Archaeal_binomials.xlsx	9	Rename	species	Acidianus filamentous virus 7	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Acidianus filamentous virus 7' to 'Betalipothrixvirus pezzuloense' in 'Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Lipothrixviridae;Betalipothrixvirus'	NA	5507	NA	NA	NA	NA	NA
Archaeal viruses (A) proposals	2023.001A	2023.001A.Archaeal_binomials.docx	2023.001A.Archaeal_binomials.xlsx	10	Rename	species	Acidianus filamentous virus 8	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Acidianus filamentous virus 8' to 'Betalipothrixvirus puteoliense' in 'Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Lipothrixviridae;Betalipothrixvirus'	NA	5508	NA	NA	NA	NA	NA
Archaeal viruses (A) proposals	2023.001A	2023.001A.Archaeal_binomials.docx	2023.001A.Archaeal_binomials.xlsx	11	Rename	species	Acidianus filamentous virus 9	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Acidianus filamentous virus 9' to 'Betalipothrixvirus uzonense' in 'Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Lipothrixviridae;Betalipothrixvirus'	NA	5509	NA	NA	NA	NA	NA
Archaeal viruses (A) proposals	2023.001A	2023.001A.Archaeal_binomials.docx	2023.001A.Archaeal_binomials.xlsx	12	Rename	species	Sulfolobus islandicus filamentous virus	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Sulfolobus islandicus filamentous virus' to 'Betalipothrixvirus hveragerdiense' in 'Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Lipothrixviridae;Betalipothrixvirus'	NA	5510	NA	NA	NA	NA	NA
Archaeal viruses (A) proposals	2023.001A	2023.001A.Archaeal_binomials.docx	2023.001A.Archaeal_binomials.xlsx	13	Rename	species	Acidianus filamentous virus 2	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Acidianus filamentous virus 2' to 'Deltalipothrixvirus pozzuoliense' in 'Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Lipothrixviridae;Deltalipothrixvirus'	NA	5511	NA	NA	NA	NA	NA
Archaeal viruses (A) proposals	2023.001A	2023.001A.Archaeal_binomials.docx	2023.001A.Archaeal_binomials.xlsx	14	Rename	species	Deltalipothrixvirus SBFV3	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Deltalipothrixvirus SBFV3' to 'Deltalipothrixvirus beppuense' in 'Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Lipothrixviridae;Deltalipothrixvirus'	NA	5512	NA	NA	NA	NA	NA
