accession	species	virus_name
AB005795	Murine respirovirus	Sendai virus
AB017613	Torque teno virus 16	torque teno virus 16
AB020781	Honeysuckle yellow vein mosaic virus	honeysuckle yellow vein mosaic virus
AB028604	Tobacco leaf curl Japan virus	tobacco leaf curl Japan virus
AB040446	Ryegrass mottle virus	ryegrass mottle virus
AB042597	Lepidopteran iteradensovirus 1	lepidopteran iteradensovirus 1; Bombyx mori densovirus 5
AB049607	Torque teno virus 23	torque teno virus 23
AB049735	Gallid alphaherpesvirus 3	gallid alphaherpesvirus 3
AB054647	Torque teno virus 8	torque teno virus 8
AB064595	Torque teno virus 27	torque teno virus 27
AB064598	Torque teno virus 28	torque teno virus 28
AB064605	Torque teno virus 12	torque teno virus 12
AB186123	Bombyx mori latent virus	Bombyx mori latent virus
AB289903	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289904	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289905	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289906	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289907	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289908	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289909	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289910	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289911	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289912	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289913	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289914	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289915	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289916	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289917	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289918	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289919	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289920	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289921	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289922	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289923	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289924	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289925	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289926	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289927	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289928	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289929	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
AB289930	Ichnoviriform fumiferanae	Glypta fumiferanae ichnovirus
