isolate_id	taxnode_id	species_sort	isolate_sort	species_name	isolate_type	isolate_names	isolate_abbrevs	isolate_designation	genbank_accessions	refseq_accessions	genome_coverage	molecule	host_source	refseq_organism	refseq_taxids	update_change	update_prev_species	update_prev_taxnode_id	update_change_proposal	_isolate_name	notes
1000001	202408644	3	1	Alphalipothrixvirus umijigokuense	E	Sulfolobales Beppu filamentous virus 2	SBFV2	clone B	MK064563	NC_048128	Coding-complete genome	dsDNA	archaea	NULL	2493123	same	Alphalipothrixvirus umijigokuense	202308644	NULL	Sulfolobales Beppu filamentous virus 2	NULL
1000002	202408643	2	1	Alphalipothrixvirus beppuense	E	Sulfolobus filamentous virus 1	SFV1	S48	MH447526	NC_048037	Complete genome	dsDNA	archaea	NULL	2304198	same	Alphalipothrixvirus beppuense	202308643	NULL	Sulfolobus filamentous virus 1	NULL
1000003	202401532	4	1	Betalipothrixvirus acidiani	E	Acidianus filamentous virus 3	AFV3	NULL	AM087120	NC_010155	Complete genome	dsDNA	archaea	NULL	346881	same	Betalipothrixvirus acidiani	202301532	NULL	Acidianus filamentous virus 3	NULL
1000004	202401533	7	1	Betalipothrixvirus pozzuoliense	E	Acidianus filamentous virus 6	AFV6	NULL	AM087121	NC_010152	Complete genome	dsDNA	archaea	NULL	346882	same	Betalipothrixvirus pozzuoliense	202301533	NULL	Acidianus filamentous virus 6	NULL
1000005	202401534	6	1	Betalipothrixvirus pezzuloense	E	Acidianus filamentous virus 7	AFV7	NULL	AM087122	NC_010153	Complete genome	dsDNA	archaea	NULL	346883	same	Betalipothrixvirus pezzuloense	202301534	NULL	Acidianus filamentous virus 7	NULL
1000006	202401535	8	1	Betalipothrixvirus puteoliense	E	Acidianus filamentous virus 8	AFV8	NULL	AM087123	NC_010154	Complete genome	dsDNA	archaea	NULL	346884	same	Betalipothrixvirus puteoliense	202301535	NULL	Acidianus filamentous virus 8	NULL
1000007	202401536	9	1	Betalipothrixvirus uzonense	E	Acidianus filamentous virus 9	AFV9	NULL	EU545650	NC_010537	Complete genome	dsDNA	archaea	NULL	512792	same	Betalipothrixvirus uzonense	202301536	NULL	Acidianus filamentous virus 9	NULL
1000008	202401537	5	1	Betalipothrixvirus hveragerdiense	E	Sulfolobus islandicus filamentous virus	SIFV	NULL	AF440571	NC_003214	Complete genome	dsDNA	archaea	NULL	176106	same	Betalipothrixvirus hveragerdiense	202301537	NULL	Sulfolobus islandicus filamentous virus	NULL
1000009	202401539	11	1	Deltalipothrixvirus pozzuoliense	E	Acidianus filamentous virus 2	AFV2	NULL	AJ854042	NC_009884	Complete genome	dsDNA	archaea	NULL	300186	same	Deltalipothrixvirus pozzuoliense	202301539	NULL	Acidianus filamentous virus 2	NULL
1000010	202408645	10	1	Deltalipothrixvirus beppuense	E	Sulfolobales Beppu filamentous virus 3	SBFV3	clone C	MK064564	NC_048127	Coding-complete genome	dsDNA	archaea	NULL	2493124	same	Deltalipothrixvirus beppuense	202308645	NULL	Sulfolobales Beppu filamentous virus 3	NULL
1000011	202411720	12	1	Azorudivirus furnasense	E	Stygiolobus rod-shaped virus	SRV	NULL	FM164764	NC_025375	Coding-complete genome	dsDNA	archaea	NULL	537009	same	Azorudivirus furnasense	202311720	NULL	Stygiolobus rod-shaped virus	NULL
1000012	202411716	15	1	Hoswirudivirus pozzuoliense	E	Acidianus rod-shaped virus 2	ARV2	NULL	KP282675	NC_029314	Coding-complete genome	dsDNA	archaea	NULL	1732175	same	Hoswirudivirus pozzuoliense	202311716	NULL	Acidianus rod-shaped virus 2	NULL
1000013	202411717	13	1	Hoswirudivirus acidiani	E	Acidianus rod-shaped virus 3	ARV3	NULL	MN876842	NC_074632	Coding-complete genome	dsDNA	archaea	NULL	NULL	same	Hoswirudivirus acidiani	202311717	NULL	Acidianus rod-shaped virus 3	NULL
1000014	202411718	14	1	Hoswirudivirus metallosphaerae	E	Metallosphaera rod-shaped virus 1	MRV1	NULL	MN876843	NC_074633	Coding-complete genome	dsDNA	archaea	NULL	NULL	same	Hoswirudivirus metallosphaerae	202311718	NULL	Metallosphaera rod-shaped virus 1	NULL
1000015	202411719	16	1	Hoswirudivirus saccharolobi	E	Saccharolobus solfataricus rod-shaped virus 1	SSRV1	NULL	MN876841	NC_074634	Coding-complete genome	dsDNA	archaea	NULL	NULL	same	Hoswirudivirus saccharolobi	202311719	NULL	Saccharolobus solfataricus rod-shaped virus 1	NULL
1000016	202401546	19	1	Icerudivirus kverkfjoellense	E	Sulfolobus islandicus rod-shaped virus 1	SIRV1	NULL	AJ414696	NC_004087	Complete genome	dsDNA	archaea	NULL	157898	same	Icerudivirus kverkfjoellense	202301546	NULL	Sulfolobus islandicus rod-shaped virus 1	NULL
1000017	202401547	18	1	Icerudivirus hveragerdiense	E	Sulfolobus islandicus rod-shaped virus 2	SIRV2	NULL	AJ344259	NC_004086	Complete genome	dsDNA	archaea	NULL	157899	same	Icerudivirus hveragerdiense	202301547	NULL	Sulfolobus islandicus rod-shaped virus 2	NULL
1000018	202411709	17	1	Icerudivirus gunnuhverense	E	Sulfolobus islandicus rod-shaped virus 3	SIRV3	NULL	KX712143	NC_030884	Coding-complete genome	dsDNA	archaea	NULL	1895333	same	Icerudivirus gunnuhverense	202311709	NULL	Sulfolobus islandicus rod-shaped virus 3	NULL
1000019	202401545	20	1	Itarudivirus pozzuoliense	E	Acidianus rod-shaped virus 1	ARV1	NULL	AJ875026	NC_009965	Coding-complete genome	dsDNA	archaea	NULL	309181	same	Itarudivirus pozzuoliense	202301545	NULL	Acidianus rod-shaped virus 1	NULL
1000020	202411721	21	1	Japarudivirus beppuense	E	Sulfolobales Beppu rod-shaped virus 1	SBRV1	NULL	MK064565	NC_074635	Coding-complete genome	dsDNA	archaea	NULL	NULL	same	Japarudivirus beppuense	202311721	NULL	Sulfolobales Beppu rod-shaped virus 1	NULL
1000021	202411722	22	1	Mexirudivirus azufresense	E	Sulfolobales Mexican rod-shaped virus 1	SMRV1	NULL	JX944686	NC_019413	Coding-complete genome	dsDNA	archaea	NULL	1245909	same	Mexirudivirus azufresense	202311722	NULL	Sulfolobales Mexican rod-shaped virus 1	NULL
1000022	202411714	23	1	Usarudivirus acidum	E	Sulfolobus islandicus rod-shaped virus 10	SIRV10	NULL	KY744230	NC_034625	Coding-complete genome	dsDNA	archaea	NULL	1983545	same	Usarudivirus acidum	202311714	NULL	Sulfolobus islandicus rod-shaped virus 10	NULL
1000023	202411715	26	1	Usarudivirus dryadis	E	Sulfolobus islandicus rod-shaped virus 11	SIRV11	NULL	KY744234	NC_034624	Coding-complete genome	dsDNA	archaea	NULL	1983546	same	Usarudivirus dryadis	202311715	NULL	Sulfolobus islandicus rod-shaped virus 11	NULL
