tree_id	msl_release_num	version_tag	comments
19710000	1	NULL	NULL
19740000	2	NULL	NULL
19750000	3	NULL	NULL
19760000	4	NULL	NULL
19780000	5	NULL	NULL
19790000	6	NULL	NULL
19810000	7	NULL	NULL
19820000	8	NULL	NULL
19840000	9	NULL	NULL
19870000	10	NULL	NULL
19900000	11	NULL	NULL
19910000	12	NULL	NULL
19930000	13	NULL	NULL
19950000	14	NULL	NULL
19960000	15	NULL	NULL
19970000	16	NULL	NULL
19980000	17	NULL	NULL
19990000	18	NULL	NULL
19995000	19	NULL	NULL
20020000	20	NULL	NULL
20025000	21	NULL	second MSL, same year
20040000	22	NULL	NULL
20070000	23	NULL	NULL
20080000	24	NULL	NULL
20090000	25	NULL	NULL
20110000	26	NULL	NULL
20120000	27	NULL	NULL
20130000	28	NULL	NULL
20140000	29	NULL	NULL
20150000	30	NULL	NULL
20160000	31	NULL	NULL
20170000	32	NULL	NULL
20180000	33	NULL	NULL
201850000	34	NULL	2nd release in same year, but we now have too many nodes to jump up by just 10,000, so start moving years up by 100,000, and thus half years by 50,000, but start by jumping up 10X to have room. 
201900000	35	NULL	NULL
202000000	36	NULL	NULL
202100000	37	NULL	NULL
202200000	38	NULL	NULL
202300000	39	MSL39v4	NULL
202400000	40	MSL40v2	NULL
