isolate_id	Isolate ID	Species Sort	Isolate Sort	Realm	Subrealm	Kingdom	Subkingdom	Phylum	Subphylum	Class	Subclass	Order	Suborder	Family	Subfamily	Genus	Subgenus	Species	ICTV_ID	Exemplar or additional isolate	Virus name(s)	Virus name abbreviation(s)	Virus isolate designation	Virus GENBANK accession	Genome coverage	Genome	Host source	Accessions Link	Editor Notes	QC_status	QC_taxon_inher_molecule	QC_taxon_change	QC_taxon_proposal
1000001	VMR1000001	3	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Alphalipothrixvirus		Alphalipothrixvirus umijigokuense	=HYPERLINK("https://ictv.global/taxonomy/taxondetails?taxnode_id=202408644&ictv_id=ICTV201908644","ICTV201908644")	E	Sulfolobales Beppu filamentous virus 2	SBFV2	SBFV2 clone B	MK064563	Coding-complete genome	dsDNA	archaea	=HYPERLINK("https://www.ncbi.nlm.nih.gov/nuccore/MK064563","NCBI Nucleotide")			dsDNA	same	
1000002	VMR1000002	2	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Alphalipothrixvirus		Alphalipothrixvirus beppuense	=HYPERLINK("https://ictv.global/taxonomy/taxondetails?taxnode_id=202408643&ictv_id=ICTV201908643","ICTV201908643")	E	Sulfolobus filamentous virus 1	SFV1	SFV1 isolate S48	MH447526	Complete genome	dsDNA	archaea	=HYPERLINK("https://www.ncbi.nlm.nih.gov/nuccore/MH447526","NCBI Nucleotide")			dsDNA	same	
1000003	VMR1000003	4	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Betalipothrixvirus		Betalipothrixvirus acidiani	=HYPERLINK("https://ictv.global/taxonomy/taxondetails?taxnode_id=202401532&ictv_id=ICTV20094000","ICTV20094000")	E	Acidianus filamentous virus 3	AFV3		AM087120	Complete genome	dsDNA	archaea	=HYPERLINK("https://www.ncbi.nlm.nih.gov/nuccore/AM087120","NCBI Nucleotide")			dsDNA	same	
1000004	VMR1000004	7	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Betalipothrixvirus		Betalipothrixvirus pozzuoliense	=HYPERLINK("https://ictv.global/taxonomy/taxondetails?taxnode_id=202401533&ictv_id=ICTV20094001","ICTV20094001")	E	Acidianus filamentous virus 6	AFV6		AM087121	Complete genome	dsDNA	archaea	=HYPERLINK("https://www.ncbi.nlm.nih.gov/nuccore/AM087121","NCBI Nucleotide")			dsDNA	same	
1000005	VMR1000005	6	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Betalipothrixvirus		Betalipothrixvirus pezzuloense	=HYPERLINK("https://ictv.global/taxonomy/taxondetails?taxnode_id=202401534&ictv_id=ICTV20094002","ICTV20094002")	E	Acidianus filamentous virus 7	AFV7		AM087122	Complete genome	dsDNA	archaea	=HYPERLINK("https://www.ncbi.nlm.nih.gov/nuccore/AM087122","NCBI Nucleotide")			dsDNA	same	
1000006	VMR1000006	8	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Betalipothrixvirus		Betalipothrixvirus puteoliense	=HYPERLINK("https://ictv.global/taxonomy/taxondetails?taxnode_id=202401535&ictv_id=ICTV20094003","ICTV20094003")	E	Acidianus filamentous virus 8	AFV8		AM087123	Complete genome	dsDNA	archaea	=HYPERLINK("https://www.ncbi.nlm.nih.gov/nuccore/AM087123","NCBI Nucleotide")			dsDNA	same	
1000007	VMR1000007	9	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Betalipothrixvirus		Betalipothrixvirus uzonense	=HYPERLINK("https://ictv.global/taxonomy/taxondetails?taxnode_id=202401536&ictv_id=ICTV20094004","ICTV20094004")	E	Acidianus filamentous virus 9	AFV9		EU545650	Complete genome	dsDNA	archaea	=HYPERLINK("https://www.ncbi.nlm.nih.gov/nuccore/EU545650","NCBI Nucleotide")			dsDNA	same	
1000008	VMR1000008	5	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Betalipothrixvirus		Betalipothrixvirus hveragerdiense	=HYPERLINK("https://ictv.global/taxonomy/taxondetails?taxnode_id=202401537&ictv_id=ICTV20041365","ICTV20041365")	E	Sulfolobus islandicus filamentous virus	SIFV		AF440571	Complete genome	dsDNA	archaea	=HYPERLINK("https://www.ncbi.nlm.nih.gov/nuccore/AF440571","NCBI Nucleotide")			dsDNA	same	
1000009	VMR1000009	11	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Deltalipothrixvirus		Deltalipothrixvirus pozzuoliense	=HYPERLINK("https://ictv.global/taxonomy/taxondetails?taxnode_id=202401539&ictv_id=ICTV20084110","ICTV20084110")	E	Acidianus filamentous virus 2	AFV2		AJ854042	Complete genome	dsDNA	archaea	=HYPERLINK("https://www.ncbi.nlm.nih.gov/nuccore/AJ854042","NCBI Nucleotide")			dsDNA	same	
1000010	VMR1000010	10	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Deltalipothrixvirus		Deltalipothrixvirus beppuense	=HYPERLINK("https://ictv.global/taxonomy/taxondetails?taxnode_id=202408645&ictv_id=ICTV201908645","ICTV201908645")	E	Sulfolobales Beppu filamentous virus 3	SBFV3	SBFV3 clone C	MK064564	Coding-complete genome	dsDNA	archaea	=HYPERLINK("https://www.ncbi.nlm.nih.gov/nuccore/MK064564","NCBI Nucleotide")			dsDNA	same	
