filename	sort	proposal_abbrev	proposal	spreadsheet	srcRealm	srcSubrealm	srcKingdom	srcSubkingdom	srcPhylum	srcSubphylum	srcClass	srcSubclass	srcOrder	srcSuborder	srcFamily	srcSubfamily	srcGenus	srcSubgenus	srcSpecies	srcexemplarAccessions	realm	subrealm	kingdom	subkingdom	phylum	subphylum	class	subclass	order	suborder	family	subfamily	genus	subgenus	species	exemplarAccessions	exemplarName	Abbrev	exemplarIsolate	isComplete	molecule	hostSource	change	rank
load_next_msl.msl36v1.txt	1	2021.001A	2021.001A.A.v1.Archaeal_Caudoviricetes.zip	2021.001A.A.v1.Archaeal_Caudoviricetes.xlsx																	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes		Thumleimavirales											CG	dsDNA	archaea	Create new	order
load_next_msl.msl36v1.txt	2	2021.001A	2021.001A.A.v1.Archaeal_Caudoviricetes.zip	2021.001A.A.v1.Archaeal_Caudoviricetes.xlsx																	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes		Kirjokansivirales											CG	dsDNA	archaea	Create new	order
load_next_msl.msl36v1.txt	3	2021.001A	2021.001A.A.v1.Archaeal_Caudoviricetes.zip	2021.001A.A.v1.Archaeal_Caudoviricetes.xlsx																	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes		Methanobavirales											CG	dsDNA	archaea	Create new	order
load_next_msl.msl36v1.txt	4	2021.001A	2021.001A.A.v1.Archaeal_Caudoviricetes.zip	2021.001A.A.v1.Archaeal_Caudoviricetes.xlsx																	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Vertoviridae									CG	dsDNA	archaea	Create new	family
load_next_msl.msl36v1.txt	5	2021.001A	2021.001A.A.v1.Archaeal_Caudoviricetes.zip	2021.001A.A.v1.Archaeal_Caudoviricetes.xlsx																	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Suolaviridae									CG	dsDNA	archaea	Create new	family
load_next_msl.msl36v1.txt	6	2021.001A	2021.001A.A.v1.Archaeal_Caudoviricetes.zip	2021.001A.A.v1.Archaeal_Caudoviricetes.xlsx																	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Saparoviridae									CG	dsDNA	archaea	Create new	family
load_next_msl.msl36v1.txt	7	2021.001A	2021.001A.A.v1.Archaeal_Caudoviricetes.zip	2021.001A.A.v1.Archaeal_Caudoviricetes.xlsx																	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Madisaviridae									CG	dsDNA	archaea	Create new	family
load_next_msl.msl36v1.txt	8	2021.001A	2021.001A.A.v1.Archaeal_Caudoviricetes.zip	2021.001A.A.v1.Archaeal_Caudoviricetes.xlsx																	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes		Thumleimavirales		Hafunaviridae									CG	dsDNA	archaea	Create new	family
load_next_msl.msl36v1.txt	9	2021.001A	2021.001A.A.v1.Archaeal_Caudoviricetes.zip	2021.001A.A.v1.Archaeal_Caudoviricetes.xlsx																	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes		Thumleimavirales		Queuoviridae									CG	dsDNA	archaea	Create new	family
load_next_msl.msl36v1.txt	10	2021.001A	2021.001A.A.v1.Archaeal_Caudoviricetes.zip	2021.001A.A.v1.Archaeal_Caudoviricetes.xlsx																	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes		Thumleimavirales		Soleiviridae									CG	dsDNA	archaea	Create new	family
