subcommittee	code	docx	xlsx	row	change	rank	taxon	level	error	message	notes	scAbbrev
Archaeal viruses (A) proposals	2023.003A	MISSING	2023.003A.N.v1.test_xls.xls	6	Create new	genus	NewRhizidiovirus	INFO	XLSX.CHANGE_CV_REMOVE_NON_ALPHA-NUMERIC-SPACE-SEMI	XLSX has Change col:non-(AlphaNumeric,hyphen,space,dash) characters removed	change:Create[ ]new:C=67,r=114,e=101,a=97,t=116,e=101, =c(194, 160),n=110,e=101,w=119,C=67,r=114,e=101,a=97,t=116,e=101, =c(194, 160),n=110,e=101,w=119,C=67,r=114,e=101,a=97,t=116,e=101, =c(194, 160),n=110,e=101,w=119	NA
Archaeal viruses (A) proposals	2023.003A	MISSING	2023.003A.N.v1.test_xls.xls	7	Create new	subgenus	NewSubRhizidiovirus	INFO	XLSX.CHANGE_CV_REMOVE_NON_ALPHA-NUMERIC-SPACE-SEMI	XLSX has Change col:non-(AlphaNumeric,hyphen,space,dash) characters removed	change:Create[ ]new:C=67,r=114,e=101,a=97,t=116,e=101, =c(194, 160),n=110,e=101,w=119,C=67,r=114,e=101,a=97,t=116,e=101, =c(194, 160),n=110,e=101,w=119,C=67,r=114,e=101,a=97,t=116,e=101, =c(194, 160),n=110,e=101,w=119	NA
Archaeal viruses (A) proposals	2023.003A	MISSING	2023.003A.N.v1.test_xls.xls	8	Create new	species	NotBinomial Rhizidiomyces virus xls	INFO	XLSX.CHANGE_CV_REMOVE_NON_ALPHA-NUMERIC-SPACE-SEMI	XLSX has Change col:non-(AlphaNumeric,hyphen,space,dash) characters removed	change:Create[ ]new:C=67,r=114,e=101,a=97,t=116,e=101, =c(194, 160),n=110,e=101,w=119,C=67,r=114,e=101,a=97,t=116,e=101, =c(194, 160),n=110,e=101,w=119,C=67,r=114,e=101,a=97,t=116,e=101, =c(194, 160),n=110,e=101,w=119	NA
Archaeal viruses (A) proposals	2023.003A	MISSING	2023.003A.N.v1.test_xls.xls	6	Create new	genus	NewRhizidiovirus	SUCCESS	CREATE.OK	Change=CREATE, applied successfully	Create genus of 'NewRhizidiovirus'	NA
Archaeal viruses (A) proposals	2023.003A	MISSING	2023.003A.N.v1.test_xls.xls	7	Create new	subgenus	NewSubRhizidiovirus	SUCCESS	CREATE.OK	Change=CREATE, applied successfully	Create subgenus of 'NewRhizidiovirus;NewSubRhizidiovirus'	NA
Archaeal viruses (A) proposals	2023.003A	MISSING	2023.003A.N.v1.test_xls.xls	5	Move	species	Rhizidiomyces virus	SUCCESS	MOVE.OK	Change=MOVE, applied successfully	MOVED species named 'Rhizidiomyces virus' from 'Rhizidiovirus;Rhizidiomyces virus' to 'NewRhizidiovirus;NewSubRhizidiovirus;NewRhizidiomyces virus xls'	NA
Archaeal viruses (A) proposals	2023.003A	MISSING	2023.003A.N.v1.test_xls.xls	8	Create new	species	NotBinomial Rhizidiomyces virus xls	WARNING	CREATE.SPECIES_BINOMIAL_MISMATCH	Change=CREATE, but proposed species names does not start with 'genus[space]' per binomial naming convention	parent genus name =NewRhizidiovirus	NA
Archaeal viruses (A) proposals	2023.003A	MISSING	2023.003A.N.v1.test_xls.xls	8	Create new	species	NotBinomial Rhizidiomyces virus xls	WARNING	CREATE.SPECIES_NO_HOST_SOURCE	Change=CREATE, but proposed species must have a host/source value	parent genus name =NewRhizidiovirus	NA
Archaeal viruses (A) proposals	2023.003A	MISSING	2023.003A.N.v1.test_xls.xls	8	Create new	species	NotBinomial Rhizidiomyces virus xls	SUCCESS	CREATE.OK	Change=CREATE, applied successfully	Create species of 'NewRhizidiovirus;NewSubRhizidiovirus;NotBinomial Rhizidiomyces virus xls'	NA
Archaeal viruses (A) proposals	2023.003A	MISSING	2023.003A.N.v1.test_xls.xls	NA	NA	genus	Rhizidiovirus	ERROR	PROPOSAL.EMPTY_TAXA	Proposal created empty (non-species) taxa	the genus 'Rhizidiovirus' is empty - it does not contain ny lower taxons	NA
