subcommittee	code	docx	xlsx	row	change	rank	taxon	level	error	message	notes	scAbbrev	order
Fungal and protist virus (F) proposals	2023.009F	2023.009F.A.v3.Virophages_reorg.docx	2023.009F.A.v3.Virophages_reorg.xlsx	5	Promote	order	Lavidaviridae	SUCCESS	PROMOTE.OK	Change=PROMOTE, applied successfully	PROMOTE family named 'Lavidaviridae' to order named 'Lavidavirales' PROPOSED//CUR=[identical]Varidnaviria;Bamfordvirae;Preplasmiviricota;Maveriviricetes;Priklausovirales;Lavidaviridae	NA	1
Fungal and protist virus (F) proposals	2023.009F	2023.009F.A.v3.Virophages_reorg.docx	2023.009F.A.v3.Virophages_reorg.xlsx	6	Split	family	Lavidaviridae	INFO	CREATE.PARENT_RENAMED	Change=SPLIT, proposed parent taxon exists, but not with expected name/lineage, using observed lineage	otherProposal(s)=2023.009F.A.v3.Virophages_reorg.zip:5 did a promote family [identical]Varidnaviria;Bamfordvirae;Preplasmiviricota;Maveriviricetes;Priklausovirales;Lavidaviridae, PROPOSED//OBSERVED=Varidnaviria;Bamfordvirae;Preplasmiviricota;Maveriviricetes;[Lavida//Priklauso]virales;[//Lavidaviridae]	NA	4
Fungal and protist virus (F) proposals	2023.009F	2023.009F.A.v3.Virophages_reorg.docx	2023.009F.A.v3.Virophages_reorg.xlsx	6	Split	family	Lavidaviridae	SUCCESS	SPLIT.OK	Change=SPLIT, applied successfully	Create family of 'Varidnaviria;Bamfordvirae;Preplasmiviricota;Maveriviricetes;Priklausovirales;Lavidaviridae;Maviroviridae'	NA	4
Fungal and protist virus (F) proposals	2023.009F	2023.009F.A.v3.Virophages_reorg.docx	2023.009F.A.v3.Virophages_reorg.xlsx	7	Move	genus	Mavirus	INFO	MOVE.PROPOSED_PARENT_LINEAGE_CHANGED	PROPOSED parent lineage already modified	proposal(s)=2023.009F.A.v3.Virophages_reorg.zip:5 did a promote family [identical]Varidnaviria;Bamfordvirae;Preplasmiviricota;Maveriviricetes;Priklausovirales;Lavidaviridae; OBSERVED//PROPOSED=Varidnaviria;Bamfordvirae;Preplasmiviricota;Maveriviricetes;[Priklauso//Lavida]virales;[Lavida//Maviro]viridae;[Maviroviridae//]	NA	16
Fungal and protist virus (F) proposals	2023.009F	2023.009F.A.v3.Virophages_reorg.docx	2023.009F.A.v3.Virophages_reorg.xlsx	7	Move	genus	Mavirus	SUCCESS	MOVE.OK	Change=MOVE, applied successfully	MOVE genus named 'Mavirus' to genus named 'Mavirus' PROPOSED//CUR=[identical]Varidnaviria;Bamfordvirae;Preplasmiviricota;Maveriviricetes;Priklausovirales;Lavidaviridae;Mavirus	NA	16
Fungal and protist virus (F) proposals	2023.009F	2023.009F.A.v3.Virophages_reorg.docx	2023.009F.A.v3.Virophages_reorg.xlsx	8	Rename	species	Cafeteriavirus-dependent mavirus	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Cafeteriavirus-dependent mavirus' to 'Mavirus cafeteriae' in 'Varidnaviria;Bamfordvirae;Preplasmiviricota;Maveriviricetes;Priklausovirales;Lavidaviridae;Mavirus'	NA	23
Fungal and protist virus (F) proposals	2023.009F	2023.009F.A.v3.Virophages_reorg.docx	2023.009F.A.v3.Virophages_reorg.xlsx	9	Create new	order	Mividavirales	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create order of 'Varidnaviria;Bamfordvirae;Preplasmiviricota;Maveriviricetes;Mividavirales'	NA	2
Fungal and protist virus (F) proposals	2023.009F	2023.009F.A.v3.Virophages_reorg.docx	2023.009F.A.v3.Virophages_reorg.xlsx	10	Split	family	Lavidaviridae	SUCCESS	SPLIT.OK	Change=SPLIT, applied successfully	Create family of 'Varidnaviria;Bamfordvirae;Preplasmiviricota;Maveriviricetes;Mividavirales;Sputniviroviridae'	NA	5
Fungal and protist virus (F) proposals	2023.009F	2023.009F.A.v3.Virophages_reorg.docx	2023.009F.A.v3.Virophages_reorg.xlsx	10	split_abolish	order	Lavidavirales	INFO	SPLIT.IMPLICIT_ABOLISH	Change=SPLIT, but no split line kept original name, so remove original name from new MSL	removed order Lavidavirales from Varidnaviria;Bamfordvirae;Preplasmiviricota;Maveriviricetes;Priklausovirales;Lavidaviridae	NA	25
Fungal and protist virus (F) proposals	2023.009F	2023.009F.A.v3.Virophages_reorg.docx	2023.009F.A.v3.Virophages_reorg.xlsx	10	split_abolish	order	Lavidavirales	ERROR	SPLIT.IMPLICIT_ABOLISH_WITH_KIDS	Change=ABOLISH, taxon still has un-abolished/moved children	taxon=Lavidavirales, lineage=Varidnaviria;Bamfordvirae;Preplasmiviricota;Maveriviricetes;Priklausovirales;Lavidaviridae, kids: N=1, NAMES=[family:Maviroviridae]	NA	25
