subcommittee	code	docx	xlsx	row	change	rank	taxon	level	error	message	notes	scAbbrev	order	docpath	path	file	basename
Animal +ssRNA (S) proposals	2023.001S	MISSING	2023.001S.A.v2.Caliciviridae_12sprenamed.xlsx	5	Merge	species	Rabbit hemorrhagic disease virus	SUCCESS	MERGE_MOVE_RENAME.OK	Change=MERGE, applied successfully	MERGE species from 'Rabbit hemorrhagic disease virus' to 'Lagovirus europaeus' in 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Caliciviridae;Lagovirus', CURRENT//PROPOSED=Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Caliciviridae;Lagovirus;[Rabbit hemorrhagic disease virus//Lagovirus europaeus]	NA	1	NA	NA	NA	NA
Animal +ssRNA (S) proposals	2023.001S	MISSING	2023.001S.A.v2.Caliciviridae_12sprenamed.xlsx	6	Merge	species	European brown hare syndrome virus	SUCCESS	MERGE_INTO.OK	Change=MERGE, applied successfully	MERGE species named 'European brown hare syndrome virus' into species named 'Lagovirus europaeus' CUR//PROPOSED=Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Caliciviridae;Lagovirus;[European brown hare syndrome virus//Lagovirus europaeus]	NA	2	NA	NA	NA	NA
Animal +ssRNA (S) proposals	2023.001S	MISSING	2023.001S.A.v2.Caliciviridae_12sprenamed.xlsx	8	Rename	species	Bavaria virus	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Bavaria virus' to 'Bavovirus bavariaense' in 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Caliciviridae;Bavovirus'	NA	3	NA	NA	NA	NA
Animal +ssRNA (S) proposals	2023.001S	MISSING	2023.001S.A.v2.Caliciviridae_12sprenamed.xlsx	9	Rename	species	Minovirus A	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Minovirus A' to 'Minovirus pimephalis' in 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Caliciviridae;Minovirus'	NA	4	NA	NA	NA	NA
Animal +ssRNA (S) proposals	2023.001S	MISSING	2023.001S.A.v2.Caliciviridae_12sprenamed.xlsx	10	Rename	species	Nacovirus A	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Nacovirus A' to 'Nacovirus meleagridis' in 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Caliciviridae;Nacovirus'	NA	5	NA	NA	NA	NA
Animal +ssRNA (S) proposals	2023.001S	MISSING	2023.001S.A.v2.Caliciviridae_12sprenamed.xlsx	11	Rename	species	Newbury 1 virus	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Newbury 1 virus' to 'Nebovirus newburyense' in 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Caliciviridae;Nebovirus'	NA	6	NA	NA	NA	NA
Animal +ssRNA (S) proposals	2023.001S	MISSING	2023.001S.A.v2.Caliciviridae_12sprenamed.xlsx	12	Rename	species	Norwalk virus	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Norwalk virus' to 'Norovirus norwalkense' in 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Caliciviridae;Norovirus'	NA	7	NA	NA	NA	NA
Animal +ssRNA (S) proposals	2023.001S	MISSING	2023.001S.A.v2.Caliciviridae_12sprenamed.xlsx	13	Rename	species	Recovirus A	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Recovirus A' to 'Recovirus tulani' in 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Caliciviridae;Recovirus'	NA	8	NA	NA	NA	NA
Animal +ssRNA (S) proposals	2023.001S	MISSING	2023.001S.A.v2.Caliciviridae_12sprenamed.xlsx	14	Rename	species	Nordland virus	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Nordland virus' to 'Salovirus nordlandense' in 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Caliciviridae;Salovirus'	NA	9	NA	NA	NA	NA
Animal +ssRNA (S) proposals	2023.001S	MISSING	2023.001S.A.v2.Caliciviridae_12sprenamed.xlsx	15	Rename	species	Sapporo virus	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Sapporo virus' to 'Sapovirus sapporoense' in 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Caliciviridae;Sapovirus'	NA	10	NA	NA	NA	NA
