subcommittee	code	docx	xlsx	row	change	rank	taxon	level	error	message	notes	scAbbrev	order
NA	2	labels - 30 up - Confiture de FRAISE 2023-05-27.doc	NA	NA	NA	NA	NA	WARNING	DOCX_FILENAME_SPACES	filename contains a space: please replace with _ or -	labels[ ]-[ ]30[ ]up[ ]-[ ]Confiture[ ]de[ ]FRAISE[ ]2023-05-27.doc	NA	NA
NA	2	labels - 30 up - Confiture de FRAISE 2023-05-27.doc	NA	NA	NA	NA	NA	ERROR	XLSX.MISSING	DOCX has no matching XLSX	Suggestions: contact corresponding author	NA	NA
Archaeal viruses (A) proposals	2023.002A	MISSING	2023.002A.N.v4.create_subgenus_move_sp_create_sp.xlsx	5	Move	species	Rhizidiomyces virus	ERROR	SUFFIX_RANK_MISMATCH	Taxon name does not end with a valid suffix for it's rank	New name: 'NewRhizidiomyces virus' has the suffix of a 'subgenus' but is a 'species'; *IN*valid suffixes for rank [species]: viria,vira,virae,virites,viricota,viricotina,viricetes,viricetidae,virales,virineae,viridae,virinae,virus,virus,viroidae,viroinae,viroid,satellitidae,satellitinae,satellite,viriformidae,viriform	NA	0
Archaeal viruses (A) proposals	2023.002A	MISSING	2023.002A.N.v4.create_subgenus_move_sp_create_sp.xlsx	5	Move	species	Rhizidiomyces virus	ERROR	MOVE.SPECIES_BINOMIAL_MISMATCH	Change=MOVE, but proposed species names does not start with 'genus[space]' per binomial naming convention	parent genus name =NewRhizidiovirus	NA	4
Archaeal viruses (A) proposals	2023.002A	MISSING	2023.002A.N.v4.create_subgenus_move_sp_create_sp.xlsx	6	Create new	genus	NewRhizidiovirus	ERROR	TAXON_NAME_CASE	Non-species taxa must be Capitalized.	NewRhizidiovirus: Non-species taxa must start with a capital, followed by one or more lower-case letters, numbers or hyphens.	NA	0
Archaeal viruses (A) proposals	2023.002A	MISSING	2023.002A.N.v4.create_subgenus_move_sp_create_sp.xlsx	6	Create new	genus	NewRhizidiovirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'NewRhizidiovirus'	NA	1
Archaeal viruses (A) proposals	2023.002A	MISSING	2023.002A.N.v4.create_subgenus_move_sp_create_sp.xlsx	7	Create new	subgenus	NewSubRhizidiovirus	ERROR	TAXON_NAME_CASE	Non-species taxa must be Capitalized.	NewSubRhizidiovirus: Non-species taxa must start with a capital, followed by one or more lower-case letters, numbers or hyphens.	NA	0
Archaeal viruses (A) proposals	2023.002A	MISSING	2023.002A.N.v4.create_subgenus_move_sp_create_sp.xlsx	7	Create new	subgenus	NewSubRhizidiovirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create subgenus of 'NewRhizidiovirus;NewSubRhizidiovirus'	NA	2
Archaeal viruses (A) proposals	2023.002A	MISSING	2023.002A.N.v4.create_subgenus_move_sp_create_sp.xlsx	8	Create new	species	NotBinomial Rhizidiomyces virus	ERROR	SUFFIX_RANK_MISMATCH	Taxon name does not end with a valid suffix for it's rank	New name: 'NotBinomial Rhizidiomyces virus' has the suffix of a 'subgenus' but is a 'species'; *IN*valid suffixes for rank [species]: viria,vira,virae,virites,viricota,viricotina,viricetes,viricetidae,virales,virineae,viridae,virinae,virus,virus,viroidae,viroinae,viroid,satellitidae,satellitinae,satellite,viriformidae,viriform	NA	0
Archaeal viruses (A) proposals	2023.002A	MISSING	2023.002A.N.v4.create_subgenus_move_sp_create_sp.xlsx	8	Create new	species	NotBinomial Rhizidiomyces virus	ERROR	CREATE.SPECIES_NO_HOST_SOURCE	Change=NEW, but proposed species must have a host/source value		NA	3
