subcommittee	code	docx	xlsx	row	change	rank	taxon	level	error	message	notes	scAbbrev	order
NA	1	MISSING	2023.10M.N.v1.CreateSpeciesFirst.xlsx	5	Create new	species	GenusCreatedLater20Virus Species10	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Plasmaviridae;GenusCreatedLater20Virus;GenusCreatedLater20Virus Species10'	NA	7
NA	1	MISSING	2023.10M.N.v1.CreateSpeciesFirst.xlsx	6	Create new	species	GenusCreatedLater20Virus Species10-Two-and-Three	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Plasmaviridae;GenusCreatedLater20Virus;GenusCreatedLater20Virus Species10-Two-and-Three'	NA	8
NA	1	MISSING	2023.10M.N.v1.CreateSpeciesFirst.xlsx	7	Create new	genus	GenusToBeRenamed10Virus	ERROR	TAXON_NAME_CASE	Non-species taxa must be Capitalized.	GenusToBeRenamed10Virus: Non-species taxa must start with a capital, followed by one or more lower-case letters, numbers or hyphens.	NA	0
NA	1	MISSING	2023.10M.N.v1.CreateSpeciesFirst.xlsx	7	Create new	genus	GenusToBeRenamed10Virus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Plasmaviridae;GenusToBeRenamed10Virus'	NA	1
NA	1	MISSING	2023.10M.N.v1.CreateSpeciesFirst.xlsx	8	Create new	species	GenusToBeRenamed10Virus Species10ToBeRenamed	INFO	CREATE.PARENT_ALREADY_CHANGED_2	PROPOSED parent taxon already modified	proposal(s)=2023.20M.N.v1.CreateGenusAfter.zip:7 did a 'rename genus GenusToBeRenamed10Virus to GenusRenamed20Virus' 	NA	9
NA	1	MISSING	2023.10M.N.v1.CreateSpeciesFirst.xlsx	9	Create new	species	GenusToBeRenamed10Virus Species10ToBeBinomalError	INFO	CREATE.PARENT_ALREADY_CHANGED_2	PROPOSED parent taxon already modified	proposal(s)=2023.20M.N.v1.CreateGenusAfter.zip:7 did a 'rename genus GenusToBeRenamed10Virus to GenusRenamed20Virus' 	NA	10
NA	1	MISSING	2023.10M.N.v1.CreateSpeciesFirst.xlsx	10	Create new	genus	Genus10	ERROR	MISSING_RANK_SUFFIX	Taxon name does not end with a valid suffix for it's rank	New name:  Genus10 ; Valid suffixes for rank [ genus ]:  virus,viroid,satellite,viriform	NA	0
NA	1	MISSING	2023.10M.N.v1.CreateSpeciesFirst.xlsx	10	Create new	genus	Genus10	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Plasmaviridae;Genus10'	NA	2
NA	1	MISSING	2023.10M.N.v1.CreateSpeciesFirst.xlsx	11	Create new	species	Genus10 Species10to30to20	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Plasmaviridae;Genus10;Genus10 Species10to30to20'	NA	11
NA	2	MISSING	2023.20M.N.v1.CreateGenusAfter.xlsx	5	Create new	genus	GenusCreatedLater20Virus	ERROR	TAXON_NAME_CASE	Non-species taxa must be Capitalized.	GenusCreatedLater20Virus: Non-species taxa must start with a capital, followed by one or more lower-case letters, numbers or hyphens.	NA	0
NA	2	MISSING	2023.20M.N.v1.CreateGenusAfter.xlsx	5	Create new	genus	GenusCreatedLater20Virus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Plasmaviridae;GenusCreatedLater20Virus'	NA	3
NA	2	MISSING	2023.20M.N.v1.CreateGenusAfter.xlsx	6	Rename	species	GenusCreatedLater20Virus Species10-Two-and-Three	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'GenusCreatedLater20Virus Species10-Two-and-Three' to 'GenusCreatedLater20Virus Species20-TwoAndThree' in 'Plasmaviridae;GenusCreatedLater20Virus'	NA	13
NA	2	MISSING	2023.20M.N.v1.CreateGenusAfter.xlsx	7	Rename	genus	GenusToBeRenamed10Virus	ERROR	TAXON_NAME_CASE	Non-species taxa must be Capitalized.	GenusRenamed20Virus: Non-species taxa must start with a capital, followed by one or more lower-case letters, numbers or hyphens.	NA	0
NA	2	MISSING	2023.20M.N.v1.CreateGenusAfter.xlsx	7	Rename	genus	GenusToBeRenamed10Virus	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME genus from 'GenusToBeRenamed10Virus' to 'GenusRenamed20Virus' in 'Plasmaviridae'	NA	5
NA	2	MISSING	2023.20M.N.v1.CreateGenusAfter.xlsx	8	Rename	genus	GenusRenamedEarlier30Virus	ERROR	TAXON_NAME_CASE	Non-species taxa must be Capitalized.	GenusRenamedEarlier20Virus: Non-species taxa must start with a capital, followed by one or more lower-case letters, numbers or hyphens.	NA	0
NA	2	MISSING	2023.20M.N.v1.CreateGenusAfter.xlsx	8	Rename	genus	GenusRenamedEarlier30Virus	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME genus from 'GenusRenamedEarlier30Virus' to 'GenusRenamedEarlier20Virus' in 'Plasmaviridae'	NA	6
NA	2	MISSING	2023.20M.N.v1.CreateGenusAfter.xlsx	9	Rename	species	Genus10 Species30to20	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Genus10 Species30to20' to 'Genus10 Species20' in 'Plasmaviridae;Genus10'	NA	15
