subcommittee	code	docx	xlsx	row	change	rank	taxon	level	error	message	notes	scAbbrev	order
Archaeal viruses (A) proposals	2023.002A	MISSING	2023.002A.N.v4.create_subgenus_move_sp_create_sp.xlsx	5	Move	species	Rhizidiomyces virus	ERROR	SUFFIX_RANK_MISMATCH	Taxon name does not end with a valid suffix for it's rank	New name: 'NewRhizidiovirus good-binomail-move-virus' has the suffix of a 'subgenus' but is a 'species'; *IN*valid suffixes for rank [species]: viria,vira,virae,virites,viricota,viricotina,viricetes,viricetidae,virales,virineae,viridae,virinae,virus,virus,viroidae,viroinae,viroid,satellitidae,satellitinae,satellite,viriformidae,viriform	NA	0
Archaeal viruses (A) proposals	2023.002A	MISSING	2023.002A.N.v4.create_subgenus_move_sp_create_sp.xlsx	5	Move	species	Rhizidiomyces virus	SUCCESS	MOVE.OK	Change=MOVE, applied successfully	MOVE species named 'Rhizidiomyces virus' to species named 'NewRhizidiovirus good-binomail-move-virus' PROPOSED//CUR=[identical]Rhizidiovirus;Rhizidiomyces virus	NA	7
Archaeal viruses (A) proposals	2023.002A	MISSING	2023.002A.N.v4.create_subgenus_move_sp_create_sp.xlsx	6	Create new	genus	NewRhizidiovirus	ERROR	TAXON_NAME_CASE	Non-species taxa must be Capitalized.	NewRhizidiovirus: Non-species taxa must start with a capital, followed by one or more lower-case letters, numbers or hyphens.	NA	0
Archaeal viruses (A) proposals	2023.002A	MISSING	2023.002A.N.v4.create_subgenus_move_sp_create_sp.xlsx	6	Create new	genus	NewRhizidiovirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'NewRhizidiovirus'	NA	1
Archaeal viruses (A) proposals	2023.002A	MISSING	2023.002A.N.v4.create_subgenus_move_sp_create_sp.xlsx	7	Create new	subgenus	NewSubRhizidiovirus	ERROR	TAXON_NAME_CASE	Non-species taxa must be Capitalized.	NewSubRhizidiovirus: Non-species taxa must start with a capital, followed by one or more lower-case letters, numbers or hyphens.	NA	0
Archaeal viruses (A) proposals	2023.002A	MISSING	2023.002A.N.v4.create_subgenus_move_sp_create_sp.xlsx	7	Create new	subgenus	NewSubRhizidiovirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create subgenus of 'NewRhizidiovirus;NewSubRhizidiovirus'	NA	4
Archaeal viruses (A) proposals	2023.002A	MISSING	2023.002A.N.v4.create_subgenus_move_sp_create_sp.xlsx	8	Create new	species	Create-NotBinomial-Rhizidiomyces-virus	ERROR	XLSX.SPECIES_BAD_NAME	Species name must be 'genus[space]species' binomial naming	species:Create-NotBinomial-Rhizidiomyces-virus	NA	0
Archaeal viruses (A) proposals	2023.002A	MISSING	2023.002A.N.v4.create_subgenus_move_sp_create_sp.xlsx	8	Create new	species	Create-NotBinomial-Rhizidiomyces-virus	ERROR	SUFFIX_RANK_MISMATCH	Taxon name does not end with a valid suffix for it's rank	New name: 'Create-NotBinomial-Rhizidiomyces-virus' has the suffix of a 'subgenus' but is a 'species'; *IN*valid suffixes for rank [species]: viria,vira,virae,virites,viricota,viricotina,viricetes,viricetidae,virales,virineae,viridae,virinae,virus,virus,viroidae,viroinae,viroid,satellitidae,satellitinae,satellite,viriformidae,viriform	NA	0
Archaeal viruses (A) proposals	2023.002A	MISSING	2023.002A.N.v4.create_subgenus_move_sp_create_sp.xlsx	8	Create new	species	Create-NotBinomial-Rhizidiomyces-virus	ERROR	CREATE.SPECIES_NO_HOST_SOURCE	Change=NEW, but proposed species must have a host/source value		NA	5
Archaeal viruses (A) proposals	2023.002A	MISSING	2023.002A.N.v4.create_subgenus_move_sp_create_sp.xlsx	8	Create new	species	Create-NotBinomial-Rhizidiomyces-virus	ERROR	CREATE.SPECIES_BINOMIAL_MISMATCH	Change=NEW, but proposed species names does not start with 'genus[space]' per binomial naming convention	parent genus name =NewRhizidiovirus	NA	5
Archaeal viruses (A) proposals	2023.002A	MISSING	2023.002A.N.v4.create_subgenus_move_sp_create_sp.xlsx	9	Move	species	Heterocapsa circularisquama DNA virus 01	ERROR	XLSX.SPECIES_BAD_NAME	Species name must be 'genus[space]species' binomial naming	species:Heterocapsa circularisquama DNA virus 01	NA	0
Archaeal viruses (A) proposals	2023.002A	MISSING	2023.002A.N.v4.create_subgenus_move_sp_create_sp.xlsx	9	Move	species	Heterocapsa circularisquama DNA virus 01	ERROR	MOVE.SPECIES_BINOMIAL_MISMATCH	Change=MOVE, but proposed species names does not start with 'genus[space]' per binomial naming convention	parent genus name =NewRhizidiovirus	NA	8
Archaeal viruses (A) proposals	2023.002A	MISSING	2023.002A.N.v4.create_subgenus_move_sp_create_sp.xlsx	10	Create new	species	NewRhizidiovirus Create-Binoimal-virus	ERROR	SUFFIX_RANK_MISMATCH	Taxon name does not end with a valid suffix for it's rank	New name: 'NewRhizidiovirus Create-Binoimal-virus' has the suffix of a 'subgenus' but is a 'species'; *IN*valid suffixes for rank [species]: viria,vira,virae,virites,viricota,viricotina,viricetes,viricetidae,virales,virineae,viridae,virinae,virus,virus,viroidae,viroinae,viroid,satellitidae,satellitinae,satellite,viriformidae,viriform	NA	0
Archaeal viruses (A) proposals	2023.002A	MISSING	2023.002A.N.v4.create_subgenus_move_sp_create_sp.xlsx	10	Create new	species	NewRhizidiovirus Create-Binoimal-virus	ERROR	CREATE.SPECIES_NO_HOST_SOURCE	Change=NEW, but proposed species must have a host/source value		NA	6
Archaeal viruses (A) proposals	2023.002A	MISSING	2023.002A.N.v4.create_subgenus_move_sp_create_sp.xlsx	10	Create new	species	NewRhizidiovirus Create-Binoimal-virus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'NewRhizidiovirus;NewSubRhizidiovirus;NewRhizidiovirus Create-Binoimal-virus'	NA	6
Archaeal viruses (A) proposals	2023.002A	MISSING	2023.002A.N.v4.create_subgenus_move_sp_create_sp.xlsx	11	Rename	genus	Sadwavirus	ERROR	MISSING_RANK_SUFFIX	Taxon name does not end with a valid suffix for it's rank	New name:  SadwavirusBadBinomial ; Valid suffixes for rank [ genus ]:  virus,viroid,satellite,viriform	NA	0
Archaeal viruses (A) proposals	2023.002A	MISSING	2023.002A.N.v4.create_subgenus_move_sp_create_sp.xlsx	11	Rename	genus	Sadwavirus	ERROR	TAXON_NAME_CASE	Non-species taxa must be Capitalized.	SadwavirusBadBinomial: Non-species taxa must start with a capital, followed by one or more lower-case letters, numbers or hyphens.	NA	0
Archaeal viruses (A) proposals	2023.002A	MISSING	2023.002A.N.v4.create_subgenus_move_sp_create_sp.xlsx	11	Rename	genus	Sadwavirus	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME genus from 'Sadwavirus' to 'SadwavirusBadBinomial' in 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae'	NA	2
Archaeal viruses (A) proposals	2023.002A	MISSING	2023.002A.N.v4.create_subgenus_move_sp_create_sp.xlsx	11	rename_genus	species	Sadwavirus aciphyllae	ERROR	RENAME_GENUS.SPECIES_BINOMIAL_MISMATCH	Change=RENAME_GENUS, but species name does not start with 'genus[space]' per binomial naming convention	new genus name: SadwavirusBadBinomial	NA	2
Archaeal viruses (A) proposals	2023.002A	MISSING	2023.002A.N.v4.create_subgenus_move_sp_create_sp.xlsx	11	rename_genus	species	Sadwavirus alphananas	ERROR	RENAME_GENUS.SPECIES_BINOMIAL_MISMATCH	Change=RENAME_GENUS, but species name does not start with 'genus[space]' per binomial naming convention	new genus name: SadwavirusBadBinomial	NA	2
Archaeal viruses (A) proposals	2023.002A	MISSING	2023.002A.N.v4.create_subgenus_move_sp_create_sp.xlsx	11	rename_genus	species	Sadwavirus betananas	ERROR	RENAME_GENUS.SPECIES_BINOMIAL_MISMATCH	Change=RENAME_GENUS, but species name does not start with 'genus[space]' per binomial naming convention	new genus name: SadwavirusBadBinomial	NA	2
Archaeal viruses (A) proposals	2023.002A	MISSING	2023.002A.N.v4.create_subgenus_move_sp_create_sp.xlsx	11	rename_genus	species	Sadwavirus citri	ERROR	RENAME_GENUS.SPECIES_BINOMIAL_MISMATCH	Change=RENAME_GENUS, but species name does not start with 'genus[space]' per binomial naming convention	new genus name: SadwavirusBadBinomial	NA	2
Archaeal viruses (A) proposals	2023.002A	MISSING	2023.002A.N.v4.create_subgenus_move_sp_create_sp.xlsx	11	rename_genus	species	Sadwavirus dioscoreae	ERROR	RENAME_GENUS.SPECIES_BINOMIAL_MISMATCH	Change=RENAME_GENUS, but species name does not start with 'genus[space]' per binomial naming convention	new genus name: SadwavirusBadBinomial	NA	2
