subcommittee	code	docx	xlsx	row	change	rank	taxon	level	error	message	notes	scAbbrev	order
Animal DNA viruses and Retroviruses (D) proposals	2023.007D	2023.007D.N.v1.Parvoviridae_12nsp.docx	2023.007D.N.v1.Parvoviridae_12nsp.xlsx	5	Create new	species	Hemiambidensovirus hemipteran3	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Densovirinae;Hemiambidensovirus;Hemiambidensovirus hemipteran3'	NA	4
Animal DNA viruses and Retroviruses (D) proposals	2023.007D	2023.007D.N.v1.Parvoviridae_12nsp.docx	2023.007D.N.v1.Parvoviridae_12nsp.xlsx	6	Create new	species	Chaphamaparvovirus galliform6	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Hamaparvovirinae;Chaphamaparvovirus;Chaphamaparvovirus galliform6'	NA	5
Animal DNA viruses and Retroviruses (D) proposals	2023.007D	2023.007D.N.v1.Parvoviridae_12nsp.docx	2023.007D.N.v1.Parvoviridae_12nsp.xlsx	7	Create new	species	Chaphamaparvovirus galliform7	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Hamaparvovirinae;Chaphamaparvovirus;Chaphamaparvovirus galliform7'	NA	6
Animal DNA viruses and Retroviruses (D) proposals	2023.007D	2023.007D.N.v1.Parvoviridae_12nsp.docx	2023.007D.N.v1.Parvoviridae_12nsp.xlsx	8	Create new	species	Chaphamaparvovirus pholidota1	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Hamaparvovirinae;Chaphamaparvovirus;Chaphamaparvovirus pholidota1'	NA	7
Animal DNA viruses and Retroviruses (D) proposals	2023.007D	2023.007D.N.v1.Parvoviridae_12nsp.docx	2023.007D.N.v1.Parvoviridae_12nsp.xlsx	9	Create new	species	Chaphamaparvovirus chiropteran2	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Hamaparvovirinae;Chaphamaparvovirus;Chaphamaparvovirus chiropteran2'	NA	8
Animal DNA viruses and Retroviruses (D) proposals	2023.007D	2023.007D.N.v1.Parvoviridae_12nsp.docx	2023.007D.N.v1.Parvoviridae_12nsp.xlsx	10	Create new	species	Brevihamaparvovirus orthopteran1	ERROR	XLSX.ACCESSION.CONVERT_COMMA_TO_SEMICOLON	XLSX has commas: should be a semicolon-separated list, with optional colon-separated name prefixes: convert commas to semicolons	exemplarAccession : OP436269[,] OP436270 	NA	0
Animal DNA viruses and Retroviruses (D) proposals	2023.007D	2023.007D.N.v1.Parvoviridae_12nsp.docx	2023.007D.N.v1.Parvoviridae_12nsp.xlsx	10	Create new	species	Brevihamaparvovirus orthopteran1	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Hamaparvovirinae;Brevihamaparvovirus;Brevihamaparvovirus orthopteran1'	NA	9
Animal DNA viruses and Retroviruses (D) proposals	2023.007D	2023.007D.N.v1.Parvoviridae_12nsp.docx	2023.007D.N.v1.Parvoviridae_12nsp.xlsx	11	Create new	species	Amdoparvovirus carnivoran8	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Parvovirinae;Amdoparvovirus;Amdoparvovirus carnivoran8'	NA	10
Animal DNA viruses and Retroviruses (D) proposals	2023.007D	2023.007D.N.v1.Parvoviridae_12nsp.docx	2023.007D.N.v1.Parvoviridae_12nsp.xlsx	12	Split	species	Amdoparvovirus carnivoran1	SUCCESS	SPLIT=.OK	Change=SPLIT, applied successfully	SPLIT species named 'Amdoparvovirus carnivoran1' to species named 'Amdoparvovirus carnivoran1' PROPOSED//CUR=[identical]Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Parvovirinae;Amdoparvovirus;Amdoparvovirus carnivoran1	NA	11
Animal DNA viruses and Retroviruses (D) proposals	2023.007D	2023.007D.N.v1.Parvoviridae_12nsp.docx	2023.007D.N.v1.Parvoviridae_12nsp.xlsx	13	Create new	species	Amdoparvovirus carnivoran1	ERROR	DEST.IN_CUR	Change=CREATE NEW, but taxon name already exists	proposed species=Amdoparvovirus carnivoran1; existing species=MSL38:Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Parvovirinae;Amdoparvovirus;Amdoparvovirus carnivoran1	NA	12
Animal DNA viruses and Retroviruses (D) proposals	2023.007D	2023.007D.N.v1.Parvoviridae_12nsp.docx	2023.007D.N.v1.Parvoviridae_12nsp.xlsx	14	Create new	species	Amdoparvovirus carnivoran9	ERROR	CREATE.W_SRC	Change=CREATE, but 'current taxonomy' is not empty; perhaps you meant SPLIT	CURRENT//PROPOSED=Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Parvovirinae;Amdoparvovirus;Amdoparvovirus carnivoran[1//9]	NA	13
Animal DNA viruses and Retroviruses (D) proposals	2023.007D	2023.007D.N.v1.Parvoviridae_12nsp.docx	2023.007D.N.v1.Parvoviridae_12nsp.xlsx	14	Create new	species	Amdoparvovirus carnivoran9	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Parvovirinae;Amdoparvovirus;Amdoparvovirus carnivoran9'	NA	13
Animal DNA viruses and Retroviruses (D) proposals	2023.007D	2023.007D.N.v1.Parvoviridae_12nsp.docx	2023.007D.N.v1.Parvoviridae_12nsp.xlsx	15	Create new	species	Amdoparvovirus carnivoran10	ERROR	CREATE.W_SRC	Change=CREATE, but 'current taxonomy' is not empty; perhaps you meant SPLIT	CURRENT//PROPOSED=Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Parvovirinae;Amdoparvovirus;Amdoparvovirus carnivoran1[//0]	NA	14
Animal DNA viruses and Retroviruses (D) proposals	2023.007D	2023.007D.N.v1.Parvoviridae_12nsp.docx	2023.007D.N.v1.Parvoviridae_12nsp.xlsx	15	Create new	species	Amdoparvovirus carnivoran10	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Parvovirinae;Amdoparvovirus;Amdoparvovirus carnivoran10'	NA	14
Animal DNA viruses and Retroviruses (D) proposals	2023.007D	2023.007D.N.v1.Parvoviridae_12nsp.docx	2023.007D.N.v1.Parvoviridae_12nsp.xlsx	16	Create new	species	Amdoparvovirus chiropteran1	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Parvovirinae;Amdoparvovirus;Amdoparvovirus chiropteran1'	NA	15
Animal DNA viruses and Retroviruses (D) proposals	2023.007D	2023.007D.N.v1.Parvoviridae_12nsp.docx	2023.007D.N.v1.Parvoviridae_12nsp.xlsx	17	Create new	species	Protoparvovirus ungulate4	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Parvovirinae;Protoparvovirus;Protoparvovirus ungulate4'	NA	16
Animal DNA viruses and Retroviruses (D) proposals	2023.007D	2023.007D.N.v1.Parvoviridae_12nsp.docx	2023.007D.N.v1.Parvoviridae_12nsp.xlsx	18	Create new	species	Copiparvovirus ungulate9	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Parvovirinae;Copiparvovirus;Copiparvovirus ungulate9'	NA	17
Animal DNA viruses and Retroviruses (D) proposals	2023.007D	2023.007D.N.v1.Parvoviridae_12nsp.docx	2023.007D.N.v1.Parvoviridae_12nsp.xlsx	19	Create new	species	Dependoparvovirus psittacine1	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Parvovirinae;Dependoparvovirus;Dependoparvovirus psittacine1'	NA	18
Animal DNA viruses and Retroviruses (D) proposals	2023.907D	MISSING	2023.907D.N.v1.Correct_split.xlsx	5	Split	species	Hemiambidensovirus hemipteran1	SUCCESS	SPLIT=.OK	Change=SPLIT, applied successfully	SPLIT species named 'Hemiambidensovirus hemipteran1' to species named 'Hemiambidensovirus hemipteran1' PROPOSED//CUR=[identical]Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Densovirinae;Hemiambidensovirus;Hemiambidensovirus hemipteran1	NA	19
Animal DNA viruses and Retroviruses (D) proposals	2023.907D	MISSING	2023.907D.N.v1.Correct_split.xlsx	6	Split	species	Hemiambidensovirus hemipteran1	SUCCESS	SPLIT.OK	Change=SPLIT, applied successfully	Create species of 'Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Densovirinae;Hemiambidensovirus;Hemiambidensovirus hemipteran-split1'	NA	20
Animal DNA viruses and Retroviruses (D) proposals	2023.907D	MISSING	2023.907D.N.v1.Correct_split.xlsx	7	Split	species	Hemiambidensovirus hemipteran1	SUCCESS	SPLIT.OK	Change=SPLIT, applied successfully	Create species of 'Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Densovirinae;Hemiambidensovirus;Hemiambidensovirus hemipteran-split2'	NA	21
Animal DNA viruses and Retroviruses (D) proposals	2023.907D	MISSING	2023.907D.N.v1.Correct_split.xlsx	8	Split	species	Hemiambidensovirus hemipteran1	SUCCESS	SPLIT.OK	Change=SPLIT, applied successfully	Create species of 'Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Densovirinae;Hemiambidensovirus;Hemiambidensovirus hemipteran-split3-dup-acc'	NA	22
Animal DNA viruses and Retroviruses (D) proposals	2023.907D	MISSING	2023.907D.N.v1.Correct_split.xlsx	9	Split	genus	Iteradensovirus	SUCCESS	SPLIT=.OK	Change=SPLIT, applied successfully	SPLIT genus named 'Iteradensovirus' to genus named 'Iteradensovirus' PROPOSED//CUR=[identical]Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Densovirinae;Iteradensovirus	NA	1
Animal DNA viruses and Retroviruses (D) proposals	2023.907D	MISSING	2023.907D.N.v1.Correct_split.xlsx	10	Split	genus	Iteradensovirus	ERROR	MISSING_RANK_SUFFIX	Taxon name does not end with a valid suffix for it's rank	New name:  Iteradensovirus2 ; Valid suffixes for rank [ genus ]:  virus,viroid,satellite,viriform	NA	0
Animal DNA viruses and Retroviruses (D) proposals	2023.907D	MISSING	2023.907D.N.v1.Correct_split.xlsx	10	Split	genus	Iteradensovirus	SUCCESS	SPLIT.OK	Change=SPLIT, applied successfully	Create genus of 'Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Densovirinae;Iteradensovirus2'	NA	2
Animal DNA viruses and Retroviruses (D) proposals	2023.907D	MISSING	2023.907D.N.v1.Correct_split.xlsx	10	Split	genus	Iteradensovirus2	ERROR	PROPOSAL.EMPTY_TAXA	Proposal created empty (non-species) taxa	the genus 'Iteradensovirus2' is empty - it does not contain any lower rank taxons; 2023.907D.N.v1.Correct_split:10 did a split	NA	25
Animal DNA viruses and Retroviruses (D) proposals	2023.907D	MISSING	2023.907D.N.v1.Correct_split.xlsx	11	Split	subgenus	Iteradensovirus	ERROR	MISSING_RANK_SUFFIX	Taxon name does not end with a valid suffix for it's rank	New name:  IteradensovirusSplitSub ; Valid suffixes for rank [ subgenus ]:  virus	NA	0
Animal DNA viruses and Retroviruses (D) proposals	2023.907D	MISSING	2023.907D.N.v1.Correct_split.xlsx	11	Split	subgenus	Iteradensovirus	ERROR	TAXON_NAME_CASE	Non-species taxa must be Capitalized.	IteradensovirusSplitSub: Non-species taxa must start with a capital, followed by one or more lower-case letters, numbers or hyphens.	NA	0
Animal DNA viruses and Retroviruses (D) proposals	2023.907D	MISSING	2023.907D.N.v1.Correct_split.xlsx	11	Split	subgenus	Iteradensovirus	SUCCESS	SPLIT.OK	Change=SPLIT, applied successfully	Create subgenus of 'Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Densovirinae;Iteradensovirus;IteradensovirusSplitSub'	NA	3
Animal DNA viruses and Retroviruses (D) proposals	2023.907D	MISSING	2023.907D.N.v1.Correct_split.xlsx	11	Split	subgenus	IteradensovirusSplitSub	ERROR	PROPOSAL.EMPTY_TAXA	Proposal created empty (non-species) taxa	the subgenus 'IteradensovirusSplitSub' is empty - it does not contain any lower rank taxons; 2023.907D.N.v1.Correct_split:11 did a split	NA	25
Animal DNA viruses and Retroviruses (D) proposals	2023.907D	MISSING	2023.907D.N.v1.Correct_split.xlsx	12	Split	species	Erythroparvovirus pinniped1	SUCCESS	SPLIT.OK	Change=SPLIT, applied successfully	Create species of 'Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Parvovirinae;Erythroparvovirus;Erythroparvovirus pinniped1a'	NA	23
Animal DNA viruses and Retroviruses (D) proposals	2023.907D	MISSING	2023.907D.N.v1.Correct_split.xlsx	13	Split	species	Erythroparvovirus pinniped1	SUCCESS	SPLIT.OK	Change=SPLIT, applied successfully	Create species of 'Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Parvovirinae;Erythroparvovirus;Erythroparvovirus pinniped1b'	NA	24
Animal DNA viruses and Retroviruses (D) proposals	2023.907D	MISSING	2023.907D.N.v1.Correct_split.xlsx	14	Split	species	Erythroparvovirus pinniped1	SUCCESS	SPLIT.OK	Change=SPLIT, applied successfully	Create species of 'Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Parvovirinae;Erythroparvovirus;Erythroparvovirus pinniped1c'	NA	25
Animal DNA viruses and Retroviruses (D) proposals	2023.907D	MISSING	2023.907D.N.v1.Correct_split.xlsx	14	split_abolish	species	Erythroparvovirus pinniped1	INFO	SPLIT.IMPLICIT_ABOLISH	Change=SPLIT, but no split line kept original name, so remove original name from new MSL	removed species Erythroparvovirus pinniped1 from Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Parvovirinae;Erythroparvovirus;Erythroparvovirus pinniped1	NA	25
