subcommittee	code	docx	xlsx	row	change	rank	taxon	level	error	message	notes	scAbbrev	order
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	5	Create new	order	Goldbavirales	INFO	CREATE.PARENT_ALREADY_CHANGED	PROPOSED parent taxon already modified	proposal(s)=2023.024M.N.v1.Bunyaviricetes.zip:26 did a 'rename class Ellioviricetes to Bunyaviricetes' 	NA	2
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	5	Create new	order	Goldbavirales	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create order of 'Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Goldbavirales'	NA	2
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	6	Move	family	Arenaviridae	INFO	SRC.LINEAGE_CHANGED	CURRENT lineage changed by another proposal	proposal(s)=2023.024M.N.v1.Bunyaviricetes.zip:26;2023.024M.N.v1.Bunyaviricetes.zip:14 did a rename class Ellioviricetes to Bunyaviricetes;rename order Bunyavirales to Elliovirales PROPOSAL//NEW_MSL=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;[Ellio//Bunya]viricetes;[Bunya//Ellio]virales;Arenaviridae	NA	5
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	6	Move	family	Arenaviridae	INFO	MOVE.PROPOSED_PARENT_LINEAGE_CHANGED	PROPOSED parent lineage already modified	proposal(s)=2023.024M.N.v1.Bunyaviricetes.zip:26 did a rename class Ellioviricetes to Bunyaviricetes; OBSERVED//PROPOSED=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;[Bunya//Ellio]viricetes;Goldbavirales	NA	5
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	6	Move	family	Arenaviridae	SUCCESS	MOVE.OK	Change=MOVE, applied successfully	MOVE family named 'Arenaviridae' to family named 'Arenaviridae' PROPOSED//CUR=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;[Bunya//Ellio]viricetes;[Ellio//Bunya]virales;Arenaviridae	NA	5
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	7	Move	family	Discoviridae	INFO	SRC.LINEAGE_CHANGED	CURRENT lineage changed by another proposal	proposal(s)=2023.024M.N.v1.Bunyaviricetes.zip:26;2023.024M.N.v1.Bunyaviricetes.zip:14 did a rename class Ellioviricetes to Bunyaviricetes;rename order Bunyavirales to Elliovirales PROPOSAL//NEW_MSL=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;[Ellio//Bunya]viricetes;[Bunya//Ellio]virales;Discoviridae	NA	6
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	7	Move	family	Discoviridae	INFO	MOVE.PROPOSED_PARENT_LINEAGE_CHANGED	PROPOSED parent lineage already modified	proposal(s)=2023.024M.N.v1.Bunyaviricetes.zip:26 did a rename class Ellioviricetes to Bunyaviricetes; OBSERVED//PROPOSED=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;[Bunya//Ellio]viricetes;Goldbavirales	NA	6
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	7	Move	family	Discoviridae	SUCCESS	MOVE.OK	Change=MOVE, applied successfully	MOVE family named 'Discoviridae' to family named 'Discoviridae' PROPOSED//CUR=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;[Bunya//Ellio]viricetes;[Ellio//Bunya]virales;Discoviridae	NA	6
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	8	Create new	species	Orthodiscovirus oryzae	INFO	CREATE.PARENT_RENAMED	Change=NEW, proposed parent taxon exists, but not with expected name/lineage, using observed lineage	otherProposal(s)=2023.024M.N.v1.Bunyaviricetes.zip:26;2023.024M.N.v1.Bunyaviricetes.zip:14;2023.024M.N.v1.Bunyaviricetes.zip:7 did a rename class Ellioviricetes to Bunyaviricetes;rename order Bunyavirales to Elliovirales;move family Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;[Ellio//Bunya]viricetes;[Bunya//Ellio]virales;Discoviridae, PROPOSED//OBSERVED=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;[Ellio//Bunya]viricetes;[Goldba//Ellio]virales;Discoviridae;Orthodiscovirus	NA	15
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	8	Create new	species	Orthodiscovirus oryzae	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Discoviridae;Orthodiscovirus;Orthodiscovirus oryzae'	NA	15
