subcommittee	code	docx	xlsx	row	change	rank	taxon	level	error	message	notes	scAbbrev	order
Animal +ssRNA (S) proposals	2023.003SX	2023.003SX.Picornaviridae_158sprenamed_Error_Correction.docx	2023.003SX.Picornaviridae_158sprenamed_Error_Correction.xlsx	0	OPEN_DOCX			INFO	DOCX_2024_TEMPLATE	2024 version of DOCX proposal template (yet) supported.	DOCX_FILENAME=2023.003SX.Picornaviridae_158sprenamed_Error_Correction.docx	NA	0
Animal +ssRNA (S) proposals	2023.003SX	2023.003SX.Picornaviridae_158sprenamed_Error_Correction.docx	2023.003SX.Picornaviridae_158sprenamed_Error_Correction.xlsx	5	Rename	species	Enterovirus deconjucti	ERROR	DEST.IN_CUR	Change=RENAME, but taxon name already exists	proposed species=Enterovirus deconjuncti; existing species=MSL39:Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Ensavirinae;Enterovirus;Enterovirus deconjuncti	NA	3
Animal dsRNA and -ssRNA (M) proposals	2023.006MX	2023.006MX.Bunyavirales_1nfam_1ngen_1nsp_Error_Correction.docx	2023.006MX.Bunyavirales_1nfam_1ngen_1nsp_Error_Correction.xlsx	0	OPEN_DOCX			INFO	DOCX_2024_TEMPLATE	2024 version of DOCX proposal template (yet) supported.	DOCX_FILENAME=2023.006MX.Bunyavirales_1nfam_1ngen_1nsp_Error_Correction.docx	NA	0
Animal dsRNA and -ssRNA (M) proposals	2023.006MX	2023.006MX.Bunyavirales_1nfam_1ngen_1nsp_Error_Correction.docx	2023.006MX.Bunyavirales_1nfam_1ngen_1nsp_Error_Correction.xlsx	5	Move	family	Konkoviridae	INFO	MOVE.PARENT_LINEAGE_UPDATED2	PROPOSED parent taxon exists, but with updated lineage	,PROPOSED//CUR=Riboviria;Orthornavirae;Negarnaviricota;Polyp[o//]loviricotina;Bunyaviricetes;Hareavirales, PROPOSED=Riboviria;Orthornavirae;Negarnaviricota;Polypoloviricotina;Bunyaviricetes;Hareavirales, CUR=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Hareavirales	NA	1
Animal dsRNA and -ssRNA (M) proposals	2023.006MX	2023.006MX.Bunyavirales_1nfam_1ngen_1nsp_Error_Correction.docx	2023.006MX.Bunyavirales_1nfam_1ngen_1nsp_Error_Correction.xlsx	5	Move	family	Konkoviridae	SUCCESS	MOVE.OK	Change=MOVE, applied successfully	MOVE family named 'Konkoviridae' to family named 'Konkoviridae' PROPOSED//CUR=[identical]Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Konkoviridae	NA	1
Animal DNA viruses and Retroviruses (D) proposals	2023.008DX	2023.008DX.Adenoviridae_1reng_22ns_86rensp_Error_Correction.docx	2023.008DX.Adenoviridae_1reng_22ns_86rensp_Error_Correction.xlsx	0	OPEN_DOCX			INFO	DOCX_2024_TEMPLATE	2024 version of DOCX proposal template (yet) supported.	DOCX_FILENAME=2023.008DX.Adenoviridae_1reng_22ns_86rensp_Error_Correction.docx	NA	0
Animal DNA viruses and Retroviruses (D) proposals	2023.008DX	2023.008DX.Adenoviridae_1reng_22ns_86rensp_Error_Correction.docx	2023.008DX.Adenoviridae_1reng_22ns_86rensp_Error_Correction.xlsx	5	Rename	species	Deer atadenovirus A	ERROR	DEST.IN_CUR	Change=RENAME, but taxon name already exists	proposed species=Barthadenovirus cervi; existing species=MSL39:Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae;Barthadenovirus;Barthadenovirus cervi	NA	4
Animal DNA viruses and Retroviruses (D) proposals	2023.009DX	2023.009DX.Retroviridae_68rensp_Error_Correction.docx	2023.009DX.Retroviridae_68rensp_Error_Correction.xlsx	0	OPEN_DOCX			INFO	DOCX_2024_TEMPLATE	2024 version of DOCX proposal template (yet) supported.	DOCX_FILENAME=2023.009DX.Retroviridae_68rensp_Error_Correction.docx	NA	0
Animal DNA viruses and Retroviruses (D) proposals	2023.009DX	2023.009DX.Retroviridae_68rensp_Error_Correction.docx	2023.009DX.Retroviridae_68rensp_Error_Correction.xlsx	5	Rename	species	Bovispumavirus bostaufo	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Bovispumavirus bostaufo' to 'Bovispumavirus bostau' in 'Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Spumaretrovirinae;Bovispumavirus'	NA	5
Animal DNA viruses and Retroviruses (D) proposals	2023.009DX	2023.009DX.Retroviridae_68rensp_Error_Correction.docx	2023.009DX.Retroviridae_68rensp_Error_Correction.xlsx	6	Rename	species	Equispumavirus equcabfo	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Equispumavirus equcabfo' to 'Equispumavirus equcab' in 'Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Spumaretrovirinae;Equispumavirus'	NA	6
