subcommittee	code	docx	xlsx	row	change	rank	taxon	level	error	message	notes	scAbbrev	order
Bacterial viruses (B) proposals	2024.029B	MISSING	2024.029B.N.v1.Rhodococcus_siphoviruses_7ng_7ns.xlsx	5	Create new	genus	Edwardsroadvirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Edwardsroadvirus'	NA	1
Bacterial viruses (B) proposals	2024.029B	MISSING	2024.029B.N.v1.Rhodococcus_siphoviruses_7ng_7ns.xlsx	6	Create new	species	Edwardsroadvirus RRH1	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Edwardsroadvirus;Edwardsroadvirus RRH1'	NA	8
Bacterial viruses (B) proposals	2024.029B	MISSING	2024.029B.N.v1.Rhodococcus_siphoviruses_7ng_7ns.xlsx	7	Create new	genus	Bundooravirus	ERROR	DEST.IN_CUR	Change=CREATE NEW, but taxon name already exists	proposed genus=Bundooravirus; existing genus=MSL39:Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Salasmaviridae;Bundooravirus	NA	2
Bacterial viruses (B) proposals	2024.029B	MISSING	2024.029B.N.v1.Rhodococcus_siphoviruses_7ng_7ns.xlsx	8	Create new	species	Bundooravirus REQ3	WARNING	CREATE.PARENT_LINEAGE	Change=NEW, proposed parent taxon exists, but not with expected lineage, using observed lineage	PROPOSED//OBSERVED=Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;[Bundooravirus//Salasmaviridae];[//Bundooravirus], otherProposals=NA	NA	9
Bacterial viruses (B) proposals	2024.029B	MISSING	2024.029B.N.v1.Rhodococcus_siphoviruses_7ng_7ns.xlsx	8	Create new	species	Bundooravirus REQ3	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Salasmaviridae;Bundooravirus;Bundooravirus REQ3'	NA	9
Bacterial viruses (B) proposals	2024.029B	MISSING	2024.029B.N.v1.Rhodococcus_siphoviruses_7ng_7ns.xlsx	9	Create new	genus	Reqipinevirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Reqipinevirus'	NA	3
Bacterial viruses (B) proposals	2024.029B	MISSING	2024.029B.N.v1.Rhodococcus_siphoviruses_7ng_7ns.xlsx	10	Create new	species	Reqipinevirus reqipine5	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Reqipinevirus;Reqipinevirus reqipine5'	NA	10
Bacterial viruses (B) proposals	2024.029B	MISSING	2024.029B.N.v1.Rhodococcus_siphoviruses_7ng_7ns.xlsx	11	Create new	genus	Melbournevirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Melbournevirus'	NA	4
Bacterial viruses (B) proposals	2024.029B	MISSING	2024.029B.N.v1.Rhodococcus_siphoviruses_7ng_7ns.xlsx	12	Create new	species	Melbournevirus	ERROR	XLSX.SPECIES_BAD_NAME	Species name must be 'genus[space]species' binomial naming	species:Melbournevirus	NA	0
Bacterial viruses (B) proposals	2024.029B	MISSING	2024.029B.N.v1.Rhodococcus_siphoviruses_7ng_7ns.xlsx	12	Create new	species	Melbournevirus	ERROR	DEST.IN_NEW	Change=CREATE NEW, but taxon name already created in new MSL	proposed species=Melbournevirus; existing genus=MSL40:Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Melbournevirus; otherProposal=2024.029B.N.v1.Rhodococcus_siphoviruses_7ng_7ns.zip	NA	11
