subcommittee	code	docx	xlsx	row	change	rank	taxon	level	error	message	notes	scAbbrev	order	docpath	path	file	basename
Bacterial viruses (B) proposals	2024.045B	2024.045B.A.v2.Autographivirales.docx	2024.045B.A.v2.Autographivirales.xlsx	0	OPEN_DOCX			INFO	DOCX_2024_TEMPLATE	2024 version of DOCX proposal template (yet) supported.	DOCX_FILENAME=2024.045B.A.v2.Autographivirales.docx	NA	0	NA	NA	NA	NA
Bacterial viruses (B) proposals	2024.045B	2024.045B.A.v2.Autographivirales.docx	2024.045B.A.v2.Autographivirales.xlsx	5	Promote	order	Autographiviridae	SUCCESS	PROMOTE.OK	Change=PROMOTE, applied successfully	PROMOTE family named 'Autographiviridae' to order named 'Autographivirales' PROPOSED//CUR=[identical]Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Autographiviridae	NA	22	NA	NA	NA	NA
Bacterial viruses (B) proposals	2024.045B	2024.045B.A.v2.Autographivirales.docx	2024.045B.A.v2.Autographivirales.xlsx	6	Create new	family	Autotranscriptaviridae	INFO	CREATE.PARENT_RENAMED	Change=NEW, proposed parent taxon exists, but not with expected name/lineage, using observed lineage	otherProposal(s)=2024.045B.A.v2.Autographivirales.zip:5 did a promote family [identical]Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Autographiviridae, PROPOSED//OBSERVED=Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Autographivir[ales//idae]	NA	23	NA	NA	NA	NA
Bacterial viruses (B) proposals	2024.045B	2024.045B.A.v2.Autographivirales.docx	2024.045B.A.v2.Autographivirales.xlsx	6	Create new	family	Autotranscriptaviridae	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create family of 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Autographiviridae;Autotranscriptaviridae'	NA	23	NA	NA	NA	NA
Bacterial viruses (B) proposals	2024.045B	2024.045B.A.v2.Autographivirales.docx	2024.045B.A.v2.Autographivirales.xlsx	7	Create new	family	Autoscriptoviridae	INFO	CREATE.PARENT_RENAMED	Change=NEW, proposed parent taxon exists, but not with expected name/lineage, using observed lineage	otherProposal(s)=2024.045B.A.v2.Autographivirales.zip:5 did a promote family [identical]Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Autographiviridae, PROPOSED//OBSERVED=Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Autographivir[ales//idae]	NA	24	NA	NA	NA	NA
Bacterial viruses (B) proposals	2024.045B	2024.045B.A.v2.Autographivirales.docx	2024.045B.A.v2.Autographivirales.xlsx	7	Create new	family	Autoscriptoviridae	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create family of 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Autographiviridae;Autoscriptoviridae'	NA	24	NA	NA	NA	NA
Bacterial viruses (B) proposals	2024.045B	2024.045B.A.v2.Autographivirales.docx	2024.045B.A.v2.Autographivirales.xlsx	8	Create new	family	Autonotataviridae	INFO	CREATE.PARENT_RENAMED	Change=NEW, proposed parent taxon exists, but not with expected name/lineage, using observed lineage	otherProposal(s)=2024.045B.A.v2.Autographivirales.zip:5 did a promote family [identical]Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Autographiviridae, PROPOSED//OBSERVED=Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Autographivir[ales//idae]	NA	25	NA	NA	NA	NA
Bacterial viruses (B) proposals	2024.045B	2024.045B.A.v2.Autographivirales.docx	2024.045B.A.v2.Autographivirales.xlsx	8	Create new	family	Autonotataviridae	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create family of 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Autographiviridae;Autonotataviridae'	NA	25	NA	NA	NA	NA
Bacterial viruses (B) proposals	2024.045B	2024.045B.A.v2.Autographivirales.docx	2024.045B.A.v2.Autographivirales.xlsx	9	Create new	family	Autosignataviridae	INFO	CREATE.PARENT_RENAMED	Change=NEW, proposed parent taxon exists, but not with expected name/lineage, using observed lineage	otherProposal(s)=2024.045B.A.v2.Autographivirales.zip:5 did a promote family [identical]Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Autographiviridae, PROPOSED//OBSERVED=Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Autographivir[ales//idae]	NA	26	NA	NA	NA	NA
Bacterial viruses (B) proposals	2024.045B	2024.045B.A.v2.Autographivirales.docx	2024.045B.A.v2.Autographivirales.xlsx	9	Create new	family	Autosignataviridae	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create family of 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Autographiviridae;Autosignataviridae'	NA	26	NA	NA	NA	NA
