subcommittee	code	docx	xlsx	row	change	rank	taxon	level	error	message	notes	scAbbrev	order
Plant virus (P) proposals	2024.015P	2024.015P.A.v2.Rhabdoviridae_Cytorhabdovirus_splitgen.docx	2024.015P.A.v2.Rhabdoviridae_Cytorhabdovirus_splitgen.xlsx	0	OPEN_DOCX			INFO	DOCX_2024_TEMPLATE	2024 version of DOCX proposal template (yet) supported.	DOCX_FILENAME=2024.015P.A.v2.Rhabdoviridae_Cytorhabdovirus_splitgen.docx	NA	0
Plant virus (P) proposals	2024.015P	2024.015P.A.v2.Rhabdoviridae_Cytorhabdovirus_splitgen.docx	2024.015P.A.v2.Rhabdoviridae_Cytorhabdovirus_splitgen.xlsx	5	Split	genus	Cytorhabdovirus	ERROR	SPLIT.NO_DEST	Change=SPLIT, but 'proposed taxonomy' columns are empty	currentTaxonomy=Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Rhabdoviridae;Betarhabdovirinae;Cytorhabdovirus	NA	5
Plant virus (P) proposals	2024.015P	2024.015P.A.v2.Rhabdoviridae_Cytorhabdovirus_splitgen.docx	2024.015P.A.v2.Rhabdoviridae_Cytorhabdovirus_splitgen.xlsx	6	Create new	genus	Alphacytorhabdovirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Rhabdoviridae;Betarhabdovirinae;Alphacytorhabdovirus'	NA	6
Plant virus (P) proposals	2024.015P	2024.015P.A.v2.Rhabdoviridae_Cytorhabdovirus_splitgen.docx	2024.015P.A.v2.Rhabdoviridae_Cytorhabdovirus_splitgen.xlsx	7	Move; rename	species	Cytorhabdovirus actinidiae	SUCCESS	MOVE.OK	Change=MOVE, applied successfully	MOVE species named 'Cytorhabdovirus actinidiae' to species named 'Alphacytorhabdovirus actinidiae' PROPOSED//CUR=[identical]Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Rhabdoviridae;Betarhabdovirinae;Cytorhabdovirus;Cytorhabdovirus actinidiae	NA	107
Plant virus (P) proposals	2024.015P	2024.015P.A.v2.Rhabdoviridae_Cytorhabdovirus_splitgen.docx	2024.015P.A.v2.Rhabdoviridae_Cytorhabdovirus_splitgen.xlsx	8	Move; rename	species	Cytorhabdovirus fragariae	SUCCESS	MOVE.OK	Change=MOVE, applied successfully	MOVE species named 'Cytorhabdovirus fragariae' to species named 'Alphacytorhabdovirus alphafragariae' PROPOSED//CUR=[identical]Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Rhabdoviridae;Betarhabdovirinae;Cytorhabdovirus;Cytorhabdovirus fragariae	NA	108
Plant virus (P) proposals	2024.015P	2024.015P.A.v2.Rhabdoviridae_Cytorhabdovirus_splitgen.docx	2024.015P.A.v2.Rhabdoviridae_Cytorhabdovirus_splitgen.xlsx	9	Move; rename	species	Cytorhabdovirus alphatrifolii	SUCCESS	MOVE.OK	Change=MOVE, applied successfully	MOVE species named 'Cytorhabdovirus alphatrifolii' to species named 'Alphacytorhabdovirus alphatrifolii' PROPOSED//CUR=[identical]Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Rhabdoviridae;Betarhabdovirinae;Cytorhabdovirus;Cytorhabdovirus alphatrifolii	NA	109
Plant virus (P) proposals	2024.015P	2024.015P.A.v2.Rhabdoviridae_Cytorhabdovirus_splitgen.docx	2024.015P.A.v2.Rhabdoviridae_Cytorhabdovirus_splitgen.xlsx	10	Move; rename	species	Cytorhabdovirus alphawuhaninsectum	SUCCESS	MOVE.OK	Change=MOVE, applied successfully	MOVE species named 'Cytorhabdovirus alphawuhaninsectum' to species named 'Alphacytorhabdovirus alphawuhaninsectum' PROPOSED//CUR=[identical]Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Rhabdoviridae;Betarhabdovirinae;Cytorhabdovirus;Cytorhabdovirus alphawuhaninsectum	NA	110
Plant virus (P) proposals	2024.015P	2024.015P.A.v2.Rhabdoviridae_Cytorhabdovirus_splitgen.docx	2024.015P.A.v2.Rhabdoviridae_Cytorhabdovirus_splitgen.xlsx	11	Move; rename	species	Cytorhabdovirus asclepiadis	SUCCESS	MOVE.OK	Change=MOVE, applied successfully	MOVE species named 'Cytorhabdovirus asclepiadis' to species named 'Alphacytorhabdovirus asclepiadis' PROPOSED//CUR=[identical]Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Rhabdoviridae;Betarhabdovirinae;Cytorhabdovirus;Cytorhabdovirus asclepiadis	NA	111
Plant virus (P) proposals	2024.015P	2024.015P.A.v2.Rhabdoviridae_Cytorhabdovirus_splitgen.docx	2024.015P.A.v2.Rhabdoviridae_Cytorhabdovirus_splitgen.xlsx	12	Move; rename	species	Cytorhabdovirus bacopae	SUCCESS	MOVE.OK	Change=MOVE, applied successfully	MOVE species named 'Cytorhabdovirus bacopae' to species named 'Alphacytorhabdovirus bacopae' PROPOSED//CUR=[identical]Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Rhabdoviridae;Betarhabdovirinae;Cytorhabdovirus;Cytorhabdovirus bacopae	NA	112
Plant virus (P) proposals	2024.015P	2024.015P.A.v2.Rhabdoviridae_Cytorhabdovirus_splitgen.docx	2024.015P.A.v2.Rhabdoviridae_Cytorhabdovirus_splitgen.xlsx	13	Move; rename	species	Cytorhabdovirus betafragariae	SUCCESS	MOVE.OK	Change=MOVE, applied successfully	MOVE species named 'Cytorhabdovirus betafragariae' to species named 'Alphacytorhabdovirus betafragariae' PROPOSED//CUR=[identical]Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Rhabdoviridae;Betarhabdovirinae;Cytorhabdovirus;Cytorhabdovirus betafragariae	NA	113
