subcommittee	code	docx	xlsx	row	change	rank	taxon	level	error	message	notes	scAbbrev	order
Bacterial viruses (B) proposals	2024.005B	2024.005B.Uc.v2.Casidaviridae_1nf_9ng_23ns.docx	2024.005B.Uc.v2.Casidaviridae_1nf_9ng_23ns.xlsx	0	OPEN_DOCX			INFO	DOCX_2024_TEMPLATE	2024 version of DOCX proposal template (yet) supported.	DOCX_FILENAME=2024.005B.Uc.v2.Casidaviridae_1nf_9ng_23ns.docx	NA	0
Bacterial viruses (B) proposals	2024.005B	2024.005B.Uc.v2.Casidaviridae_1nf_9ng_23ns.docx	2024.005B.Uc.v2.Casidaviridae_1nf_9ng_23ns.xlsx	5	Create new	family	Casidaviridae	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create family of 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Casidaviridae'	NA	2
Bacterial viruses (B) proposals	2024.005B	2024.005B.Uc.v2.Casidaviridae_1nf_9ng_23ns.docx	2024.005B.Uc.v2.Casidaviridae_1nf_9ng_23ns.xlsx	6	Move	genus	Zetavirus	SUCCESS	MOVE.OK	Change=MOVE, applied successfully	MOVE genus named 'Zetavirus' to genus named 'Zetavirus' PROPOSED//CUR=[identical]Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Zetavirus	NA	12
Bacterial viruses (B) proposals	2024.005B	2024.005B.Uc.v2.Casidaviridae_1nf_9ng_23ns.docx	2024.005B.Uc.v2.Casidaviridae_1nf_9ng_23ns.xlsx	7	Move	genus	Baileybluvirus	SUCCESS	MOVE.OK	Change=MOVE, applied successfully	MOVE genus named 'Baileybluvirus' to genus named 'Baileybluvirus' PROPOSED//CUR=[identical]Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Baileybluvirus	NA	13
Bacterial viruses (B) proposals	2024.005B	2024.005B.Uc.v2.Casidaviridae_1nf_9ng_23ns.docx	2024.005B.Uc.v2.Casidaviridae_1nf_9ng_23ns.xlsx	8	Create new	species	Baileybluvirus callinallbarbz	INFO	CREATE.PARENT_RENAMED	Change=NEW, proposed parent taxon exists, but not with expected name/lineage, using observed lineage	otherProposal(s)=2024.005B.Uc.v2.Casidaviridae_1nf_9ng_23ns.zip:7 did a move genus [identical]Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Baileybluvirus, PROPOSED//OBSERVED=Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;[Casidaviridae//Baileybluvirus];[Baileybluvirus//]	NA	17
Bacterial viruses (B) proposals	2024.005B	2024.005B.Uc.v2.Casidaviridae_1nf_9ng_23ns.docx	2024.005B.Uc.v2.Casidaviridae_1nf_9ng_23ns.xlsx	8	Create new	species	Baileybluvirus callinallbarbz	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Baileybluvirus;Baileybluvirus callinallbarbz'	NA	17
Bacterial viruses (B) proposals	2024.005B	2024.005B.Uc.v2.Casidaviridae_1nf_9ng_23ns.docx	2024.005B.Uc.v2.Casidaviridae_1nf_9ng_23ns.xlsx	9	Move	genus	Yangvirus	SUCCESS	MOVE.OK	Change=MOVE, applied successfully	MOVE genus named 'Yangvirus' to genus named 'Yangvirus' PROPOSED//CUR=[identical]Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Azeevirinae;Yangvirus	NA	14
Bacterial viruses (B) proposals	2024.005B	2024.005B.Uc.v2.Casidaviridae_1nf_9ng_23ns.docx	2024.005B.Uc.v2.Casidaviridae_1nf_9ng_23ns.xlsx	10	Create new	species	Yangvirus janeemi	INFO	CREATE.PARENT_RENAMED	Change=NEW, proposed parent taxon exists, but not with expected name/lineage, using observed lineage	otherProposal(s)=2024.005B.Uc.v2.Casidaviridae_1nf_9ng_23ns.zip:9 did a move genus [identical]Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Azeevirinae;Yangvirus, PROPOSED//OBSERVED=Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;[Casidaviridae//Azeevirinae];Yangvirus	NA	18
Bacterial viruses (B) proposals	2024.005B	2024.005B.Uc.v2.Casidaviridae_1nf_9ng_23ns.docx	2024.005B.Uc.v2.Casidaviridae_1nf_9ng_23ns.xlsx	10	Create new	species	Yangvirus janeemi	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Azeevirinae;Yangvirus;Yangvirus janeemi'	NA	18
Bacterial viruses (B) proposals	2024.005B	2024.005B.Uc.v2.Casidaviridae_1nf_9ng_23ns.docx	2024.005B.Uc.v2.Casidaviridae_1nf_9ng_23ns.xlsx	11	Create new	species	Yangvirus tuck	INFO	CREATE.PARENT_RENAMED	Change=NEW, proposed parent taxon exists, but not with expected name/lineage, using observed lineage	otherProposal(s)=2024.005B.Uc.v2.Casidaviridae_1nf_9ng_23ns.zip:9 did a move genus [identical]Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Azeevirinae;Yangvirus, PROPOSED//OBSERVED=Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;[Casidaviridae//Azeevirinae];Yangvirus	NA	19
