subcommittee	code	docx	xlsx	row	change	rank	taxon	level	error	message	notes	scAbbrev	order
Animal dsRNA and -ssRNA (M) proposals	2024.013M	MISSING	2024.013M.A.v1.Phasmaviridae.4nsp_3ab_2rn.xlsx	5	Create new	species	Jonvirus spilikinsis	ERROR	XLSX.ACCESSION.CONVERT_COMMA_TO_SEMICOLON	XLSX has commas: should be a semicolon-separated list, with optional colon-separated name prefixes: convert commas to semicolons	exemplarAccession : MZ202269[,] MZ202270[,] MZ202271 	NA	0
Animal dsRNA and -ssRNA (M) proposals	2024.013M	MISSING	2024.013M.A.v1.Phasmaviridae.4nsp_3ab_2rn.xlsx	5	Create new	species	Jonvirus spilikinsis	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Phasmaviridae;Jonvirus;Jonvirus spilikinsis'	NA	4
Animal dsRNA and -ssRNA (M) proposals	2024.013M	MISSING	2024.013M.A.v1.Phasmaviridae.4nsp_3ab_2rn.xlsx	6	Create new	species	Jonvirus mikadosis	ERROR	XLSX.ACCESSION.CONVERT_COMMA_TO_SEMICOLON	XLSX has commas: should be a semicolon-separated list, with optional colon-separated name prefixes: convert commas to semicolons	exemplarAccession : MZ202272[,] MZ202273[,] MZ202274 	NA	0
Animal dsRNA and -ssRNA (M) proposals	2024.013M	MISSING	2024.013M.A.v1.Phasmaviridae.4nsp_3ab_2rn.xlsx	6	Create new	species	Jonvirus mikadosis	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Phasmaviridae;Jonvirus;Jonvirus mikadosis'	NA	5
Animal dsRNA and -ssRNA (M) proposals	2024.013M	MISSING	2024.013M.A.v1.Phasmaviridae.4nsp_3ab_2rn.xlsx	7	Create new	species	Orthophasmavirus obscurae	ERROR	XLSX.ACCESSION.CONVERT_COMMA_TO_SEMICOLON	XLSX has commas: should be a semicolon-separated list, with optional colon-separated name prefixes: convert commas to semicolons	exemplarAccession : OR605709[,] OR605710[,] OR605711 	NA	0
Animal dsRNA and -ssRNA (M) proposals	2024.013M	MISSING	2024.013M.A.v1.Phasmaviridae.4nsp_3ab_2rn.xlsx	7	Create new	species	Orthophasmavirus obscurae	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Phasmaviridae;Orthophasmavirus;Orthophasmavirus obscurae'	NA	6
Animal dsRNA and -ssRNA (M) proposals	2024.013M	MISSING	2024.013M.A.v1.Phasmaviridae.4nsp_3ab_2rn.xlsx	8	Create new	species	Orthophasmavirus stecellulae	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Phasmaviridae;Orthophasmavirus;Orthophasmavirus stecellulae'	NA	7
Animal dsRNA and -ssRNA (M) proposals	2024.013M	MISSING	2024.013M.A.v1.Phasmaviridae.4nsp_3ab_2rn.xlsx	9	Abolish	species	Feravirus hemipterus	SUCCESS	ABOLISH.OK	Change=ABOLISH, applied successfully	ABOLISH species named Feravirus hemipterus	NA	1
Animal dsRNA and -ssRNA (M) proposals	2024.013M	MISSING	2024.013M.A.v1.Phasmaviridae.4nsp_3ab_2rn.xlsx	10	Abolish	species	Orthophasmavirus flenense	SUCCESS	ABOLISH.OK	Change=ABOLISH, applied successfully	ABOLISH species named Orthophasmavirus flenense	NA	2
Animal dsRNA and -ssRNA (M) proposals	2024.013M	MISSING	2024.013M.A.v1.Phasmaviridae.4nsp_3ab_2rn.xlsx	11	Abolish	species	Orthophasmavirus coleopterus	SUCCESS	ABOLISH.OK	Change=ABOLISH, applied successfully	ABOLISH species named Orthophasmavirus coleopterus	NA	3
Animal dsRNA and -ssRNA (M) proposals	2024.013M	MISSING	2024.013M.A.v1.Phasmaviridae.4nsp_3ab_2rn.xlsx	12	Rename	species	Orthophasmavirus miglotasense	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Orthophasmavirus miglotasense' to 'Orthophasmavirus miglotalis' in 'Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Phasmaviridae;Orthophasmavirus'	NA	8
Animal dsRNA and -ssRNA (M) proposals	2024.013M	MISSING	2024.013M.A.v1.Phasmaviridae.4nsp_3ab_2rn.xlsx	13	Rename	species	Orthophasmavirus barstukasense	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Orthophasmavirus barstukasense' to 'Orthophasmavirus barstukorius' in 'Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Phasmaviridae;Orthophasmavirus'	NA	9
