subcommittee	code	docx	xlsx	row	change	rank	taxon	level	error	message	notes	scAbbrev	order
Plant virus (P) proposals	2024.013P	MISSING	2024.013P.Uc.v2.Secoviridae_1ng_2nsg_34nsp.xlsx	5	Create new	genus	Mersevirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae;Comovirinae;Mersevirus'	NA	1
Plant virus (P) proposals	2024.013P	MISSING	2024.013P.Uc.v2.Secoviridae_1ng_2nsg_34nsp.xlsx	6	Create new	species	Mersevirus boehmeriae	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae;Comovirinae;Mersevirus;Mersevirus boehmeriae'	NA	4
Plant virus (P) proposals	2024.013P	MISSING	2024.013P.Uc.v2.Secoviridae_1ng_2nsg_34nsp.xlsx	7	Create new	species	Mersevirus jujubae	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae;Comovirinae;Mersevirus;Mersevirus jujubae'	NA	5
Plant virus (P) proposals	2024.013P	MISSING	2024.013P.Uc.v2.Secoviridae_1ng_2nsg_34nsp.xlsx	8	Create new	species	Mersevirus merculiaris	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae;Comovirinae;Mersevirus;Mersevirus merculiaris'	NA	6
Plant virus (P) proposals	2024.013P	MISSING	2024.013P.Uc.v2.Secoviridae_1ng_2nsg_34nsp.xlsx	9	Create new	species	Mersevirus paris	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae;Comovirinae;Mersevirus;Mersevirus paris'	NA	7
Plant virus (P) proposals	2024.013P	MISSING	2024.013P.Uc.v2.Secoviridae_1ng_2nsg_34nsp.xlsx	10	Create new	subgenus	Actinidivirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create subgenus of 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae;Waikavirus;Actinidivirus'	NA	2
Plant virus (P) proposals	2024.013P	MISSING	2024.013P.Uc.v2.Secoviridae_1ng_2nsg_34nsp.xlsx	11	Move	species	Waikavirus actinidiae	SUCCESS	MOVE.OK	Change=MOVE, applied successfully	MOVE species named 'Waikavirus actinidiae' to species named 'Waikavirus actinidiae' PROPOSED//CUR=[identical]Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae;Waikavirus;Waikavirus actinidiae	NA	38
Plant virus (P) proposals	2024.013P	MISSING	2024.013P.Uc.v2.Secoviridae_1ng_2nsg_34nsp.xlsx	12	Move	species	Waikavirus camelliae	SUCCESS	MOVE.OK	Change=MOVE, applied successfully	MOVE species named 'Waikavirus camelliae' to species named 'Waikavirus camelliae' PROPOSED//CUR=[identical]Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae;Waikavirus;Waikavirus camelliae	NA	39
Plant virus (P) proposals	2024.013P	MISSING	2024.013P.Uc.v2.Secoviridae_1ng_2nsg_34nsp.xlsx	13	Move	species	Waikavirus diospyri	SUCCESS	MOVE.OK	Change=MOVE, applied successfully	MOVE species named 'Waikavirus diospyri' to species named 'Waikavirus diospyri' PROPOSED//CUR=[identical]Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae;Waikavirus;Waikavirus diospyri	NA	40
Plant virus (P) proposals	2024.013P	MISSING	2024.013P.Uc.v2.Secoviridae_1ng_2nsg_34nsp.xlsx	14	Move	species	Waikavirus liegense	SUCCESS	MOVE.OK	Change=MOVE, applied successfully	MOVE species named 'Waikavirus liegense' to species named 'Waikavirus liegense' PROPOSED//CUR=[identical]Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae;Waikavirus;Waikavirus liegense	NA	41
Plant virus (P) proposals	2024.013P	MISSING	2024.013P.Uc.v2.Secoviridae_1ng_2nsg_34nsp.xlsx	15	Move	species	Waikavirus rhododendri	SUCCESS	MOVE.OK	Change=MOVE, applied successfully	MOVE species named 'Waikavirus rhododendri' to species named 'Waikavirus rhododendri' PROPOSED//CUR=[identical]Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae;Waikavirus;Waikavirus rhododendri	NA	42
Plant virus (P) proposals	2024.013P	MISSING	2024.013P.Uc.v2.Secoviridae_1ng_2nsg_34nsp.xlsx	16	Create new	species	Waikavirus betacamelliae	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae;Waikavirus;Actinidivirus;Waikavirus betacamelliae'	NA	8
Plant virus (P) proposals	2024.013P	MISSING	2024.013P.Uc.v2.Secoviridae_1ng_2nsg_34nsp.xlsx	17	Create new	species	Waikavirus carotae	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae;Waikavirus;Actinidivirus;Waikavirus carotae'	NA	9
Plant virus (P) proposals	2024.013P	MISSING	2024.013P.Uc.v2.Secoviridae_1ng_2nsg_34nsp.xlsx	18	Create new	species	Waikavirus celtis	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae;Waikavirus;Actinidivirus;Waikavirus celtis'	NA	10
Plant virus (P) proposals	2024.013P	MISSING	2024.013P.Uc.v2.Secoviridae_1ng_2nsg_34nsp.xlsx	19	Create new	species	Waikavirus hirtae	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae;Waikavirus;Actinidivirus;Waikavirus hirtae'	NA	11
Plant virus (P) proposals	2024.013P	MISSING	2024.013P.Uc.v2.Secoviridae_1ng_2nsg_34nsp.xlsx	20	Create new	species	Waikavirus juglandis	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae;Waikavirus;Actinidivirus;Waikavirus juglandis'	NA	12
Plant virus (P) proposals	2024.013P	MISSING	2024.013P.Uc.v2.Secoviridae_1ng_2nsg_34nsp.xlsx	21	Create new	species	Waikavirus pittospori	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae;Waikavirus;Actinidivirus;Waikavirus pittospori'	NA	13
Plant virus (P) proposals	2024.013P	MISSING	2024.013P.Uc.v2.Secoviridae_1ng_2nsg_34nsp.xlsx	22	Create new	species	Waikavirus populi	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae;Waikavirus;Actinidivirus;Waikavirus populi'	NA	14
Plant virus (P) proposals	2024.013P	MISSING	2024.013P.Uc.v2.Secoviridae_1ng_2nsg_34nsp.xlsx	23	Create new	species	Waikavirus querci	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae;Waikavirus;Actinidivirus;Waikavirus querci'	NA	15
Plant virus (P) proposals	2024.013P	MISSING	2024.013P.Uc.v2.Secoviridae_1ng_2nsg_34nsp.xlsx	24	Create new	species	Waikavirus trifoccidentale	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae;Waikavirus;Actinidivirus;Waikavirus trifoccidentale'	NA	16
Plant virus (P) proposals	2024.013P	MISSING	2024.013P.Uc.v2.Secoviridae_1ng_2nsg_34nsp.xlsx	25	Create new	subgenus	Ritunrivirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create subgenus of 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae;Waikavirus;Ritunrivirus'	NA	3
Plant virus (P) proposals	2024.013P	MISSING	2024.013P.Uc.v2.Secoviridae_1ng_2nsg_34nsp.xlsx	26	Move	species	Waikavirus brassicae	SUCCESS	MOVE.OK	Change=MOVE, applied successfully	MOVE species named 'Waikavirus brassicae' to species named 'Waikavirus brassicae' PROPOSED//CUR=[identical]Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae;Waikavirus;Waikavirus brassicae	NA	43
Plant virus (P) proposals	2024.013P	MISSING	2024.013P.Uc.v2.Secoviridae_1ng_2nsg_34nsp.xlsx	27	Move	species	Waikavirus campanulae	SUCCESS	MOVE.OK	Change=MOVE, applied successfully	MOVE species named 'Waikavirus campanulae' to species named 'Waikavirus campanulae' PROPOSED//CUR=[identical]Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae;Waikavirus;Waikavirus campanulae	NA	44
Plant virus (P) proposals	2024.013P	MISSING	2024.013P.Uc.v2.Secoviridae_1ng_2nsg_34nsp.xlsx	28	Move	species	Waikavirus lactucae	SUCCESS	MOVE.OK	Change=MOVE, applied successfully	MOVE species named 'Waikavirus lactucae' to species named 'Waikavirus lactucae' PROPOSED//CUR=[identical]Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae;Waikavirus;Waikavirus lactucae	NA	45
Plant virus (P) proposals	2024.013P	MISSING	2024.013P.Uc.v2.Secoviridae_1ng_2nsg_34nsp.xlsx	29	Move	species	Waikavirus oryzae	SUCCESS	MOVE.OK	Change=MOVE, applied successfully	MOVE species named 'Waikavirus oryzae' to species named 'Waikavirus oryzae' PROPOSED//CUR=[identical]Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae;Waikavirus;Waikavirus oryzae	NA	46
Plant virus (P) proposals	2024.013P	MISSING	2024.013P.Uc.v2.Secoviridae_1ng_2nsg_34nsp.xlsx	30	Move	species	Waikavirus ribesnigri	SUCCESS	MOVE.OK	Change=MOVE, applied successfully	MOVE species named 'Waikavirus ribesnigri' to species named 'Waikavirus ribesnigri' PROPOSED//CUR=[identical]Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae;Waikavirus;Waikavirus ribesnigri	NA	47
Plant virus (P) proposals	2024.013P	MISSING	2024.013P.Uc.v2.Secoviridae_1ng_2nsg_34nsp.xlsx	31	Move	species	Waikavirus rosae	SUCCESS	MOVE.OK	Change=MOVE, applied successfully	MOVE species named 'Waikavirus rosae' to species named 'Waikavirus rosae' PROPOSED//CUR=[identical]Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae;Waikavirus;Waikavirus rosae	NA	48
Plant virus (P) proposals	2024.013P	MISSING	2024.013P.Uc.v2.Secoviridae_1ng_2nsg_34nsp.xlsx	32	Move	species	Waikavirus trifolii	SUCCESS	MOVE.OK	Change=MOVE, applied successfully	MOVE species named 'Waikavirus trifolii' to species named 'Waikavirus trifolii' PROPOSED//CUR=[identical]Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae;Waikavirus;Waikavirus trifolii	NA	49
Plant virus (P) proposals	2024.013P	MISSING	2024.013P.Uc.v2.Secoviridae_1ng_2nsg_34nsp.xlsx	33	Move	species	Waikavirus zeae	SUCCESS	MOVE.OK	Change=MOVE, applied successfully	MOVE species named 'Waikavirus zeae' to species named 'Waikavirus zeae' PROPOSED//CUR=[identical]Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae;Waikavirus;Waikavirus zeae	NA	50
