subcommittee	code	docx	xlsx	row	change	rank	taxon	level	error	message	notes	scAbbrev	order
Archaeal viruses (A) proposals	2024.003A	2024.003A.A.v1.Nipumfusiviridae_newfam.docx	2024.003A.A.v1.Nipumfusiviridae_newfam.xlsx	0	OPEN_DOCX			INFO	DOCX_2024_TEMPLATE	2024 version of DOCX proposal template (yet) supported.	DOCX_FILENAME=2024.003A.A.v1.Nipumfusiviridae_newfam.docx	NA	0
Archaeal viruses (A) proposals	2024.003A	2024.003A.A.v1.Nipumfusiviridae_newfam.docx	2024.003A.A.v1.Nipumfusiviridae_newfam.xlsx	5	Create new	family	Nipumfusiviridae	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create family of 'Nipumfusiviridae'	NA	1
Archaeal viruses (A) proposals	2024.003A	2024.003A.A.v1.Nipumfusiviridae_newfam.docx	2024.003A.A.v1.Nipumfusiviridae_newfam.xlsx	6	Create new	genus	Marefusivirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Nipumfusiviridae;Marefusivirus'	NA	2
Archaeal viruses (A) proposals	2024.003A	2024.003A.A.v1.Nipumfusiviridae_newfam.docx	2024.003A.A.v1.Nipumfusiviridae_newfam.xlsx	7	Create new	species	Marefusivirus pacificense	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Nipumfusiviridae;Marefusivirus;Marefusivirus pacificense'	NA	6
Archaeal viruses (A) proposals	2024.003A	2024.003A.A.v1.Nipumfusiviridae_newfam.docx	2024.003A.A.v1.Nipumfusiviridae_newfam.xlsx	8	Create new	species	Marefusivirus helgoense	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Nipumfusiviridae;Marefusivirus;Marefusivirus helgoense'	NA	7
Archaeal viruses (A) proposals	2024.003A	2024.003A.A.v1.Nipumfusiviridae_newfam.docx	2024.003A.A.v1.Nipumfusiviridae_newfam.xlsx	9	Create new	species	Marefusivirus jervisense	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Nipumfusiviridae;Marefusivirus;Marefusivirus jervisense'	NA	8
Archaeal viruses (A) proposals	2024.003A	2024.003A.A.v1.Nipumfusiviridae_newfam.docx	2024.003A.A.v1.Nipumfusiviridae_newfam.xlsx	10	Create new	species	Marefusivirus columbiaense	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Nipumfusiviridae;Marefusivirus;Marefusivirus columbiaense'	NA	9
Archaeal viruses (A) proposals	2024.003A	2024.003A.A.v1.Nipumfusiviridae_newfam.docx	2024.003A.A.v1.Nipumfusiviridae_newfam.xlsx	11	Create new	species	Marefusivirus montereyense	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Nipumfusiviridae;Marefusivirus;Marefusivirus montereyense'	NA	10
Archaeal viruses (A) proposals	2024.003A	2024.003A.A.v1.Nipumfusiviridae_newfam.docx	2024.003A.A.v1.Nipumfusiviridae_newfam.xlsx	12	Create new	genus	Terrafusivirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Nipumfusiviridae;Terrafusivirus'	NA	3
Archaeal viruses (A) proposals	2024.003A	2024.003A.A.v1.Nipumfusiviridae_newfam.docx	2024.003A.A.v1.Nipumfusiviridae_newfam.xlsx	13	Create new	species	Terrafusivirus michiganense	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Nipumfusiviridae;Terrafusivirus;Terrafusivirus michiganense'	NA	11
Archaeal viruses (A) proposals	2024.003A	2024.003A.A.v1.Nipumfusiviridae_newfam.docx	2024.003A.A.v1.Nipumfusiviridae_newfam.xlsx	14	Create new	species	Terrafusivirus tennesseense	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Nipumfusiviridae;Terrafusivirus;Terrafusivirus tennesseense'	NA	12
Archaeal viruses (A) proposals	2024.003A	2024.003A.A.v1.Nipumfusiviridae_newfam.docx	2024.003A.A.v1.Nipumfusiviridae_newfam.xlsx	15	Create new	genus	Baiafusivirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Nipumfusiviridae;Baiafusivirus'	NA	4
Archaeal viruses (A) proposals	2024.003A	2024.003A.A.v1.Nipumfusiviridae_newfam.docx	2024.003A.A.v1.Nipumfusiviridae_newfam.xlsx	16	Create new	species	Baiafusivirus delawarense	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Nipumfusiviridae;Baiafusivirus;Baiafusivirus delawarense'	NA	13
Archaeal viruses (A) proposals	2024.003A	2024.003A.A.v1.Nipumfusiviridae_newfam.docx	2024.003A.A.v1.Nipumfusiviridae_newfam.xlsx	17	Create new	species	Baiafusivirus chesapeakense	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Nipumfusiviridae;Baiafusivirus;Baiafusivirus chesapeakense'	NA	14
Archaeal viruses (A) proposals	2024.003A	2024.003A.A.v1.Nipumfusiviridae_newfam.docx	2024.003A.A.v1.Nipumfusiviridae_newfam.xlsx	18	Create new	genus	Yangshanfusivirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Nipumfusiviridae;Yangshanfusivirus'	NA	5
Archaeal viruses (A) proposals	2024.003A	2024.003A.A.v1.Nipumfusiviridae_newfam.docx	2024.003A.A.v1.Nipumfusiviridae_newfam.xlsx	19	Create new	species	Yangshanfusivirus mimetica	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Nipumfusiviridae;Yangshanfusivirus;Yangshanfusivirus mimetica'	NA	15
