NOT YET IMPLEMENTED
subcommittee	code	docx	xlsx	row	change	rank	taxon	level	error	message	notes	scAbbrev	order
Plant virus (P) proposals	2024.010P	2024.010P.Geminiviridae_Begomovirus_19nsp.docx	2024.010P.Geminiviridae_Begomovirus_19nsp.xlsx	0	OPEN_DOCX			INFO	DOCX_2024_TEMPLATE	2024 version of DOCX proposal template (yet) supported.	DOCX_FILENAME=2024.010P.Geminiviridae_Begomovirus_19nsp.docx	NA	0
Plant virus (P) proposals	2024.010P	2024.010P.Geminiviridae_Begomovirus_19nsp.docx	2024.010P.Geminiviridae_Begomovirus_19nsp.xlsx	5	Create new	species	Begomovirus chuxiongense	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Monodnaviria;Shotokuvirae;Cressdnaviricota;Repensiviricetes;Geplafuvirales;Geminiviridae;Begomovirus;Begomovirus chuxiongense'	NA	1
Plant virus (P) proposals	2024.010P	2024.010P.Geminiviridae_Begomovirus_19nsp.docx	2024.010P.Geminiviridae_Begomovirus_19nsp.xlsx	6	Create new	species	Begomovirus solanumaureusreti	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Monodnaviria;Shotokuvirae;Cressdnaviricota;Repensiviricetes;Geplafuvirales;Geminiviridae;Begomovirus;Begomovirus solanumaureusreti'	NA	2
Plant virus (P) proposals	2024.010P	2024.010P.Geminiviridae_Begomovirus_19nsp.docx	2024.010P.Geminiviridae_Begomovirus_19nsp.xlsx	7	Create new	species	Begomovirus solanumflavusreti	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Monodnaviria;Shotokuvirae;Cressdnaviricota;Repensiviricetes;Geplafuvirales;Geminiviridae;Begomovirus;Begomovirus solanumflavusreti'	NA	3
Plant virus (P) proposals	2024.010P	2024.010P.Geminiviridae_Begomovirus_19nsp.docx	2024.010P.Geminiviridae_Begomovirus_19nsp.xlsx	8	Create new	species	Begomovirus whitaniae	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Monodnaviria;Shotokuvirae;Cressdnaviricota;Repensiviricetes;Geplafuvirales;Geminiviridae;Begomovirus;Begomovirus whitaniae'	NA	4
Plant virus (P) proposals	2024.010P	2024.010P.Geminiviridae_Begomovirus_19nsp.docx	2024.010P.Geminiviridae_Begomovirus_19nsp.xlsx	9	Create new	species	Begomovirus sidaflavusfolii	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Monodnaviria;Shotokuvirae;Cressdnaviricota;Repensiviricetes;Geplafuvirales;Geminiviridae;Begomovirus;Begomovirus sidaflavusfolii'	NA	5
Plant virus (P) proposals	2024.010P	2024.010P.Geminiviridae_Begomovirus_19nsp.docx	2024.010P.Geminiviridae_Begomovirus_19nsp.xlsx	10	Create new	species	Begomovirus cajani	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Monodnaviria;Shotokuvirae;Cressdnaviricota;Repensiviricetes;Geplafuvirales;Geminiviridae;Begomovirus;Begomovirus cajani'	NA	6
Plant virus (P) proposals	2024.010P	2024.010P.Geminiviridae_Begomovirus_19nsp.docx	2024.010P.Geminiviridae_Begomovirus_19nsp.xlsx	11	Create new	species	Begomovirus hortuscrotoni	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Monodnaviria;Shotokuvirae;Cressdnaviricota;Repensiviricetes;Geplafuvirales;Geminiviridae;Begomovirus;Begomovirus hortuscrotoni'	NA	7
Plant virus (P) proposals	2024.010P	2024.010P.Geminiviridae_Begomovirus_19nsp.docx	2024.010P.Geminiviridae_Begomovirus_19nsp.xlsx	12	Create new	species	Begomovirus jatrophagunturense	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Monodnaviria;Shotokuvirae;Cressdnaviricota;Repensiviricetes;Geplafuvirales;Geminiviridae;Begomovirus;Begomovirus jatrophagunturense'	NA	8
Plant virus (P) proposals	2024.010P	2024.010P.Geminiviridae_Begomovirus_19nsp.docx	2024.010P.Geminiviridae_Begomovirus_19nsp.xlsx	13	Create new	species	Begomovirus hyptidis	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Monodnaviria;Shotokuvirae;Cressdnaviricota;Repensiviricetes;Geplafuvirales;Geminiviridae;Begomovirus;Begomovirus hyptidis'	NA	9
