FEATURE NOT YET IMPLEMENTED
subcommittee	code	docx	xlsx	row	change	rank	taxon	level	error	message	notes	scAbbrev	order
Fungal and protist virus (F) proposals	2024.008F	MISSING	2024.008F.Uc.v2.Orpoviricetes_newclass.xlsx	5	Create new	class	Orpoviricetes	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create class of 'Riboviria;Orthornavirae;Orpoviricetes'	NA	1
Fungal and protist virus (F) proposals	2024.008F	MISSING	2024.008F.Uc.v2.Orpoviricetes_newclass.xlsx	6	Create new	order	Formycovirales	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create order of 'Riboviria;Orthornavirae;Orpoviricetes;Formycovirales'	NA	2
Fungal and protist virus (F) proposals	2024.008F	MISSING	2024.008F.Uc.v2.Orpoviricetes_newclass.xlsx	7	Create new	family	Gammaormycoviridae	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create family of 'Riboviria;Orthornavirae;Orpoviricetes;Formycovirales;Gammaormycoviridae'	NA	4
Fungal and protist virus (F) proposals	2024.008F	MISSING	2024.008F.Uc.v2.Orpoviricetes_newclass.xlsx	8	Create new	genus	Hormycovirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Riboviria;Orthornavirae;Orpoviricetes;Formycovirales;Gammaormycoviridae;Hormycovirus'	NA	10
Fungal and protist virus (F) proposals	2024.008F	MISSING	2024.008F.Uc.v2.Orpoviricetes_newclass.xlsx	9	Create new	species	Hormycovirus hortiboleti	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Orpoviricetes;Formycovirales;Gammaormycoviridae;Hormycovirus;Hormycovirus hortiboleti'	NA	20
Fungal and protist virus (F) proposals	2024.008F	MISSING	2024.008F.Uc.v2.Orpoviricetes_newclass.xlsx	10	Create new	genus	Tormycovirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Riboviria;Orthornavirae;Orpoviricetes;Formycovirales;Gammaormycoviridae;Tormycovirus'	NA	11
Fungal and protist virus (F) proposals	2024.008F	MISSING	2024.008F.Uc.v2.Orpoviricetes_newclass.xlsx	11	Create new	species	Tormycovirus erysiphe	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Orpoviricetes;Formycovirales;Gammaormycoviridae;Tormycovirus;Tormycovirus erysiphe'	NA	21
Fungal and protist virus (F) proposals	2024.008F	MISSING	2024.008F.Uc.v2.Orpoviricetes_newclass.xlsx	12	Create new	species	Tormycovirus thrichodermae	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Orpoviricetes;Formycovirales;Gammaormycoviridae;Tormycovirus;Tormycovirus thrichodermae'	NA	22
Fungal and protist virus (F) proposals	2024.008F	MISSING	2024.008F.Uc.v2.Orpoviricetes_newclass.xlsx	13	Create new	species	Tormycovirus fusarii	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Orpoviricetes;Formycovirales;Gammaormycoviridae;Tormycovirus;Tormycovirus fusarii'	NA	23
Fungal and protist virus (F) proposals	2024.008F	MISSING	2024.008F.Uc.v2.Orpoviricetes_newclass.xlsx	14	Create new	species	Tormycovirus unplasmoparae	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Orpoviricetes;Formycovirales;Gammaormycoviridae;Tormycovirus;Tormycovirus unplasmoparae'	NA	24
Fungal and protist virus (F) proposals	2024.008F	MISSING	2024.008F.Uc.v2.Orpoviricetes_newclass.xlsx	15	Create new	species	Tormycovirus duaplasmoparae	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Orpoviricetes;Formycovirales;Gammaormycoviridae;Tormycovirus;Tormycovirus duaplasmoparae'	NA	25
Fungal and protist virus (F) proposals	2024.008F	MISSING	2024.008F.Uc.v2.Orpoviricetes_newclass.xlsx	16	Create new	family	Betaormycoviridae	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create family of 'Riboviria;Orthornavirae;Orpoviricetes;Formycovirales;Betaormycoviridae'	NA	5
Fungal and protist virus (F) proposals	2024.008F	MISSING	2024.008F.Uc.v2.Orpoviricetes_newclass.xlsx	17	Create new	genus	Vormycovirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Riboviria;Orthornavirae;Orpoviricetes;Formycovirales;Betaormycoviridae;Vormycovirus'	NA	12
Fungal and protist virus (F) proposals	2024.008F	MISSING	2024.008F.Uc.v2.Orpoviricetes_newclass.xlsx	18	Create new	species	Vormycovirus unerysiphe	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Orpoviricetes;Formycovirales;Betaormycoviridae;Vormycovirus;Vormycovirus unerysiphe'	NA	26
Fungal and protist virus (F) proposals	2024.008F	MISSING	2024.008F.Uc.v2.Orpoviricetes_newclass.xlsx	19	Create new	species	Vormycovirus duerysiphe	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Orpoviricetes;Formycovirales;Betaormycoviridae;Vormycovirus;Vormycovirus duerysiphe'	NA	27
Fungal and protist virus (F) proposals	2024.008F	MISSING	2024.008F.Uc.v2.Orpoviricetes_newclass.xlsx	20	Create new	species	Vormycovirus plasmoparae	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Orpoviricetes;Formycovirales;Betaormycoviridae;Vormycovirus;Vormycovirus plasmoparae'	NA	28
Fungal and protist virus (F) proposals	2024.008F	MISSING	2024.008F.Uc.v2.Orpoviricetes_newclass.xlsx	21	Create new	species	Vormycovirus verticilli	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Orpoviricetes;Formycovirales;Betaormycoviridae;Vormycovirus;Vormycovirus verticilli'	NA	29
Fungal and protist virus (F) proposals	2024.008F	MISSING	2024.008F.Uc.v2.Orpoviricetes_newclass.xlsx	22	Create new	species	Vormycovirus ophiocordyceps	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Orpoviricetes;Formycovirales;Betaormycoviridae;Vormycovirus;Vormycovirus ophiocordyceps'	NA	30
Fungal and protist virus (F) proposals	2024.008F	MISSING	2024.008F.Uc.v2.Orpoviricetes_newclass.xlsx	23	Create new	genus	Stormycovirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Riboviria;Orthornavirae;Orpoviricetes;Formycovirales;Betaormycoviridae;Stormycovirus'	NA	13
Fungal and protist virus (F) proposals	2024.008F	MISSING	2024.008F.Uc.v2.Orpoviricetes_newclass.xlsx	24	Create new	species	Stormycovirus starmellariae	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Orpoviricetes;Formycovirales;Betaormycoviridae;Stormycovirus;Stormycovirus starmellariae'	NA	31
Fungal and protist virus (F) proposals	2024.008F	MISSING	2024.008F.Uc.v2.Orpoviricetes_newclass.xlsx	25	Create new	species	Stormycovirus alariae	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Orpoviricetes;Formycovirales;Betaormycoviridae;Stormycovirus;Stormycovirus alariae'	NA	32
Fungal and protist virus (F) proposals	2024.008F	MISSING	2024.008F.Uc.v2.Orpoviricetes_newclass.xlsx	26	Create new	order	Bormycovirales	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create order of 'Riboviria;Orthornavirae;Orpoviricetes;Bormycovirales'	NA	3
Fungal and protist virus (F) proposals	2024.008F	MISSING	2024.008F.Uc.v2.Orpoviricetes_newclass.xlsx	27	Create new	family	Alphaormycoviridae	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create family of 'Riboviria;Orthornavirae;Orpoviricetes;Bormycovirales;Alphaormycoviridae'	NA	6
Fungal and protist virus (F) proposals	2024.008F	MISSING	2024.008F.Uc.v2.Orpoviricetes_newclass.xlsx	28	Create new	genus	Phormycovirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Riboviria;Orthornavirae;Orpoviricetes;Bormycovirales;Alphaormycoviridae;Phormycovirus'	NA	14
Fungal and protist virus (F) proposals	2024.008F	MISSING	2024.008F.Uc.v2.Orpoviricetes_newclass.xlsx	29	Create new	species	Phormycovirus phytophthorae	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Orpoviricetes;Bormycovirales;Alphaormycoviridae;Phormycovirus;Phormycovirus phytophthorae'	NA	33
Fungal and protist virus (F) proposals	2024.008F	MISSING	2024.008F.Uc.v2.Orpoviricetes_newclass.xlsx	30	Create new	species	Phormycovirus unphytophthorae	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Orpoviricetes;Bormycovirales;Alphaormycoviridae;Phormycovirus;Phormycovirus unphytophthorae'	NA	34
Fungal and protist virus (F) proposals	2024.008F	MISSING	2024.008F.Uc.v2.Orpoviricetes_newclass.xlsx	31	Create new	species	Phormycovirus duphytophthorae	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Orpoviricetes;Bormycovirales;Alphaormycoviridae;Phormycovirus;Phormycovirus duphytophthorae'	NA	35
