subcommittee	code	docx	xlsx	row	change	rank	taxon	level	error	message	notes	scAbbrev	order
Animal dsRNA and -ssRNA (M) proposals	2025.001M	MISSING	2025.001M.N.v1.Alpharhabdovirinae_2ng14nsp.xlsx	5	Create new	genus	Chiroprhavirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Rhabdoviridae;Alpharhabdovirinae;Chiroprhavirus'	NA	2
Animal dsRNA and -ssRNA (M) proposals	2025.001M	MISSING	2025.001M.N.v1.Alpharhabdovirinae_2ng14nsp.xlsx	6	Move; rename	species	Vesiculovirus eptesicus	SUCCESS	MOVE.OK	Change=MOVE, applied successfully	MOVE species named 'Vesiculovirus eptesicus' to species named 'Chiroprhavirus epitesicus' PROPOSED//CUR=[identical]Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Rhabdoviridae;Alpharhabdovirinae;Vesiculovirus;Vesiculovirus eptesicus	NA	116
Animal dsRNA and -ssRNA (M) proposals	2025.001M	MISSING	2025.001M.N.v1.Alpharhabdovirinae_2ng14nsp.xlsx	7	Move; rename	species	Vesiculovirus mediterranean	SUCCESS	MOVE.OK	Change=MOVE, applied successfully	MOVE species named 'Vesiculovirus mediterranean' to species named 'Chiroprhavirus mediterranean' PROPOSED//CUR=[identical]Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Rhabdoviridae;Alpharhabdovirinae;Vesiculovirus;Vesiculovirus mediterranean	NA	117
Animal dsRNA and -ssRNA (M) proposals	2025.001M	MISSING	2025.001M.N.v1.Alpharhabdovirinae_2ng14nsp.xlsx	8	Move; rename	species	Vesiculovirus rhinolophus	SUCCESS	MOVE.OK	Change=MOVE, applied successfully	MOVE species named 'Vesiculovirus rhinolophus' to species named 'Chiroprhavirus rhinolophus' PROPOSED//CUR=[identical]Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Rhabdoviridae;Alpharhabdovirinae;Vesiculovirus;Vesiculovirus rhinolophus	NA	118
Animal dsRNA and -ssRNA (M) proposals	2025.001M	MISSING	2025.001M.N.v1.Alpharhabdovirinae_2ng14nsp.xlsx	9	Move; rename	species	Vesiculovirus wufeng	SUCCESS	MOVE.OK	Change=MOVE, applied successfully	MOVE species named 'Vesiculovirus wufeng' to species named 'Chiroprhavirus wufeng' PROPOSED//CUR=[identical]Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Rhabdoviridae;Alpharhabdovirinae;Vesiculovirus;Vesiculovirus wufeng	NA	119
Animal dsRNA and -ssRNA (M) proposals	2025.001M	MISSING	2025.001M.N.v1.Alpharhabdovirinae_2ng14nsp.xlsx	10	Move; rename	species	Vesiculovirus yinshui	SUCCESS	MOVE.OK	Change=MOVE, applied successfully	MOVE species named 'Vesiculovirus yinshui' to species named 'Chiroprhavirus yinshui' PROPOSED//CUR=[identical]Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Rhabdoviridae;Alpharhabdovirinae;Vesiculovirus;Vesiculovirus yinshui	NA	120
Animal dsRNA and -ssRNA (M) proposals	2025.001M	MISSING	2025.001M.N.v1.Alpharhabdovirinae_2ng14nsp.xlsx	11	Create new	genus	Artemrhavirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Rhabdoviridae;Alpharhabdovirinae;Artemrhavirus'	NA	3
Animal dsRNA and -ssRNA (M) proposals	2025.001M	MISSING	2025.001M.N.v1.Alpharhabdovirinae_2ng14nsp.xlsx	12	Create new	species	Artemrhavirus blanca	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Rhabdoviridae;Alpharhabdovirinae;Artemrhavirus;Artemrhavirus blanca'	NA	11
Animal dsRNA and -ssRNA (M) proposals	2025.001M	MISSING	2025.001M.N.v1.Alpharhabdovirinae_2ng14nsp.xlsx	13	Create new	species	Sigmavirus cucurbitae	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Rhabdoviridae;Alpharhabdovirinae;Sigmavirus;Sigmavirus cucurbitae'	NA	12
Animal dsRNA and -ssRNA (M) proposals	2025.001M	MISSING	2025.001M.N.v1.Alpharhabdovirinae_2ng14nsp.xlsx	14	Create new	species	Sigmavirus bangalore	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Rhabdoviridae;Alpharhabdovirinae;Sigmavirus;Sigmavirus bangalore'	NA	13
Animal dsRNA and -ssRNA (M) proposals	2025.001M	MISSING	2025.001M.N.v1.Alpharhabdovirinae_2ng14nsp.xlsx	15	Create new	species	Merhavirus corixo	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Rhabdoviridae;Alpharhabdovirinae;Merhavirus;Merhavirus corixo'	NA	14
Animal dsRNA and -ssRNA (M) proposals	2025.001M	MISSING	2025.001M.N.v1.Alpharhabdovirinae_2ng14nsp.xlsx	16	Create new	species	Ohlsrhavirus bafoussam	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Rhabdoviridae;Alpharhabdovirinae;Ohlsrhavirus;Ohlsrhavirus bafoussam'	NA	15
Animal dsRNA and -ssRNA (M) proposals	2025.001M	MISSING	2025.001M.N.v1.Alpharhabdovirinae_2ng14nsp.xlsx	17	Create new	species	Ohlsrhavirus halifaxii	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Rhabdoviridae;Alpharhabdovirinae;Ohlsrhavirus;Ohlsrhavirus halifaxii'	NA	16
Animal dsRNA and -ssRNA (M) proposals	2025.001M	MISSING	2025.001M.N.v1.Alpharhabdovirinae_2ng14nsp.xlsx	18	Create new	species	Ephemerovirus hefer	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Rhabdoviridae;Alpharhabdovirinae;Ephemerovirus;Ephemerovirus hefer'	NA	17
Animal dsRNA and -ssRNA (M) proposals	2025.001M	MISSING	2025.001M.N.v1.Alpharhabdovirinae_2ng14nsp.xlsx	19	Create new	species	Ephemerovirus hardee	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Rhabdoviridae;Alpharhabdovirinae;Ephemerovirus;Ephemerovirus hardee'	NA	18
Animal dsRNA and -ssRNA (M) proposals	2025.001M	MISSING	2025.001M.N.v1.Alpharhabdovirinae_2ng14nsp.xlsx	20	Create new	species	Alpharicinrhavirus marginatum	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Rhabdoviridae;Alpharhabdovirinae;Alpharicinrhavirus;Alpharicinrhavirus marginatum'	NA	19
Animal dsRNA and -ssRNA (M) proposals	2025.001M	MISSING	2025.001M.N.v1.Alpharhabdovirinae_2ng14nsp.xlsx	21	Create new	species	Alpharicinrhavirus isaaci	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Rhabdoviridae;Alpharhabdovirinae;Alpharicinrhavirus;Alpharicinrhavirus isaaci'	NA	20
Animal dsRNA and -ssRNA (M) proposals	2025.001M	MISSING	2025.001M.N.v1.Alpharhabdovirinae_2ng14nsp.xlsx	22	Create new	species	Betathriprhavirus pamplona	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Rhabdoviridae;Alpharhabdovirinae;Betathriprhavirus;Betathriprhavirus pamplona'	NA	21
Animal dsRNA and -ssRNA (M) proposals	2025.001M	MISSING	2025.001M.N.v1.Alpharhabdovirinae_2ng14nsp.xlsx	23	Create new	species	Betathriprhavirus oviedo	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Rhabdoviridae;Alpharhabdovirinae;Betathriprhavirus;Betathriprhavirus oviedo'	NA	22
Animal dsRNA and -ssRNA (M) proposals	2025.001M	MISSING	2025.001M.N.v1.Alpharhabdovirinae_2ng14nsp.xlsx	24	Create new	species	Lyssavirus phala	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Rhabdoviridae;Alpharhabdovirinae;Lyssavirus;Lyssavirus phala'	NA	23
Animal dsRNA and -ssRNA (M) proposals	2025.001M	MISSING	2025.001M.N.v1.Alpharhabdovirinae_2ng14nsp.xlsx	25	Create new	species	Ledantevirus hipposideros	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Rhabdoviridae;Alpharhabdovirinae;Ledantevirus;Ledantevirus hipposideros'	NA	24
Animal dsRNA and -ssRNA (M) proposals	2025.002M	MISSING	2025.002M.N.v1.Crustavirus_1nsp.xlsx	5	Create new	species	Crustavirus jasusedwardsii	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Nyamiviridae;Crustavirus;Crustavirus jasusedwardsii'	NA	25
Animal dsRNA and -ssRNA (M) proposals	2025.003M	MISSING	2025.003M.N.v1.Konkoviridae_5nsp.xlsx	5	Create new	species	Olpivirus freesiae	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Hareavirales;Konkoviridae;Olpivirus;Olpivirus freesiae'	NA	26
Animal dsRNA and -ssRNA (M) proposals	2025.003M	MISSING	2025.003M.N.v1.Konkoviridae_5nsp.xlsx	6	Create new	species	Olpivirus lachenaliae	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Hareavirales;Konkoviridae;Olpivirus;Olpivirus lachenaliae'	NA	27
Animal dsRNA and -ssRNA (M) proposals	2025.003M	MISSING	2025.003M.N.v1.Konkoviridae_5nsp.xlsx	7	Create new	species	Olpivirus soli	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Hareavirales;Konkoviridae;Olpivirus;Olpivirus soli'	NA	28
Animal dsRNA and -ssRNA (M) proposals	2025.003M	MISSING	2025.003M.N.v1.Konkoviridae_5nsp.xlsx	8	Create new	species	Olpivirus tripterocalicis	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Hareavirales;Konkoviridae;Olpivirus;Olpivirus tripterocalicis'	NA	29
Animal dsRNA and -ssRNA (M) proposals	2025.003M	MISSING	2025.003M.N.v1.Konkoviridae_5nsp.xlsx	9	Create new	species	Olpivirus waitziae	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Hareavirales;Konkoviridae;Olpivirus;Olpivirus waitziae'	NA	30
Animal dsRNA and -ssRNA (M) proposals	2025.004M	MISSING	2025.004M.N.v1.Lispiviridae_1ngen_6nsp.xlsx	5	Create new	genus	Crocevirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Lispiviridae;Crocevirus'	NA	4
Animal dsRNA and -ssRNA (M) proposals	2025.004M	MISSING	2025.004M.N.v1.Lispiviridae_1ngen_6nsp.xlsx	6	Create new	species	Crocevirus donghaiense	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Lispiviridae;Crocevirus;Crocevirus donghaiense'	NA	31
Animal dsRNA and -ssRNA (M) proposals	2025.004M	MISSING	2025.004M.N.v1.Lispiviridae_1ngen_6nsp.xlsx	7	Create new	species	Coroavirus crysecense	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Lispiviridae;Coroavirus;Coroavirus crysecense'	NA	32
Animal dsRNA and -ssRNA (M) proposals	2025.004M	MISSING	2025.004M.N.v1.Lispiviridae_1ngen_6nsp.xlsx	8	Create new	species	Copasivirus macbelense	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Lispiviridae;Copasivirus;Copasivirus macbelense'	NA	33
