subcommittee	code	docx	xlsx	row	change	rank	taxon	level	error	message	notes	scAbbrev	order
Plant virus (P) proposals	2025.017P	MISSING	2025.017P.N.v1.Secoviridae_53nsp_3abolishsp.xlsx	5	Create new	species	Comovirus caricae	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae;Comovirinae;Comovirus;Comovirus caricae'	NA	4
Plant virus (P) proposals	2025.017P	MISSING	2025.017P.N.v1.Secoviridae_53nsp_3abolishsp.xlsx	6	Create new	species	Comovirus cardaminis	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae;Comovirinae;Comovirus;Comovirus cardaminis'	NA	5
Plant virus (P) proposals	2025.017P	MISSING	2025.017P.N.v1.Secoviridae_53nsp_3abolishsp.xlsx	7	Create new	species	Cheravirus lagerstroemiae	WARNING	CREATE.PARENT_LINEAGE	Change=NEW, proposed parent taxon exists, but not with expected lineage, using observed lineage	PROPOSED//OBSERVED=Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae;[Comovirinae//Cheravirus];[Cheravirus//], otherProposals=NA	NA	6
Plant virus (P) proposals	2025.017P	MISSING	2025.017P.N.v1.Secoviridae_53nsp_3abolishsp.xlsx	7	Create new	species	Cheravirus lagerstroemiae	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae;Cheravirus;Cheravirus lagerstroemiae'	NA	6
Plant virus (P) proposals	2025.017P	MISSING	2025.017P.N.v1.Secoviridae_53nsp_3abolishsp.xlsx	8	Create new	species	Cheravirus corymbii	WARNING	CREATE.PARENT_LINEAGE	Change=NEW, proposed parent taxon exists, but not with expected lineage, using observed lineage	PROPOSED//OBSERVED=Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae;[Comovirinae//Cheravirus];[Cheravirus//], otherProposals=NA	NA	7
Plant virus (P) proposals	2025.017P	MISSING	2025.017P.N.v1.Secoviridae_53nsp_3abolishsp.xlsx	8	Create new	species	Cheravirus corymbii	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae;Cheravirus;Cheravirus corymbii'	NA	7
Plant virus (P) proposals	2025.017P	MISSING	2025.017P.N.v1.Secoviridae_53nsp_3abolishsp.xlsx	9	Create new	species	Cheravirus pternopetali	WARNING	CREATE.PARENT_LINEAGE	Change=NEW, proposed parent taxon exists, but not with expected lineage, using observed lineage	PROPOSED//OBSERVED=Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae;[Comovirinae//Cheravirus];[Cheravirus//], otherProposals=NA	NA	8
Plant virus (P) proposals	2025.017P	MISSING	2025.017P.N.v1.Secoviridae_53nsp_3abolishsp.xlsx	9	Create new	species	Cheravirus pternopetali	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae;Cheravirus;Cheravirus pternopetali'	NA	8
Plant virus (P) proposals	2025.017P	MISSING	2025.017P.N.v1.Secoviridae_53nsp_3abolishsp.xlsx	10	Create new	species	Fabavirus phipiperis	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae;Comovirinae;Fabavirus;Fabavirus phipiperis'	NA	9
Plant virus (P) proposals	2025.017P	MISSING	2025.017P.N.v1.Secoviridae_53nsp_3abolishsp.xlsx	11	Create new	species	Fabavirus camphorae	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae;Comovirinae;Fabavirus;Fabavirus camphorae'	NA	10
