subcommittee	code	docx	xlsx	row	change	rank	taxon	level	error	message	notes	scAbbrev	order	xlsxpath	path	basename	docpath	file
Bacterial viruses (B) proposals	2024.035B	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.docx	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.xlsx	0	OPEN_DOCX			INFO	DOCX_UNKNONW_TEMPLATE	Unrecognized version of DOCX proposal template. Not (yet) supported.	DOCX_FILENAME=2024.035B.Uc.v3.Tubulavirales_34ng_49ns.docx	NA	0	NA	NA	NA	NA	NA
Bacterial viruses (B) proposals	2024.035B	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.docx	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.xlsx	5	Create new	genus	Nigolovirus	WARNING	CREATE.PARENT_LINEAGE	Change=NEW, proposed parent taxon exists, but not with expected lineage, using observed lineage	PROPOSED//OBSERVED=[Inoviridae//Monodnaviria];[//Loebvirae];[//Hofneiviricota];[//Faserviricetes];[//Tubulavirales];[//Inoviridae], otherProposals=NA	NA	1	NA	NA	NA	NA	NA
Bacterial viruses (B) proposals	2024.035B	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.docx	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.xlsx	5	Create new	genus	Nigolovirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae;Nigolovirus'	NA	1	NA	NA	NA	NA	NA
Bacterial viruses (B) proposals	2024.035B	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.docx	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.xlsx	6	Create new	species	Nigolovirus 219	WARNING	CREATE.PARENT_LINEAGE	Change=NEW, proposed parent taxon exists, but not with expected lineage, using observed lineage	PROPOSED//OBSERVED=[Inoviridae//Monodnaviria];[Nigolovirus//Loebvirae];[//Hofneiviricota];[//Faserviricetes];[//Tubulavirales];[//Inoviridae];[//Nigolovirus], otherProposals=2024.035B.Uc.v3.Tubulavirales_34ng_49ns.zip:5	NA	35	NA	NA	NA	NA	NA
Bacterial viruses (B) proposals	2024.035B	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.docx	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.xlsx	6	Create new	species	Nigolovirus 219	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae;Nigolovirus;Nigolovirus 219'	NA	35	NA	NA	NA	NA	NA
Bacterial viruses (B) proposals	2024.035B	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.docx	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.xlsx	7	Create new	genus	Phargevirus	WARNING	CREATE.PARENT_LINEAGE	Change=NEW, proposed parent taxon exists, but not with expected lineage, using observed lineage	PROPOSED//OBSERVED=[Inoviridae//Monodnaviria];[//Loebvirae];[//Hofneiviricota];[//Faserviricetes];[//Tubulavirales];[//Inoviridae], otherProposals=NA	NA	2	NA	NA	NA	NA	NA
Bacterial viruses (B) proposals	2024.035B	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.docx	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.xlsx	7	Create new	genus	Phargevirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae;Phargevirus'	NA	2	NA	NA	NA	NA	NA
Bacterial viruses (B) proposals	2024.035B	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.docx	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.xlsx	8	Create new	species	Phargevirus 213	WARNING	CREATE.PARENT_LINEAGE	Change=NEW, proposed parent taxon exists, but not with expected lineage, using observed lineage	PROPOSED//OBSERVED=[Inoviridae//Monodnaviria];[Phargevirus//Loebvirae];[//Hofneiviricota];[//Faserviricetes];[//Tubulavirales];[//Inoviridae];[//Phargevirus], otherProposals=2024.035B.Uc.v3.Tubulavirales_34ng_49ns.zip:7	NA	36	NA	NA	NA	NA	NA
Bacterial viruses (B) proposals	2024.035B	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.docx	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.xlsx	8	Create new	species	Phargevirus 213	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae;Phargevirus;Phargevirus 213'	NA	36	NA	NA	NA	NA	NA
Bacterial viruses (B) proposals	2024.035B	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.docx	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.xlsx	9	Create new	genus	Ramphavirus	WARNING	CREATE.PARENT_LINEAGE	Change=NEW, proposed parent taxon exists, but not with expected lineage, using observed lineage	PROPOSED//OBSERVED=[Inoviridae//Monodnaviria];[//Loebvirae];[//Hofneiviricota];[//Faserviricetes];[//Tubulavirales];[//Inoviridae], otherProposals=NA	NA	3	NA	NA	NA	NA	NA
Bacterial viruses (B) proposals	2024.035B	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.docx	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.xlsx	9	Create new	genus	Ramphavirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae;Ramphavirus'	NA	3	NA	NA	NA	NA	NA
Bacterial viruses (B) proposals	2024.035B	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.docx	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.xlsx	10	Create new	species	Ramphavirus 80	WARNING	CREATE.PARENT_LINEAGE	Change=NEW, proposed parent taxon exists, but not with expected lineage, using observed lineage	PROPOSED//OBSERVED=[Inoviridae//Monodnaviria];[Ramphavirus//Loebvirae];[//Hofneiviricota];[//Faserviricetes];[//Tubulavirales];[//Inoviridae];[//Ramphavirus], otherProposals=2024.035B.Uc.v3.Tubulavirales_34ng_49ns.zip:9	NA	37	NA	NA	NA	NA	NA
Bacterial viruses (B) proposals	2024.035B	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.docx	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.xlsx	10	Create new	species	Ramphavirus 80	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae;Ramphavirus;Ramphavirus 80'	NA	37	NA	NA	NA	NA	NA
Bacterial viruses (B) proposals	2024.035B	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.docx	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.xlsx	11	Create new	genus	Pilosavirus	WARNING	CREATE.PARENT_LINEAGE	Change=NEW, proposed parent taxon exists, but not with expected lineage, using observed lineage	PROPOSED//OBSERVED=[Inoviridae//Monodnaviria];[//Loebvirae];[//Hofneiviricota];[//Faserviricetes];[//Tubulavirales];[//Inoviridae], otherProposals=NA	NA	4	NA	NA	NA	NA	NA
Bacterial viruses (B) proposals	2024.035B	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.docx	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.xlsx	11	Create new	genus	Pilosavirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae;Pilosavirus'	NA	4	NA	NA	NA	NA	NA
Bacterial viruses (B) proposals	2024.035B	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.docx	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.xlsx	12	Create new	species	Pilosavirus PMBT54	WARNING	CREATE.PARENT_LINEAGE	Change=NEW, proposed parent taxon exists, but not with expected lineage, using observed lineage	PROPOSED//OBSERVED=[Inoviridae//Monodnaviria];[Pilosavirus//Loebvirae];[//Hofneiviricota];[//Faserviricetes];[//Tubulavirales];[//Inoviridae];[//Pilosavirus], otherProposals=2024.035B.Uc.v3.Tubulavirales_34ng_49ns.zip:11	NA	38	NA	NA	NA	NA	NA
Bacterial viruses (B) proposals	2024.035B	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.docx	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.xlsx	12	Create new	species	Pilosavirus PMBT54	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae;Pilosavirus;Pilosavirus PMBT54'	NA	38	NA	NA	NA	NA	NA
Bacterial viruses (B) proposals	2024.035B	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.docx	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.xlsx	13	Create new	genus	Pythonevirus	WARNING	CREATE.PARENT_LINEAGE	Change=NEW, proposed parent taxon exists, but not with expected lineage, using observed lineage	PROPOSED//OBSERVED=[Inoviridae//Monodnaviria];[//Loebvirae];[//Hofneiviricota];[//Faserviricetes];[//Tubulavirales];[//Inoviridae], otherProposals=NA	NA	5	NA	NA	NA	NA	NA
Bacterial viruses (B) proposals	2024.035B	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.docx	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.xlsx	13	Create new	genus	Pythonevirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae;Pythonevirus'	NA	5	NA	NA	NA	NA	NA
Bacterial viruses (B) proposals	2024.035B	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.docx	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.xlsx	14	Create new	species	Pythonevirus WXY	WARNING	CREATE.PARENT_LINEAGE	Change=NEW, proposed parent taxon exists, but not with expected lineage, using observed lineage	PROPOSED//OBSERVED=[Inoviridae//Monodnaviria];[Pythonevirus//Loebvirae];[//Hofneiviricota];[//Faserviricetes];[//Tubulavirales];[//Inoviridae];[//Pythonevirus], otherProposals=2024.035B.Uc.v3.Tubulavirales_34ng_49ns.zip:13	NA	39	NA	NA	NA	NA	NA
