subcommittee	code	docx	xlsx	row	change	rank	taxon	level	error	message	notes	scAbbrev	order
Bacterial viruses (B) proposals	2025.013B	MISSING	2025.013B.Uc.v3.Crassvirales_reorganisation.xlsx	5	Create new	order	Paracrassvirales	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create order of 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Paracrassvirales'	NA	1
Bacterial viruses (B) proposals	2025.013B	MISSING	2025.013B.Uc.v3.Crassvirales_reorganisation.xlsx	6	Create new	order	Metacrassvirales	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create order of 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Metacrassvirales'	NA	2
Bacterial viruses (B) proposals	2025.013B	MISSING	2025.013B.Uc.v3.Crassvirales_reorganisation.xlsx	7	Create new	family	Tripviridae	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create family of 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Metacrassvirales;Tripviridae'	NA	3
Bacterial viruses (B) proposals	2025.013B	MISSING	2025.013B.Uc.v3.Crassvirales_reorganisation.xlsx	8	Create new	family	Darmviridae	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create family of 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Darmviridae'	NA	4
Bacterial viruses (B) proposals	2025.013B	MISSING	2025.013B.Uc.v3.Crassvirales_reorganisation.xlsx	9	Create new	family	Tinaiviridae	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create family of 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Paracrassvirales;Tinaiviridae'	NA	5
Bacterial viruses (B) proposals	2025.013B	MISSING	2025.013B.Uc.v3.Crassvirales_reorganisation.xlsx	10	Create new	genus	Arseivirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Crevaviridae;Arseivirus'	NA	6
Bacterial viruses (B) proposals	2025.013B	MISSING	2025.013B.Uc.v3.Crassvirales_reorganisation.xlsx	11	Create new	genus	Crabavirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Metacrassvirales;Tripviridae;Crabavirus'	NA	7
Bacterial viruses (B) proposals	2025.013B	MISSING	2025.013B.Uc.v3.Crassvirales_reorganisation.xlsx	12	Create new	genus	Dilkevirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Steigviridae;Dilkevirus'	NA	8
Bacterial viruses (B) proposals	2025.013B	MISSING	2025.013B.Uc.v3.Crassvirales_reorganisation.xlsx	13	Create new	genus	Dilupovirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Intestiviridae;Dilupovirus'	NA	9
Bacterial viruses (B) proposals	2025.013B	MISSING	2025.013B.Uc.v3.Crassvirales_reorganisation.xlsx	14	Create new	genus	Fahrevirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Paracrassvirales;Tinaiviridae;Fahrevirus'	NA	10
Bacterial viruses (B) proposals	2025.013B	MISSING	2025.013B.Uc.v3.Crassvirales_reorganisation.xlsx	15	Create new	genus	Glikeavirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Suoliviridae;Glikeavirus'	NA	11
Bacterial viruses (B) proposals	2025.013B	MISSING	2025.013B.Uc.v3.Crassvirales_reorganisation.xlsx	16	Create new	genus	Grauhtavirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Darmviridae;Grauhtavirus'	NA	12
Bacterial viruses (B) proposals	2025.013B	MISSING	2025.013B.Uc.v3.Crassvirales_reorganisation.xlsx	17	Create new	genus	Horekuvirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Suoliviridae;Horekuvirus'	NA	13
Bacterial viruses (B) proposals	2025.013B	MISSING	2025.013B.Uc.v3.Crassvirales_reorganisation.xlsx	18	Create new	genus	Kumbuvirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Steigviridae;Kumbuvirus'	NA	14
Bacterial viruses (B) proposals	2025.013B	MISSING	2025.013B.Uc.v3.Crassvirales_reorganisation.xlsx	19	Create new	genus	Madkivirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Steigviridae;Madkivirus'	NA	15
Bacterial viruses (B) proposals	2025.013B	MISSING	2025.013B.Uc.v3.Crassvirales_reorganisation.xlsx	20	Create new	genus	Pelduvirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Darmviridae;Pelduvirus'	NA	16
Bacterial viruses (B) proposals	2025.013B	MISSING	2025.013B.Uc.v3.Crassvirales_reorganisation.xlsx	21	Create new	genus	Polaswivirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Intestiviridae;Polaswivirus'	NA	17
Bacterial viruses (B) proposals	2025.013B	MISSING	2025.013B.Uc.v3.Crassvirales_reorganisation.xlsx	22	Create new	genus	Tahdivirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Intestiviridae;Tahdivirus'	NA	18
Bacterial viruses (B) proposals	2025.013B	MISSING	2025.013B.Uc.v3.Crassvirales_reorganisation.xlsx	23	Create new	genus	Shedivirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Darmviridae;Shedivirus'	NA	19
Bacterial viruses (B) proposals	2025.013B	MISSING	2025.013B.Uc.v3.Crassvirales_reorganisation.xlsx	24	Create new	genus	Shelovirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Suoliviridae;Shelovirus'	NA	20
Bacterial viruses (B) proposals	2025.013B	MISSING	2025.013B.Uc.v3.Crassvirales_reorganisation.xlsx	25	Create new	genus	Smehivirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Darmviridae;Smehivirus'	NA	21
Bacterial viruses (B) proposals	2025.013B	MISSING	2025.013B.Uc.v3.Crassvirales_reorganisation.xlsx	26	Create new	genus	Snuvovirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Suoliviridae;Snuvovirus'	NA	22
Bacterial viruses (B) proposals	2025.013B	MISSING	2025.013B.Uc.v3.Crassvirales_reorganisation.xlsx	27	Create new	genus	Sovupevirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Intestiviridae;Sovupevirus'	NA	23
Bacterial viruses (B) proposals	2025.013B	MISSING	2025.013B.Uc.v3.Crassvirales_reorganisation.xlsx	28	Create new	genus	Spihruvirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Suoliviridae;Spihruvirus'	NA	24
Bacterial viruses (B) proposals	2025.013B	MISSING	2025.013B.Uc.v3.Crassvirales_reorganisation.xlsx	29	Create new	genus	Sulruvirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Suoliviridae;Sulruvirus'	NA	25
Bacterial viruses (B) proposals	2025.013B	MISSING	2025.013B.Uc.v3.Crassvirales_reorganisation.xlsx	30	Create new	genus	Taduhovirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Suoliviridae;Taduhovirus'	NA	26
Bacterial viruses (B) proposals	2025.013B	MISSING	2025.013B.Uc.v3.Crassvirales_reorganisation.xlsx	31	Create new	genus	Trofluuvirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Suoliviridae;Trofluuvirus'	NA	27
Bacterial viruses (B) proposals	2025.013B	MISSING	2025.013B.Uc.v3.Crassvirales_reorganisation.xlsx	32	Create new	genus	Scendivirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Darmviridae;Scendivirus'	NA	28
Bacterial viruses (B) proposals	2025.013B	MISSING	2025.013B.Uc.v3.Crassvirales_reorganisation.xlsx	33	Create new	genus	Flerehovirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Steigviridae;Flerehovirus'	NA	29
Bacterial viruses (B) proposals	2025.013B	MISSING	2025.013B.Uc.v3.Crassvirales_reorganisation.xlsx	34	Create new	genus	Sdahravirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Darmviridae;Sdahravirus'	NA	30
Bacterial viruses (B) proposals	2025.013B	MISSING	2025.013B.Uc.v3.Crassvirales_reorganisation.xlsx	35	Create new	genus	Cervivirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Suoliviridae;Cervivirus'	NA	31
Bacterial viruses (B) proposals	2025.013B	MISSING	2025.013B.Uc.v3.Crassvirales_reorganisation.xlsx	36	Create new	genus	Ponsivirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Suoliviridae;Ponsivirus'	NA	32
Bacterial viruses (B) proposals	2025.013B	MISSING	2025.013B.Uc.v3.Crassvirales_reorganisation.xlsx	37	Create new	genus	Ildiruevirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Suoliviridae;Ildiruevirus'	NA	33
Bacterial viruses (B) proposals	2025.013B	MISSING	2025.013B.Uc.v3.Crassvirales_reorganisation.xlsx	38	Create new	genus	Ildiruevirus	ERROR	DEST.IN_NEW	Change=CREATE NEW, but taxon name already created in new MSL	proposed genus=Ildiruevirus; existing genus=MSL41:Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Suoliviridae;Ildiruevirus; otherProposal=2025.013B.Uc.v3.Crassvirales_reorganisation.zip	NA	34
Bacterial viruses (B) proposals	2025.013B	MISSING	2025.013B.Uc.v3.Crassvirales_reorganisation.xlsx	39	Create new	genus	Snepbuvirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Steigviridae;Snepbuvirus'	NA	35
Bacterial viruses (B) proposals	2025.013B	MISSING	2025.013B.Uc.v3.Crassvirales_reorganisation.xlsx	40	Create new	genus	Burzaovirus	ERROR	DEST.IN_CUR	Change=CREATE NEW, but taxon name already exists	proposed genus=Burzaovirus; existing genus=MSL40:Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Suoliviridae;Oafivirinae;Burzaovirus	NA	36
Bacterial viruses (B) proposals	2025.013B	MISSING	2025.013B.Uc.v3.Crassvirales_reorganisation.xlsx	41	Create new	genus	Ibumevirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Suoliviridae;Ibumevirus'	NA	37
Bacterial viruses (B) proposals	2025.013B	MISSING	2025.013B.Uc.v3.Crassvirales_reorganisation.xlsx	42	Create new	genus	Buhlduvirus	ERROR	DEST.IN_CUR	Change=CREATE NEW, but taxon name already exists	proposed genus=Buhlduvirus; existing genus=MSL40:Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Suoliviridae;Oafivirinae;Buhlduvirus	NA	38
Bacterial viruses (B) proposals	2025.013B	MISSING	2025.013B.Uc.v3.Crassvirales_reorganisation.xlsx	43	Create new	genus	Cacepaovirus	ERROR	DEST.IN_CUR	Change=CREATE NEW, but taxon name already exists	proposed genus=Cacepaovirus; existing genus=MSL40:Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Suoliviridae;Oafivirinae;Cacepaovirus	NA	39
Bacterial viruses (B) proposals	2025.013B	MISSING	2025.013B.Uc.v3.Crassvirales_reorganisation.xlsx	44	Create new	genus	Wiibonovirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Intestiviridae;Wiibonovirus'	NA	40
Bacterial viruses (B) proposals	2025.013B	MISSING	2025.013B.Uc.v3.Crassvirales_reorganisation.xlsx	45	Create new	genus	Chuhaivirus	ERROR	DEST.IN_CUR	Change=CREATE NEW, but taxon name already exists	proposed genus=Chuhaivirus; existing genus=MSL40:Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Suoliviridae;Oafivirinae;Chuhaivirus	NA	41
Bacterial viruses (B) proposals	2025.013B	MISSING	2025.013B.Uc.v3.Crassvirales_reorganisation.xlsx	46	Create new	genus	Bohxovirus	ERROR	DEST.IN_CUR	Change=CREATE NEW, but taxon name already exists	proposed genus=Bohxovirus; existing genus=MSL40:Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Suoliviridae;Oafivirinae;Bohxovirus	NA	42
Bacterial viruses (B) proposals	2025.013B	MISSING	2025.013B.Uc.v3.Crassvirales_reorganisation.xlsx	47	Create new	genus	Shuolduvirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Suoliviridae;Shuolduvirus'	NA	43
