subcommittee	code	docx	xlsx	row	change	rank	taxon	level	error	message	notes	scAbbrev	order
Archaeal viruses (A) proposals	2	labels - 30 up - Confiture de FRAISE 2023-05-27.doc	2023.002A.N.v4.create_subgenus_move_sp_create_sp.xlsx	0	OPEN_DOCX			WARNING	DOCX_BAD_EXT	File type .doc not (yet) supported. Only .docx	DOCX_FILENAME=labels - 30 up - Confiture de FRAISE 2023-05-27.doc	NA	0
Archaeal viruses (A) proposals	2	labels - 30 up - Confiture de FRAISE 2023-05-27.doc	2023.002A.N.v4.create_subgenus_move_sp_create_sp.xlsx	5	Move	species	Rhizidiomyces virus	ERROR	MOVE.SPECIES_BINOMIAL_MISMATCH	Change=MOVE, but proposed species names does not start with 'genus[space]' per binomial naming convention	parent genus name =NewRhizidiovirus	NA	10
Archaeal viruses (A) proposals	2	labels - 30 up - Confiture de FRAISE 2023-05-27.doc	2023.002A.N.v4.create_subgenus_move_sp_create_sp.xlsx	6	Create new	genus	NewRhizidiovirus	ERROR	DEST.IN_NEW	Change=CREATE NEW, but taxon name already created in new MSL	proposed genus=NewRhizidiovirus; existing genus=MSL39:NewRhizidiovirus; otherProposal=2023.002A.N.v4.create_subgenus_move_sp_create_sp.zip	NA	2
Archaeal viruses (A) proposals	2	labels - 30 up - Confiture de FRAISE 2023-05-27.doc	2023.002A.N.v4.create_subgenus_move_sp_create_sp.xlsx	7	Create new	subgenus	NewSubRhizidiovirus	ERROR	DEST.IN_NEW	Change=CREATE NEW, but taxon name already created in new MSL	proposed subgenus=NewSubRhizidiovirus; existing subgenus=MSL39:NewRhizidiovirus;NewSubRhizidiovirus; otherProposal=2023.002A.N.v4.create_subgenus_move_sp_create_sp.zip	NA	4
Archaeal viruses (A) proposals	2	labels - 30 up - Confiture de FRAISE 2023-05-27.doc	2023.002A.N.v4.create_subgenus_move_sp_create_sp.xlsx	8	Create new	species	NotBinomial Rhizidiomyces virus	WARNING	CREATE.SPECIES_NO_HOST_SOURCE	Change=NEW, but proposed species must have a host/source value		NA	6
Archaeal viruses (A) proposals	2	labels - 30 up - Confiture de FRAISE 2023-05-27.doc	2023.002A.N.v4.create_subgenus_move_sp_create_sp.xlsx	8	Create new	species	NotBinomial Rhizidiomyces virus	ERROR	CREATE.SPECIES_BINOMIAL_MISMATCH	Change=NEW, but proposed species names does not start with 'genus[space]' per binomial naming convention	parent genus name =NewRhizidiovirus	NA	6
NA	2	labels - 30 up - Confiture de FRAISE 2023-05-27.doc	NA	NA	NA	NA	NA	WARNING	DOCX_FILENAME_SPACES	filename contains a space: please replace with _ or -	labels[ ]-[ ]30[ ]up[ ]-[ ]Confiture[ ]de[ ]FRAISE[ ]2023-05-27.doc	NA	NA
Archaeal viruses (A) proposals	2	labels - 30 up - Confiture de FRAISE 2023-05-27.doc	2023.002A.N.v4.create_subgenus_move_sp_create_sp.xlsx	NA	previous	subgenus	NewSubRhizidiovirus	ERROR	PROPOSAL.EMPTY_TAXA	Proposal created empty (non-species) taxa	the subgenus 'NewSubRhizidiovirus' is empty - it does not contain any lower rank taxons; 2023.002A.N.v4.create_subgenus_move_sp_create_sp.zip:7	NA	10
Archaeal viruses (A) proposals	2023.002A	MISSING	2023.002A.N.v4.create_subgenus_move_sp_create_sp.xlsx	5	Move	species	Rhizidiomyces virus	ERROR	MOVE.SPECIES_BINOMIAL_MISMATCH	Change=MOVE, but proposed species names does not start with 'genus[space]' per binomial naming convention	parent genus name =NewRhizidiovirus	NA	7
Archaeal viruses (A) proposals	2023.002A	MISSING	2023.002A.N.v4.create_subgenus_move_sp_create_sp.xlsx	6	Create new	genus	NewRhizidiovirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'NewRhizidiovirus'	NA	1
Archaeal viruses (A) proposals	2023.002A	MISSING	2023.002A.N.v4.create_subgenus_move_sp_create_sp.xlsx	7	Create new	subgenus	NewSubRhizidiovirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create subgenus of 'NewRhizidiovirus;NewSubRhizidiovirus'	NA	3
Archaeal viruses (A) proposals	2023.002A	MISSING	2023.002A.N.v4.create_subgenus_move_sp_create_sp.xlsx	8	Create new	species	NotBinomial Rhizidiomyces virus	WARNING	CREATE.SPECIES_NO_HOST_SOURCE	Change=NEW, but proposed species must have a host/source value		NA	5
Archaeal viruses (A) proposals	2023.002A	MISSING	2023.002A.N.v4.create_subgenus_move_sp_create_sp.xlsx	8	Create new	species	NotBinomial Rhizidiomyces virus	ERROR	CREATE.SPECIES_BINOMIAL_MISMATCH	Change=NEW, but proposed species names does not start with 'genus[space]' per binomial naming convention	parent genus name =NewRhizidiovirus	NA	5
NA	3	MISSING	new proposal.xls	5	Move; rename	species	Puahadnavirus gataifale	ERROR	MOVE.NO_EXIST	Change=MOVE, but taxon does not exist	taxon=Puahadnavirus gataifale,CUR//PROPOSED=Monodnaviria;Shotokuvirae;Cressdnaviricota;Arfiviricetes;Baphyvirales;Bacilladnaviridae;[Puah//Seaw]adnavirus;[Puah//Seaw]adnavirus gataifale, CUR=Monodnaviria;Shotokuvirae;Cressdnaviricota;Arfiviricetes;Baphyvirales;Bacilladnaviridae;Puahadnavirus;Puahadnavirus gataifale, PROPOSED=Monodnaviria;Shotokuvirae;Cressdnaviricota;Arfiviricetes;Baphyvirales;Bacilladnaviridae;Seawadnavirus;Seawadnavirus gataifale	NA	8
NA	3	MISSING	new proposal.xls	6	Move; rename	species	Seawadnavirus katao	ERROR	MOVE.NO_EXIST	Change=MOVE, but taxon does not exist	taxon=Seawadnavirus katao,CUR//PROPOSED=Monodnaviria;Shotokuvirae;Cressdnaviricota;Arfiviricetes;Baphyvirales;Bacilladnaviridae;[Seaw//Kiesel]adnavirus;[Seaw//Kiesel]adnavirus katao, CUR=Monodnaviria;Shotokuvirae;Cressdnaviricota;Arfiviricetes;Baphyvirales;Bacilladnaviridae;Seawadnavirus;Seawadnavirus katao, PROPOSED=Monodnaviria;Shotokuvirae;Cressdnaviricota;Arfiviricetes;Baphyvirales;Bacilladnaviridae;Kieseladnavirus;Kieseladnavirus katao	NA	9
NA	3	NA	new proposal.xls	NA	NA	NA	NA	WARNING	XLSX_FILENAME_SPACES	filename contains a space: please replace with _ or -	new[ ]proposal.xls	NA	NA
NA	4	MISSING	variable_name_mapping.xlsx	0	OPEN_XLSX			ERROR	XLSX_NOT_PROPOSAL	XLS no acceptably named 'proposal' sheet	A worksheet name matching 'proposal*' was not found, only: 'Sheet1'	NA	0
