subcommittee	code	docx	xlsx	row	change	rank	taxon	level	error	message	notes	scAbbrev	order
NA	1	MISSING	2023.10M.N.v1.CreateSpeciesFirst.xlsx	5	Create new	species	GenusCreatedLater20Virus Species10	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Plasmaviridae;GenusCreatedLater20Virus;GenusCreatedLater20Virus Species10'	NA	7
NA	1	MISSING	2023.10M.N.v1.CreateSpeciesFirst.xlsx	6	Create new	species	GenusCreatedLater20Virus Species10 Two and Three	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Plasmaviridae;GenusCreatedLater20Virus;GenusCreatedLater20Virus Species10 Two and Three'	NA	8
NA	1	MISSING	2023.10M.N.v1.CreateSpeciesFirst.xlsx	7	Create new	genus	GenusToBeRenamed10Virus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Plasmaviridae;GenusToBeRenamed10Virus'	NA	1
NA	1	MISSING	2023.10M.N.v1.CreateSpeciesFirst.xlsx	8	Create new	species	GenusToBeRenamed10Virus Species10ToBeRenamed	INFO	CREATE.PARENT_CHANGING	Change=RENAME:genus	proposal(s)=2 did a 'Rename' of 'GenusToBeRenamed10Virus' to 'GenusRenamed20Virus'	NA	9
NA	1	MISSING	2023.10M.N.v1.CreateSpeciesFirst.xlsx	9	Create new	species	GenusToBeRenamed10Virus Species10ToBeBinomalError	INFO	CREATE.PARENT_CHANGING	Change=RENAME:genus	proposal(s)=2 did a 'Rename' of 'GenusToBeRenamed10Virus' to 'GenusRenamed20Virus'	NA	10
NA	1	MISSING	2023.10M.N.v1.CreateSpeciesFirst.xlsx	10	Create new	genus	Genus10	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Plasmaviridae;Genus10'	NA	2
NA	1	MISSING	2023.10M.N.v1.CreateSpeciesFirst.xlsx	11	Create new	species	Genus10 Species10to30to20	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Plasmaviridae;Genus10;Genus10 Species10to30to20'	NA	11
NA	2	MISSING	2023.20M.N.v1.CreateGenusAfter.xlsx	5	Create new	genus	GenusCreatedLater20Virus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Plasmaviridae;GenusCreatedLater20Virus'	NA	3
NA	2	MISSING	2023.20M.N.v1.CreateGenusAfter.xlsx	6	Rename	species	GenusCreatedLater20Virus Species10 Two and Three	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'GenusCreatedLater20Virus Species10 Two and Three' to 'GenusCreatedLater20Virus Species20 TwoAndThree' in 'Plasmaviridae;GenusCreatedLater20Virus'	NA	13
NA	2	MISSING	2023.20M.N.v1.CreateGenusAfter.xlsx	7	Rename	genus	GenusToBeRenamed10Virus	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME genus from 'GenusToBeRenamed10Virus' to 'GenusRenamed20Virus' in 'Plasmaviridae'	NA	5
NA	2	MISSING	2023.20M.N.v1.CreateGenusAfter.xlsx	8	Rename	genus	GenusRenamedEarlier30Virus	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME genus from 'GenusRenamedEarlier30Virus' to 'GenusRenamedEarlier20Virus' in 'Plasmaviridae'	NA	6
NA	2	MISSING	2023.20M.N.v1.CreateGenusAfter.xlsx	9	Rename	species	Genus10 Species30to20	ERROR	RENAME.NO_EXIST	Change=RENAME, but taxon does not exist	taxon=Genus10 Species30to20, lineage=Plasmaviridae;Genus10;Genus10 Species30to20, proposedTaxon=Genus10 Species20	NA	14
NA	3	MISSING	2023.30M.N.v1.RenameFutureGenus.xlsx	5	Create new	genus	GenusRenamedEarlier30Virus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Plasmaviridae;GenusRenamedEarlier30Virus'	NA	4
NA	3	MISSING	2023.30M.N.v1.RenameFutureGenus.xlsx	6	Create new	species	GenusRenamedEarlier20Virus Species30	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Plasmaviridae;GenusRenamedEarlier20Virus;GenusRenamedEarlier20Virus Species30'	NA	12
NA	3	MISSING	2023.30M.N.v1.RenameFutureGenus.xlsx	7	Rename	species	Genus10 Species10to30to20	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Genus10 Species10to30to20' to 'Genus10 Species30to20' in 'Plasmaviridae;Genus10'	NA	15
NA	3	MISSING	2023.30M.N.v1.RenameFutureGenus.xlsx	NA	NA	genus	GenusRenamed20Virus	ERROR	PROPOSAL.EMPTY_TAXA	Proposal created empty (non-species) taxa	the genus 'GenusRenamed20Virus' is empty - it does not contain any lower rank taxons	NA	NA
