subcommittee	code	docx	xlsx	row	change	rank	taxon	level	error	message	notes	scAbbrev
Archaeal viruses (A) proposals	2023.002A	MISSING	2023.002A.N.v4.create_subgenus_move_sp_create_sp.xlsx	5	Move	species	Rhizidiomyces virus	SUCCESS	MOVE.OK	Change=MOVE, applied successfully	MOVE species named 'Rhizidiomyces virus' to species named 'NewRhizidiovirus good binomail move virus' change=[Rhizidiovirus//NewRhizidiovirus];[Rhizidiomyces virus//NewSubRhizidiovirus];[//NewRhizidiovirus good binomail move virus]	NA
Archaeal viruses (A) proposals	2023.002A	MISSING	2023.002A.N.v4.create_subgenus_move_sp_create_sp.xlsx	6	Create new	genus	NewRhizidiovirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'NewRhizidiovirus'	NA
Archaeal viruses (A) proposals	2023.002A	MISSING	2023.002A.N.v4.create_subgenus_move_sp_create_sp.xlsx	7	Create new	subgenus	NewSubRhizidiovirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create subgenus of 'NewRhizidiovirus;NewSubRhizidiovirus'	NA
Archaeal viruses (A) proposals	2023.002A	MISSING	2023.002A.N.v4.create_subgenus_move_sp_create_sp.xlsx	8	Create new	species	Create NotBinomial Rhizidiomyces virus	WARNING	CREATE.SPECIES_NO_HOST_SOURCE	Change=NEW, but proposed species must have a host/source value		NA
Archaeal viruses (A) proposals	2023.002A	MISSING	2023.002A.N.v4.create_subgenus_move_sp_create_sp.xlsx	8	Create new	species	Create NotBinomial Rhizidiomyces virus	ERROR	CREATE.SPECIES_BINOMIAL_MISMATCH	Change=NEW, but proposed species names does not start with 'genus[space]' per binomial naming convention	parent genus name =NewRhizidiovirus	NA
Archaeal viruses (A) proposals	2023.002A	MISSING	2023.002A.N.v4.create_subgenus_move_sp_create_sp.xlsx	9	Move	species	Heterocapsa circularisquama DNA virus 01	ERROR	MOVE.SPECIES_BINOMIAL_MISMATCH	Change=MOVE, but proposed species names does not start with 'genus[space]' per binomial naming convention	parent genus name =NewRhizidiovirus	NA
Archaeal viruses (A) proposals	2023.002A	MISSING	2023.002A.N.v4.create_subgenus_move_sp_create_sp.xlsx	10	Create new	species	NewRhizidiovirus Create Binoimal virus	WARNING	CREATE.SPECIES_NO_HOST_SOURCE	Change=NEW, but proposed species must have a host/source value		NA
Archaeal viruses (A) proposals	2023.002A	MISSING	2023.002A.N.v4.create_subgenus_move_sp_create_sp.xlsx	10	Create new	species	NewRhizidiovirus Create Binoimal virus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'NewRhizidiovirus;NewSubRhizidiovirus;NewRhizidiovirus Create Binoimal virus'	NA
Archaeal viruses (A) proposals	2023.002A	MISSING	2023.002A.N.v4.create_subgenus_move_sp_create_sp.xlsx	11	Rename	genus	Sadwavirus	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME genus from 'Sadwavirus' to 'SadwavirusBadBinomial' in 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae;SadwavirusBadBinomial'	NA
Archaeal viruses (A) proposals	2023.002A	MISSING	2023.002A.N.v4.create_subgenus_move_sp_create_sp.xlsx	11	rename_genus	species	Sadwavirus alphananas	ERROR	RENAME_GENUS.SPECIES_BINOMIAL_MISMATCH	Change=RENAME_GENUS, but species name does not start with 'genus[space]' per binomial naming convention	new genus name: SadwavirusBadBinomial	NA
