subcommittee	code	docx	xlsx	row	change	rank	taxon	level	error	message	notes	scAbbrev	order
Plant virus (P) proposals	2022.002P	MISSING	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	4	Rename	species	Avocado sunblotch viroid	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Avocado sunblotch viroid' to 'Avsunviroid ASBVd' in 'Avsunviroidae;Avsunviroid'	NA	1
Plant virus (P) proposals	2022.002P	MISSING	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	5	Rename	species	Eggplant latent viroid	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Eggplant latent viroid' to 'Elaviroid ELVd' in 'Avsunviroidae;Elaviroid'	NA	2
Plant virus (P) proposals	2022.002P	MISSING	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	6	Rename	species	Apple hammerhead viroid	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Apple hammerhead viroid' to 'Pelamoviroid AHVd' in 'Avsunviroidae;Pelamoviroid'	NA	3
Plant virus (P) proposals	2022.002P	MISSING	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	7	Rename	species	Chrysanthemum chlorotic mottle viroid	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Chrysanthemum chlorotic mottle viroid' to 'Pelamoviroid CChMVd' in 'Avsunviroidae;Pelamoviroid'	NA	4
Plant virus (P) proposals	2022.002P	MISSING	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	8	Rename	species	Peach latent mosaic viroid	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Peach latent mosaic viroid' to 'Pelamoviroid PLMVd' in 'Avsunviroidae;Pelamoviroid'	NA	5
Plant virus (P) proposals	2022.002P	MISSING	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	9	Rename	species	Apple dimple fruit viroid	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Apple dimple fruit viroid' to 'Apscaviroid ADFVd' in 'Pospiviroidae;Apscaviroid'	NA	6
Plant virus (P) proposals	2022.002P	MISSING	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	10	Rename	species	Apple scar skin viroid	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Apple scar skin viroid' to 'Apscaviroid ASSVd' in 'Pospiviroidae;Apscaviroid'	NA	7
Plant virus (P) proposals	2022.002P	MISSING	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	11	Rename	species	Apscaviroid aclsvd	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Apscaviroid aclsvd' to 'Apscaviroid ACFSVd' in 'Pospiviroidae;Apscaviroid'	NA	8
Plant virus (P) proposals	2022.002P	MISSING	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	12	Rename	species	Apscaviroid cvd-VII	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Apscaviroid cvd-VII' to 'Apscaviroid CVd-VII' in 'Pospiviroidae;Apscaviroid'	NA	9
Plant virus (P) proposals	2022.002P	MISSING	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	13	Rename	species	Apscaviroid dvd	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Apscaviroid dvd' to 'Apscaviroid DVd' in 'Pospiviroidae;Apscaviroid'	NA	10
Plant virus (P) proposals	2022.002P	MISSING	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	14	Rename	species	Apscaviroid glvd	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Apscaviroid glvd' to 'Apscaviroid GLVd' in 'Pospiviroidae;Apscaviroid'	NA	11
Plant virus (P) proposals	2022.002P	MISSING	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	15	Rename	species	Apscaviroid lvd	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Apscaviroid lvd' to 'Apscaviroid LVd' in 'Pospiviroidae;Apscaviroid'	NA	12
