subcommittee	code	docx	xlsx	row	change	rank	taxon	level	error	message	notes	scAbbrev	order
Fungal and protist virus (F) proposals	2023.009F	2023.009F.v1.Virophages_reorg.docx	2023.009F.v1.Virophages_reorg.xlsx	5	Promote	order	Lavidaviridae	SUCCESS	PROMOTE.OK	Change=PROMOTE, applied successfully	PROMOTE family named 'Lavidaviridae' to order named 'Lavidavirales' PROPOSED//CUR=[identical]Varidnaviria;Bamfordvirae;Preplasmiviricota;Maveriviricetes;Priklausovirales;Lavidaviridae	NA	1
Fungal and protist virus (F) proposals	2023.009F	2023.009F.v1.Virophages_reorg.docx	2023.009F.v1.Virophages_reorg.xlsx	6	Create new	family	Maviroviridae	INFO	CREATE.PARENT_RENAMED	Change=NEW, proposed parent taxon exists, but not with expected name/lineage, using observed lineage	otherProposal(s)=2023.009F.v1.Virophages_reorg.zip:5 did a promote family [identical]Varidnaviria;Bamfordvirae;Preplasmiviricota;Maveriviricetes;Priklausovirales;Lavidaviridae, PROPOSED//OBSERVED=Varidnaviria;Bamfordvirae;Preplasmiviricota;Maveriviricetes;[Lavida//Priklauso]virales;[//Lavidaviridae]	NA	4
Fungal and protist virus (F) proposals	2023.009F	2023.009F.v1.Virophages_reorg.docx	2023.009F.v1.Virophages_reorg.xlsx	6	Create new	family	Maviroviridae	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create family of 'Varidnaviria;Bamfordvirae;Preplasmiviricota;Maveriviricetes;Priklausovirales;Lavidaviridae;Maviroviridae'	NA	4
Fungal and protist virus (F) proposals	2023.009F	2023.009F.v1.Virophages_reorg.docx	2023.009F.v1.Virophages_reorg.xlsx	7	Rename	species	Cafeteriavirus-dependent mavirus	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Cafeteriavirus-dependent mavirus' to 'Mavirus cafeteriae' in 'Varidnaviria;Bamfordvirae;Preplasmiviricota;Maveriviricetes;Priklausovirales;Lavidaviridae;Mavirus'	NA	21
Fungal and protist virus (F) proposals	2023.009F	2023.009F.v1.Virophages_reorg.docx	2023.009F.v1.Virophages_reorg.xlsx	8	Create new	order	Mividavirales	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create order of 'Varidnaviria;Bamfordvirae;Preplasmiviricota;Maveriviricetes;Mividavirales'	NA	2
Fungal and protist virus (F) proposals	2023.009F	2023.009F.v1.Virophages_reorg.docx	2023.009F.v1.Virophages_reorg.xlsx	9	Create new	family	Sputniviroviridae	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create family of 'Varidnaviria;Bamfordvirae;Preplasmiviricota;Maveriviricetes;Mividavirales;Sputniviroviridae'	NA	5
Fungal and protist virus (F) proposals	2023.009F	2023.009F.v1.Virophages_reorg.docx	2023.009F.v1.Virophages_reorg.xlsx	10	Move; rename	species	Mimivirus-dependent virus Sputnik	INFO	MOVE.PROPOSED_PARENT_LINEAGE_CHANGED	PROPOSED parent lineage already modified	proposal(s)=2023.009F.v1.Virophages_reorg.zip:5 did a promote family [identical]Varidnaviria;Bamfordvirae;Preplasmiviricota;Maveriviricetes;Priklausovirales;Lavidaviridae; OBSERVED//PROPOSED=Varidnaviria;Bamfordvirae;Preplasmiviricota;Maveriviricetes;[Priklauso//Mivida]virales;[Lavida//Sputniviro]viridae;Sputnikvirus	NA	22
Fungal and protist virus (F) proposals	2023.009F	2023.009F.v1.Virophages_reorg.docx	2023.009F.v1.Virophages_reorg.xlsx	10	Move; rename	species	Mimivirus-dependent virus Sputnik	SUCCESS	MOVE.OK	Change=MOVE, applied successfully	MOVE species named 'Mimivirus-dependent virus Sputnik' to species named 'Sputnikvirus mimiviri' PROPOSED//CUR=[identical]Varidnaviria;Bamfordvirae;Preplasmiviricota;Maveriviricetes;Priklausovirales;Lavidaviridae;Sputnikvirus;Mimivirus-dependent virus Sputnik	NA	22
Fungal and protist virus (F) proposals	2023.009F	2023.009F.v1.Virophages_reorg.docx	2023.009F.v1.Virophages_reorg.xlsx	11	Move; rename	species	Mimivirus-dependent virus Zamilon	INFO	MOVE.PROPOSED_PARENT_LINEAGE_CHANGED	PROPOSED parent lineage already modified	proposal(s)=2023.009F.v1.Virophages_reorg.zip:5 did a promote family [identical]Varidnaviria;Bamfordvirae;Preplasmiviricota;Maveriviricetes;Priklausovirales;Lavidaviridae; OBSERVED//PROPOSED=Varidnaviria;Bamfordvirae;Preplasmiviricota;Maveriviricetes;[Priklauso//Mivida]virales;[Lavida//Sputniviro]viridae;Sputnikvirus	NA	23
Fungal and protist virus (F) proposals	2023.009F	2023.009F.v1.Virophages_reorg.docx	2023.009F.v1.Virophages_reorg.xlsx	11	Move; rename	species	Mimivirus-dependent virus Zamilon	SUCCESS	MOVE.OK	Change=MOVE, applied successfully	MOVE species named 'Mimivirus-dependent virus Zamilon' to species named 'Sputnikvirus zamilonense' PROPOSED//CUR=[identical]Varidnaviria;Bamfordvirae;Preplasmiviricota;Maveriviricetes;Priklausovirales;Lavidaviridae;Sputnikvirus;Mimivirus-dependent virus Zamilon	NA	23
