subcommittee	code	docx	xlsx	row	change	rank	taxon	level	error	message	notes	scAbbrev
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	5	Create new	order	Goldbavirales	WARNING	CREATE.PARENT_ALREADY_CHANGED	Change=NEW, but parent taxon already modified	proposal(s)=2023.024M.Bunyaviricetes.zip did a 'rename' of 'Ellioviricetes' to 'Bunyaviricetes'	NA
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	5	Create new	order	Goldbavirales	WARNING	CREATE.PARENT_LINEAGE	Change=NEW, proposed parent taxon exists, but not with expected lineage, using observed lineage	proposedVsObserved=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;[Ellioviricetes//Bunyaviricetes], proposedParentLineage=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes, observedParentLineage=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes, otherProposals=2023.024M.Bunyaviricetes.zip:26	NA
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	5	Create new	order	Goldbavirales	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create order of 'Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes'	NA
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	6	Move	family	Arenaviridae	WARNING	MOVE.PARENT_LINEAGE	Change=MOVE, proposed parent taxon exists, but not with expected lineage	,proposedVsObserved=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;[Goldbavirales//], proposedParentLineage=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Goldbavirales, observedParentLineage=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes, otherProposals=2023.024M:5	NA
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	6	Move	family	Arenaviridae	SUCCESS	MOVE.OK	Change=MOVE, applied successfully	MOVE family named 'Arenaviridae' to family named 'Arenaviridae' change=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;[Bunyavirales//Arenaviridae];[Arenaviridae//]	NA
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	7	Move	family	Discoviridae	WARNING	MOVE.PARENT_LINEAGE	Change=MOVE, proposed parent taxon exists, but not with expected lineage	,proposedVsObserved=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;[Goldbavirales//], proposedParentLineage=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Goldbavirales, observedParentLineage=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes, otherProposals=2023.024M:5	NA
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	7	Move	family	Discoviridae	SUCCESS	MOVE.OK	Change=MOVE, applied successfully	MOVE family named 'Discoviridae' to family named 'Discoviridae' change=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;[Bunyavirales//Discoviridae];[Discoviridae//]	NA
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	8	Create new	species	Orthodiscovirus oryzae	WARNING	CREATE.PARENT_LINEAGE	Change=NEW, proposed parent taxon exists, but not with expected lineage, using observed lineage	proposedVsObserved=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;[Goldbavirales//Discoviridae];[Discoviridae//Orthodiscovirus];[Orthodiscovirus//], proposedParentLineage=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Goldbavirales;Discoviridae;Orthodiscovirus, observedParentLineage=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Discoviridae;Orthodiscovirus, otherProposals=NA	NA
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	8	Create new	species	Orthodiscovirus oryzae	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Goldbavirales;Discoviridae;Orthodiscovirus'	NA
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	9	Move	family	Leishbuviridae	WARNING	MOVE.PARENT_LINEAGE	Change=MOVE, proposed parent taxon exists, but not with expected lineage	,proposedVsObserved=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;[Goldbavirales//], proposedParentLineage=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Goldbavirales, observedParentLineage=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes, otherProposals=2023.024M:5	NA
