subcommittee	code	docx	xlsx	row	change	rank	taxon	level	error	message	notes	scAbbrev	order
Animal DNA viruses and Retroviruses (D) proposals	2023.014D	MISSING	2023.014D.A.v2.Hepadnaviridae_19renam_9nsp.xlsx	5	Rename	species	Hepatitis B virus	WARNING	SRC.LINEAGE_WRONG	'current taxonomy' in proposal doesn't match current MSL. Typo?	MSL//PROPOSED=Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Blubervirales[ //];Hepadnaviridae;Orthohepadnavirus;[Hepatitis B virus//Orthohepadnavirus hominoidei], PROPOSAL=Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Blubervirales ;Hepadnaviridae;Orthohepadnavirus;Hepatitis B virus; MSL=Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Blubervirales;Hepadnaviridae;Orthohepadnavirus;Hepatitis B virus	NA	10
Animal DNA viruses and Retroviruses (D) proposals	2023.014D	MISSING	2023.014D.A.v2.Hepadnaviridae_19renam_9nsp.xlsx	5	Rename	species	Hepatitis B virus	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Hepatitis B virus' to 'Orthohepadnavirus hominoidei' in 'Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Blubervirales;Hepadnaviridae;Orthohepadnavirus'	NA	10
Animal DNA viruses and Retroviruses (D) proposals	2023.014D	MISSING	2023.014D.A.v2.Hepadnaviridae_19renam_9nsp.xlsx	6	Rename	species	Capuchin monkey hepatitis B virus	WARNING	SRC.LINEAGE_WRONG	'current taxonomy' in proposal doesn't match current MSL. Typo?	MSL//PROPOSED=Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Blubervirales[ //];Hepadnaviridae;Orthohepadnavirus;[Capuchin monkey hepatitis B virus//Orthohepadnavirus sapaji], PROPOSAL=Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Blubervirales ;Hepadnaviridae;Orthohepadnavirus;Capuchin monkey hepatitis B virus; MSL=Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Blubervirales;Hepadnaviridae;Orthohepadnavirus;Capuchin monkey hepatitis B virus	NA	11
Animal DNA viruses and Retroviruses (D) proposals	2023.014D	MISSING	2023.014D.A.v2.Hepadnaviridae_19renam_9nsp.xlsx	6	Rename	species	Capuchin monkey hepatitis B virus	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Capuchin monkey hepatitis B virus' to 'Orthohepadnavirus sapaji' in 'Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Blubervirales;Hepadnaviridae;Orthohepadnavirus'	NA	11
Animal DNA viruses and Retroviruses (D) proposals	2023.014D	MISSING	2023.014D.A.v2.Hepadnaviridae_19renam_9nsp.xlsx	7	Rename	species	Woolly monkey hepatitis B virus	INFO	XLSX.NON_PRINTABLE_REMOVED	XLSX has unprintable/non-ASCII removed	"comments : After the latinized Greek words ""lagos"" ([λαγώς]) meaning ""hare"" and ""thrix"" ([θρίξ]) meaning ""hair"" of the host Lagothrix lagothricha "	NA	0
Animal DNA viruses and Retroviruses (D) proposals	2023.014D	MISSING	2023.014D.A.v2.Hepadnaviridae_19renam_9nsp.xlsx	7	Rename	species	Woolly monkey hepatitis B virus	WARNING	SRC.LINEAGE_WRONG	'current taxonomy' in proposal doesn't match current MSL. Typo?	MSL//PROPOSED=Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Blubervirales[ //];Hepadnaviridae;Orthohepadnavirus;[Woolly monkey hepatitis B virus//Orthohepadnavirus lagothricis], PROPOSAL=Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Blubervirales ;Hepadnaviridae;Orthohepadnavirus;Woolly monkey hepatitis B virus; MSL=Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Blubervirales;Hepadnaviridae;Orthohepadnavirus;Woolly monkey hepatitis B virus	NA	12
Animal DNA viruses and Retroviruses (D) proposals	2023.014D	MISSING	2023.014D.A.v2.Hepadnaviridae_19renam_9nsp.xlsx	7	Rename	species	Woolly monkey hepatitis B virus	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Woolly monkey hepatitis B virus' to 'Orthohepadnavirus lagothricis' in 'Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Blubervirales;Hepadnaviridae;Orthohepadnavirus'	NA	12
Animal DNA viruses and Retroviruses (D) proposals	2023.014D	MISSING	2023.014D.A.v2.Hepadnaviridae_19renam_9nsp.xlsx	8	Rename	species	Long-fingered bat hepatitis B virus	WARNING	SRC.LINEAGE_WRONG	'current taxonomy' in proposal doesn't match current MSL. Typo?	MSL//PROPOSED=Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Blubervirales[ //];Hepadnaviridae;Orthohepadnavirus;[Long-fingered bat hepatitis B virus//Orthohepadnavirus longidigiti], PROPOSAL=Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Blubervirales ;Hepadnaviridae;Orthohepadnavirus;Long-fingered bat hepatitis B virus; MSL=Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Blubervirales;Hepadnaviridae;Orthohepadnavirus;Long-fingered bat hepatitis B virus	NA	13
Animal DNA viruses and Retroviruses (D) proposals	2023.014D	MISSING	2023.014D.A.v2.Hepadnaviridae_19renam_9nsp.xlsx	8	Rename	species	Long-fingered bat hepatitis B virus	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Long-fingered bat hepatitis B virus' to 'Orthohepadnavirus longidigiti' in 'Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Blubervirales;Hepadnaviridae;Orthohepadnavirus'	NA	13
Animal DNA viruses and Retroviruses (D) proposals	2023.014D	MISSING	2023.014D.A.v2.Hepadnaviridae_19renam_9nsp.xlsx	9	Rename	species	Tent-making bat hepatitis B virus	WARNING	SRC.LINEAGE_WRONG	'current taxonomy' in proposal doesn't match current MSL. Typo?	MSL//PROPOSED=Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Blubervirales[ //];Hepadnaviridae;Orthohepadnavirus;[Tent-making bat hepatitis B virus//Orthohepadnavirus tabernarii], PROPOSAL=Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Blubervirales ;Hepadnaviridae;Orthohepadnavirus;Tent-making bat hepatitis B virus; MSL=Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Blubervirales;Hepadnaviridae;Orthohepadnavirus;Tent-making bat hepatitis B virus	NA	14
Animal DNA viruses and Retroviruses (D) proposals	2023.014D	MISSING	2023.014D.A.v2.Hepadnaviridae_19renam_9nsp.xlsx	9	Rename	species	Tent-making bat hepatitis B virus	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Tent-making bat hepatitis B virus' to 'Orthohepadnavirus tabernarii' in 'Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Blubervirales;Hepadnaviridae;Orthohepadnavirus'	NA	14
Animal DNA viruses and Retroviruses (D) proposals	2023.014D	MISSING	2023.014D.A.v2.Hepadnaviridae_19renam_9nsp.xlsx	10	Rename	species	Roundleaf bat hepatitis B virus	WARNING	SRC.LINEAGE_WRONG	'current taxonomy' in proposal doesn't match current MSL. Typo?	MSL//PROPOSED=Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Blubervirales[ //];Hepadnaviridae;Orthohepadnavirus;[Roundleaf bat hepatitis B virus//Orthohepadnavirus rotundifolii], PROPOSAL=Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Blubervirales ;Hepadnaviridae;Orthohepadnavirus;Roundleaf bat hepatitis B virus; MSL=Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Blubervirales;Hepadnaviridae;Orthohepadnavirus;Roundleaf bat hepatitis B virus	NA	15
Animal DNA viruses and Retroviruses (D) proposals	2023.014D	MISSING	2023.014D.A.v2.Hepadnaviridae_19renam_9nsp.xlsx	10	Rename	species	Roundleaf bat hepatitis B virus	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Roundleaf bat hepatitis B virus' to 'Orthohepadnavirus rotundifolii' in 'Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Blubervirales;Hepadnaviridae;Orthohepadnavirus'	NA	15
