subcommittee	code	docx	xlsx	row	change	rank	taxon	level	error	message	notes	scAbbrev	order
General (G) proposals	2022.002G	MISSING	2022.002G.Ud.v1.Orthornavirae_4nphy_9nsp.xlsx	3	OPEN_XLSX			INFO	XLSX.CODE_MISS	XLSX code missing	XLSX cell A3 is 'Code (to be assigned)'; replace with the actual code: '2022.002G'	NA	0
General (G) proposals	2022.002G	MISSING	2022.002G.Ud.v1.Orthornavirae_4nphy_9nsp.xlsx	4	Create new	phylum	Arctiviricota	WARNING	CREATE.PARENT_LINEAGE	Change=NEW, proposed parent taxon exists, but not with expected lineage, using observed lineage	PROPOSED//OBSERVED=Riboviri[//]iria;Orthornavirae, otherProposals=NA	NA	1
General (G) proposals	2022.002G	MISSING	2022.002G.Ud.v1.Orthornavirae_4nphy_9nsp.xlsx	4	Create new	phylum	Arctiviricota	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create phylum of 'Riboviria;Orthornavirae;Arctiviricota'	NA	1
General (G) proposals	2022.002G	MISSING	2022.002G.Ud.v1.Orthornavirae_4nphy_9nsp.xlsx	5	Create new	genus	Chrocavirus	WARNING	CREATE.PARENT_LINEAGE	Change=NEW, proposed parent taxon exists, but not with expected lineage, using observed lineage	PROPOSED//OBSERVED=Riboviri[//]iria;Orthornavirae;Arctiviricota, otherProposals=2022.002G.Ud.v1.Orthornavirae_4nphy_9nsp.zip:4	NA	5
General (G) proposals	2022.002G	MISSING	2022.002G.Ud.v1.Orthornavirae_4nphy_9nsp.xlsx	5	Create new	genus	Chrocavirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Riboviria;Orthornavirae;Arctiviricota;Chrocavirus'	NA	5
General (G) proposals	2022.002G	MISSING	2022.002G.Ud.v1.Orthornavirae_4nphy_9nsp.xlsx	6	Create new	species	Chrocavirus borealpolarense	WARNING	CREATE.PARENT_LINEAGE	Change=NEW, proposed parent taxon exists, but not with expected lineage, using observed lineage	PROPOSED//OBSERVED=Riboviri[//]iria;Orthornavirae;Arctiviricota;Chrocavirus, otherProposals=2022.002G.Ud.v1.Orthornavirae_4nphy_9nsp.zip:5	NA	14
General (G) proposals	2022.002G	MISSING	2022.002G.Ud.v1.Orthornavirae_4nphy_9nsp.xlsx	6	Create new	species	Chrocavirus borealpolarense	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Arctiviricota;Chrocavirus;Chrocavirus borealpolarense'	NA	14
General (G) proposals	2022.002G	MISSING	2022.002G.Ud.v1.Orthornavirae_4nphy_9nsp.xlsx	7	Create new	phylum	Paraxenoviricota	INFO	XLSX.NON_PRINTABLE_REMOVED	XLSX has unprintable/non-ASCII removed	"comments : From the Greek ""[παράξενος] [par[á]xenos]"", meaning ""strange"" and the suffix for phyla, ""-viricota"" "	NA	0
General (G) proposals	2022.002G	MISSING	2022.002G.Ud.v1.Orthornavirae_4nphy_9nsp.xlsx	7	Create new	phylum	Paraxenoviricota	WARNING	CREATE.PARENT_LINEAGE	Change=NEW, proposed parent taxon exists, but not with expected lineage, using observed lineage	PROPOSED//OBSERVED=Riboviri[//]iria;Orthornavirae, otherProposals=NA	NA	2
General (G) proposals	2022.002G	MISSING	2022.002G.Ud.v1.Orthornavirae_4nphy_9nsp.xlsx	7	Create new	phylum	Paraxenoviricota	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create phylum of 'Riboviria;Orthornavirae;Paraxenoviricota'	NA	2
General (G) proposals	2022.002G	MISSING	2022.002G.Ud.v1.Orthornavirae_4nphy_9nsp.xlsx	8	Create new	genus	Tarocvirus	WARNING	CREATE.PARENT_LINEAGE	Change=NEW, proposed parent taxon exists, but not with expected lineage, using observed lineage	PROPOSED//OBSERVED=Riboviri[//]iria;Orthornavirae;Paraxenoviricota, otherProposals=2022.002G.Ud.v1.Orthornavirae_4nphy_9nsp.zip:7	NA	6
